date,state,dem_chance
2020-06-01,Alabama,0.02475
2020-06-02,Alabama,0.025075
2020-06-03,Alabama,0.0235
2020-06-04,Alabama,0.023825
2020-06-05,Alabama,0.023675
2020-06-06,Alabama,0.025
2020-06-07,Alabama,0.0245
2020-06-08,Alabama,0.02485
2020-06-09,Alabama,0.02405
2020-06-10,Alabama,0.02575
2020-06-11,Alabama,0.027675
2020-06-12,Alabama,0.02645
2020-06-13,Alabama,0.026725
2020-06-14,Alabama,0.02955
2020-06-15,Alabama,0.0284
2020-06-16,Alabama,0.02985
2020-06-17,Alabama,0.028875
2020-06-18,Alabama,0.0306
2020-06-19,Alabama,0.028725
2020-06-20,Alabama,0.03105
2020-06-21,Alabama,0.030275
2020-06-22,Alabama,0.03005
2020-06-23,Alabama,0.0305
2020-06-24,Alabama,0.028275
2020-06-25,Alabama,0.029275
2020-06-26,Alabama,0.030725
2020-06-27,Alabama,0.0294
2020-06-28,Alabama,0.03115
2020-06-29,Alabama,0.02935
2020-06-30,Alabama,0.029175
2020-07-01,Alabama,0.028625
2020-07-02,Alabama,0.03045
2020-07-03,Alabama,0.0289
2020-07-04,Alabama,0.0303
2020-07-05,Alabama,0.0273
2020-07-06,Alabama,0.030275
2020-07-07,Alabama,0.0297
2020-07-08,Alabama,0.0301
2020-07-09,Alabama,0.031
2020-07-10,Alabama,0.032825
2020-07-11,Alabama,0.0332
2020-07-12,Alabama,0.033075
2020-07-13,Alabama,0.032825
2020-07-14,Alabama,0.032625
2020-07-15,Alabama,0.031125
2020-07-16,Alabama,0.0321
2020-07-17,Alabama,0.030375
2020-07-18,Alabama,0.0315
2020-07-19,Alabama,0.03025
2020-07-20,Alabama,0.033275
2020-07-21,Alabama,0.030875
2020-07-22,Alabama,0.0297
2020-07-23,Alabama,0.03195
2020-07-24,Alabama,0.029925
2020-07-25,Alabama,0.028525
2020-07-26,Alabama,0.027875
2020-07-27,Alabama,0.028125
2020-07-28,Alabama,0.028725
2020-07-29,Alabama,0.0272
2020-07-30,Alabama,0.0264
2020-07-31,Alabama,0.02625
2020-08-01,Alabama,0.026675
2020-08-02,Alabama,0.0225
2020-08-03,Alabama,0.02245
2020-08-04,Alabama,0.023275
2020-08-05,Alabama,0.0229
2020-08-06,Alabama,0.0217
2020-08-07,Alabama,0.022875
2020-08-08,Alabama,0.02125
2020-08-09,Alabama,0.0217
2020-08-10,Alabama,0.023625
2020-08-11,Alabama,0.02075
2020-08-12,Alabama,0.022325
2020-08-13,Alabama,0.022375
2020-08-14,Alabama,0.020975
2020-08-15,Alabama,0.02065
2020-08-16,Alabama,0.0211
2020-08-17,Alabama,0.0204
2020-08-18,Alabama,0.020775
2020-08-19,Alabama,0.019975
2020-08-20,Alabama,0.02085
2020-08-21,Alabama,0.0213
2020-08-22,Alabama,0.021075
2020-08-23,Alabama,0.021425
2020-08-24,Alabama,0.020825
2020-08-25,Alabama,0.02225
2020-08-26,Alabama,0.019875
2020-08-27,Alabama,0.02125
2020-08-28,Alabama,0.021375
2020-08-29,Alabama,0.02165
2020-08-30,Alabama,0.020075
2020-08-31,Alabama,0.019625
2020-09-01,Alabama,0.018975
2020-09-02,Alabama,0.020875
2020-09-03,Alabama,0.020675
2020-09-04,Alabama,0.01975
2020-09-05,Alabama,0.0207
2020-09-06,Alabama,0.021225
2020-09-07,Alabama,0.0204
2020-09-08,Alabama,0.020425
2020-09-09,Alabama,0.021675
2020-09-10,Alabama,0.021075
2020-09-11,Alabama,0.02125
2020-09-12,Alabama,0.021225
2020-09-13,Alabama,0.021
2020-09-14,Alabama,0.0206
2020-09-15,Alabama,0.0215
2020-09-16,Alabama,0.020875
2020-09-17,Alabama,0.0201
2020-09-18,Alabama,0.018425
2020-09-19,Alabama,0.0191
2020-09-20,Alabama,0.019225
2020-09-21,Alabama,0.03075
2020-09-22,Alabama,0.028925
2020-09-23,Alabama,0.02975
2020-09-24,Alabama,0.02925
2020-09-25,Alabama,0.0289
2020-09-26,Alabama,0.0289
2020-09-27,Alabama,0.028775
2020-09-28,Alabama,0.026975
2020-09-29,Alabama,0.02795
2020-09-30,Alabama,0.0287
2020-10-01,Alabama,0.030125
2020-10-02,Alabama,0.029275
2020-10-03,Alabama,0.02255
2020-10-04,Alabama,0.023125
2020-10-05,Alabama,0.0204
2020-10-06,Alabama,0.021475
2020-10-07,Alabama,0.0208
2020-10-08,Alabama,0.0214
2020-10-09,Alabama,0.02215
2020-10-10,Alabama,0.02125
2020-10-11,Alabama,0.021725
2020-10-12,Alabama,0.02135
2020-10-13,Alabama,0.02175
2020-10-14,Alabama,0.021625
2020-10-15,Alabama,0.022125
2020-10-16,Alabama,0.0222
2020-10-17,Alabama,0.02215
2020-10-18,Alabama,0.02145
2020-10-19,Alabama,0.02165
2020-10-20,Alabama,0.02145
2020-10-21,Alabama,0.02045
2020-10-22,Alabama,0.021275
2020-10-23,Alabama,0.020725
2020-10-24,Alabama,0.0197
2020-10-25,Alabama,0.0196
2020-10-26,Alabama,0.02005
2020-10-27,Alabama,0.0189
2020-10-28,Alabama,0.0187
2020-10-29,Alabama,0.01745
2020-10-30,Alabama,0.01805
2020-06-01,Alaska,0.1662
2020-06-02,Alaska,0.17065
2020-06-03,Alaska,0.162975
2020-06-04,Alaska,0.166925
2020-06-05,Alaska,0.16085
2020-06-06,Alaska,0.16275
2020-06-07,Alaska,0.166375
2020-06-08,Alaska,0.170075
2020-06-09,Alaska,0.17355
2020-06-10,Alaska,0.1742
2020-06-11,Alaska,0.1842
2020-06-12,Alaska,0.18855
2020-06-13,Alaska,0.190775
2020-06-14,Alaska,0.19035
2020-06-15,Alaska,0.188075
2020-06-16,Alaska,0.19575
2020-06-17,Alaska,0.19655
2020-06-18,Alaska,0.196025
2020-06-19,Alaska,0.199025
2020-06-20,Alaska,0.19995
2020-06-21,Alaska,0.201725
2020-06-22,Alaska,0.206625
2020-06-23,Alaska,0.206425
2020-06-24,Alaska,0.203925
2020-06-25,Alaska,0.200275
2020-06-26,Alaska,0.2072
2020-06-27,Alaska,0.20465
2020-06-28,Alaska,0.204075
2020-06-29,Alaska,0.2019
2020-06-30,Alaska,0.20265
2020-07-01,Alaska,0.202525
2020-07-02,Alaska,0.202675
2020-07-03,Alaska,0.2036
2020-07-04,Alaska,0.19899999999999998
2020-07-05,Alaska,0.20035
2020-07-06,Alaska,0.19095
2020-07-07,Alaska,0.255
2020-07-08,Alaska,0.2512
2020-07-09,Alaska,0.248175
2020-07-10,Alaska,0.2512
2020-07-11,Alaska,0.25
2020-07-12,Alaska,0.25435
2020-07-13,Alaska,0.253775
2020-07-14,Alaska,0.254625
2020-07-15,Alaska,0.25845
2020-07-16,Alaska,0.252425
2020-07-17,Alaska,0.247525
2020-07-18,Alaska,0.252825
2020-07-19,Alaska,0.250625
2020-07-20,Alaska,0.253
2020-07-21,Alaska,0.241125
2020-07-22,Alaska,0.242275
2020-07-23,Alaska,0.246225
2020-07-24,Alaska,0.2064
2020-07-25,Alaska,0.211575
2020-07-26,Alaska,0.2047
2020-07-27,Alaska,0.208875
2020-07-28,Alaska,0.208675
2020-07-29,Alaska,0.202625
2020-07-30,Alaska,0.2021
2020-07-31,Alaska,0.19355
2020-08-01,Alaska,0.195275
2020-08-02,Alaska,0.191975
2020-08-03,Alaska,0.194675
2020-08-04,Alaska,0.198575
2020-08-05,Alaska,0.189175
2020-08-06,Alaska,0.1864
2020-08-07,Alaska,0.185475
2020-08-08,Alaska,0.18645
2020-08-09,Alaska,0.190175
2020-08-10,Alaska,0.18995
2020-08-11,Alaska,0.190925
2020-08-12,Alaska,0.18965
2020-08-13,Alaska,0.1888
2020-08-14,Alaska,0.192725
2020-08-15,Alaska,0.18885
2020-08-16,Alaska,0.18600000000000003
2020-08-17,Alaska,0.1856
2020-08-18,Alaska,0.18925
2020-08-19,Alaska,0.185975
2020-08-20,Alaska,0.188625
2020-08-21,Alaska,0.197375
2020-08-22,Alaska,0.198825
2020-08-23,Alaska,0.199025
2020-08-24,Alaska,0.1945
2020-08-25,Alaska,0.194025
2020-08-26,Alaska,0.183325
2020-08-27,Alaska,0.182975
2020-08-28,Alaska,0.188725
2020-08-29,Alaska,0.191625
2020-08-30,Alaska,0.18415
2020-08-31,Alaska,0.1761
2020-09-01,Alaska,0.179225
2020-09-02,Alaska,0.1899
2020-09-03,Alaska,0.1902
2020-09-04,Alaska,0.1897
2020-09-05,Alaska,0.186675
2020-09-06,Alaska,0.193175
2020-09-07,Alaska,0.1929
2020-09-08,Alaska,0.193375
2020-09-09,Alaska,0.20045
2020-09-10,Alaska,0.197825
2020-09-11,Alaska,0.2017
2020-09-12,Alaska,0.20195
2020-09-13,Alaska,0.2
2020-09-14,Alaska,0.1959
2020-09-15,Alaska,0.197525
2020-09-16,Alaska,0.195625
2020-09-17,Alaska,0.1936
2020-09-18,Alaska,0.195575
2020-09-19,Alaska,0.19835
2020-09-20,Alaska,0.196075
2020-09-21,Alaska,0.197575
2020-09-22,Alaska,0.1977
2020-09-23,Alaska,0.201225
2020-09-24,Alaska,0.19365
2020-09-25,Alaska,0.194975
2020-09-26,Alaska,0.195975
2020-09-27,Alaska,0.195675
2020-09-28,Alaska,0.212425
2020-09-29,Alaska,0.2123
2020-09-30,Alaska,0.213025
2020-10-01,Alaska,0.2186
2020-10-02,Alaska,0.21315
2020-10-03,Alaska,0.19315
2020-10-04,Alaska,0.1966
2020-10-05,Alaska,0.19925
2020-10-06,Alaska,0.21645
2020-10-07,Alaska,0.221125
2020-10-08,Alaska,0.2221
2020-10-09,Alaska,0.225925
2020-10-10,Alaska,0.226925
2020-10-11,Alaska,0.226725
2020-10-12,Alaska,0.225725
2020-10-13,Alaska,0.221225
2020-10-14,Alaska,0.2241
2020-10-15,Alaska,0.226325
2020-10-16,Alaska,0.2216
2020-10-17,Alaska,0.221325
2020-10-18,Alaska,0.221925
2020-10-19,Alaska,0.22
2020-10-20,Alaska,0.21885
2020-10-21,Alaska,0.200975
2020-10-22,Alaska,0.19755
2020-10-23,Alaska,0.1954
2020-10-24,Alaska,0.189875
2020-10-25,Alaska,0.183375
2020-10-26,Alaska,0.183875
2020-10-27,Alaska,0.180725
2020-10-28,Alaska,0.174525
2020-10-29,Alaska,0.1577
2020-10-30,Alaska,0.15695
2020-06-01,Arizona,0.549475
2020-06-02,Arizona,0.574125
2020-06-03,Arizona,0.566175
2020-06-04,Arizona,0.56565
2020-06-05,Arizona,0.5471
2020-06-06,Arizona,0.54965
2020-06-07,Arizona,0.55015
2020-06-08,Arizona,0.552575
2020-06-09,Arizona,0.562425
2020-06-10,Arizona,0.5678
2020-06-11,Arizona,0.587125
2020-06-12,Arizona,0.59085
2020-06-13,Arizona,0.59525
2020-06-14,Arizona,0.5927
2020-06-15,Arizona,0.580675
2020-06-16,Arizona,0.58925
2020-06-17,Arizona,0.592825
2020-06-18,Arizona,0.59655
2020-06-19,Arizona,0.603
2020-06-20,Arizona,0.6083
2020-06-21,Arizona,0.607725
2020-06-22,Arizona,0.61365
2020-06-23,Arizona,0.612975
2020-06-24,Arizona,0.617425
2020-06-25,Arizona,0.6149
2020-06-26,Arizona,0.627425
2020-06-27,Arizona,0.60505
2020-06-28,Arizona,0.613275
2020-06-29,Arizona,0.60135
2020-06-30,Arizona,0.578075
2020-07-01,Arizona,0.580425
2020-07-02,Arizona,0.57865
2020-07-03,Arizona,0.581875
2020-07-04,Arizona,0.57815
2020-07-05,Arizona,0.57855
2020-07-06,Arizona,0.54615
2020-07-07,Arizona,0.551775
2020-07-08,Arizona,0.552625
2020-07-09,Arizona,0.545275
2020-07-10,Arizona,0.5319
2020-07-11,Arizona,0.5283
2020-07-12,Arizona,0.54165
2020-07-13,Arizona,0.546725
2020-07-14,Arizona,0.54645
2020-07-15,Arizona,0.555675
2020-07-16,Arizona,0.56035
2020-07-17,Arizona,0.556
2020-07-18,Arizona,0.54635
2020-07-19,Arizona,0.548275
2020-07-20,Arizona,0.55165
2020-07-21,Arizona,0.544575
2020-07-22,Arizona,0.55475
2020-07-23,Arizona,0.567725
2020-07-24,Arizona,0.56635
2020-07-25,Arizona,0.56765
2020-07-26,Arizona,0.580375
2020-07-27,Arizona,0.576975
2020-07-28,Arizona,0.586725
2020-07-29,Arizona,0.577775
2020-07-30,Arizona,0.580925
2020-07-31,Arizona,0.5612
2020-08-01,Arizona,0.560475
2020-08-02,Arizona,0.5605
2020-08-03,Arizona,0.558525
2020-08-04,Arizona,0.558125
2020-08-05,Arizona,0.5397
2020-08-06,Arizona,0.5432
2020-08-07,Arizona,0.5439
2020-08-08,Arizona,0.545075
2020-08-09,Arizona,0.55445
2020-08-10,Arizona,0.53095
2020-08-11,Arizona,0.555625
2020-08-12,Arizona,0.55185
2020-08-13,Arizona,0.5552
2020-08-14,Arizona,0.5597
2020-08-15,Arizona,0.556225
2020-08-16,Arizona,0.5479999999999999
2020-08-17,Arizona,0.560225
2020-08-18,Arizona,0.558725
2020-08-19,Arizona,0.5523
2020-08-20,Arizona,0.55805
2020-08-21,Arizona,0.574625
2020-08-22,Arizona,0.5726
2020-08-23,Arizona,0.57765
2020-08-24,Arizona,0.5670000000000001
2020-08-25,Arizona,0.5761
2020-08-26,Arizona,0.5335
2020-08-27,Arizona,0.53745
2020-08-28,Arizona,0.53835
2020-08-29,Arizona,0.536725
2020-08-30,Arizona,0.53105
2020-08-31,Arizona,0.5179
2020-09-01,Arizona,0.550825
2020-09-02,Arizona,0.59225
2020-09-03,Arizona,0.5902
2020-09-04,Arizona,0.5977
2020-09-05,Arizona,0.59665
2020-09-06,Arizona,0.6045
2020-09-07,Arizona,0.602025
2020-09-08,Arizona,0.6121
2020-09-09,Arizona,0.6449
2020-09-10,Arizona,0.659775
2020-09-11,Arizona,0.67215
2020-09-12,Arizona,0.65585
2020-09-13,Arizona,0.659025
2020-09-14,Arizona,0.6772
2020-09-15,Arizona,0.673775
2020-09-16,Arizona,0.6754
2020-09-17,Arizona,0.649275
2020-09-18,Arizona,0.679125
2020-09-19,Arizona,0.682275
2020-09-20,Arizona,0.675625
2020-09-21,Arizona,0.6788
2020-09-22,Arizona,0.6817
2020-09-23,Arizona,0.6505
2020-09-24,Arizona,0.64885
2020-09-25,Arizona,0.6359
2020-09-26,Arizona,0.6392
2020-09-27,Arizona,0.6401
2020-09-28,Arizona,0.635525
2020-09-29,Arizona,0.61565
2020-09-30,Arizona,0.61895
2020-10-01,Arizona,0.64175
2020-10-02,Arizona,0.611525
2020-10-03,Arizona,0.611925
2020-10-04,Arizona,0.6237
2020-10-05,Arizona,0.645875
2020-10-06,Arizona,0.66395
2020-10-07,Arizona,0.666075
2020-10-08,Arizona,0.6694
2020-10-09,Arizona,0.65515
2020-10-10,Arizona,0.6579999999999999
2020-10-11,Arizona,0.6665
2020-10-12,Arizona,0.668725
2020-10-13,Arizona,0.6715
2020-10-14,Arizona,0.664125
2020-10-15,Arizona,0.66855
2020-10-16,Arizona,0.67355
2020-10-17,Arizona,0.680375
2020-10-18,Arizona,0.68035
2020-10-19,Arizona,0.687125
2020-10-20,Arizona,0.6911
2020-10-21,Arizona,0.683975
2020-10-22,Arizona,0.6771
2020-10-23,Arizona,0.66855
2020-10-24,Arizona,0.6591
2020-10-25,Arizona,0.6602
2020-10-26,Arizona,0.66435
2020-10-27,Arizona,0.670075
2020-10-28,Arizona,0.7005
2020-10-29,Arizona,0.666575
2020-10-30,Arizona,0.6866
2020-06-01,Arkansas,0.032925
2020-06-02,Arkansas,0.0323
2020-06-03,Arkansas,0.03045
2020-06-04,Arkansas,0.028975
2020-06-05,Arkansas,0.03015
2020-06-06,Arkansas,0.031525
2020-06-07,Arkansas,0.031275
