date,state,dem_chance,rep_chance
10/1/20,Wyoming,0.0017,0.9983
10/1/20,Wisconsin,0.826275,0.173725
10/1/20,West Virginia,0.006825,0.993175
10/1/20,Washington,0.99105,0.00895
10/1/20,Virginia,0.9655,0.0345
10/1/20,Vermont,0.98665,0.01335
10/1/20,Utah,0.03625,0.96375
10/1/20,Texas,0.299825,0.700175
10/1/20,Tennessee,0.039425,0.960575
10/1/20,South Dakota,0.027175,0.972825
10/1/20,South Carolina,0.1397,0.8603
10/1/20,Rhode Island,0.99365,0.00635
10/1/20,Pennsylvania,0.799925,0.200075
10/1/20,Oregon,0.9405,0.0595
10/1/20,Oklahoma,0.006125,0.993875
10/1/20,Ohio,0.537675,0.462325
10/1/20,North Dakota,0.009375,0.990625
10/1/20,North Carolina,0.539325,0.460675
10/1/20,New York,0.9995,0.0005
10/1/20,New Mexico,0.95515,0.04485
10/1/20,New Jersey,0.978975,0.021025
10/1/20,New Hampshire,0.7828,0.2172
10/1/20,Nevada,0.83955,0.16045
10/1/20,Nebraska,0.010925,0.989075
10/1/20,NE-3,0.00045,0.99955
10/1/20,NE-2,0.672875,0.327125
10/1/20,NE-1,0.0525,0.9475
10/1/20,Montana,0.132475,0.867525
10/1/20,Missouri,0.095375,0.904625
10/1/20,Mississippi,0.1397,0.8603
10/1/20,Minnesota,0.888725,0.111275
10/1/20,Michigan,0.871075,0.128925
10/1/20,Massachusetts,0.9987,0.0013
10/1/20,Maryland,0.99895,0.00105
10/1/20,Maine,0.884,0.116
10/1/20,ME-2,0.52835,0.47165
10/1/20,ME-1,0.972225,0.027775
10/1/20,Louisiana,0.096575,0.903425
10/1/20,Kentucky,0.01485,0.98515
10/1/20,Kansas,0.059225,0.940775
10/1/20,Iowa,0.376525,0.623475
10/1/20,Indiana,0.038275,0.961725
10/1/20,Illinois,0.994,0.006
10/1/20,Idaho,0.00385,0.99615
10/1/20,Hawaii,0.989575,0.010425
10/1/20,Georgia,0.423775,0.576225
10/1/20,Florida,0.604325,0.395675
10/1/20,District of Columbia,1,0
10/1/20,Delaware,0.99925,0.00075
10/1/20,Connecticut,0.99185,0.00815
10/1/20,Colorado,0.8903,0.1097
10/1/20,California,0.997975,0.002025
10/1/20,Arkansas,0.0601,0.9399
10/1/20,Arizona,0.64175,0.35825
10/1/20,Alaska,0.2186,0.7814
10/1/20,Alabama,0.030125,0.969875
9/30/20,Wyoming,0.001875,0.998125
9/30/20,Wisconsin,0.811775,0.188225
9/30/20,West Virginia,0.0069,0.9931
9/30/20,Washington,0.989475,0.010525
9/30/20,Virginia,0.9592,0.0408
9/30/20,Vermont,0.985325,0.014675
9/30/20,Utah,0.0344,0.9656
9/30/20,Texas,0.279975,0.720025
9/30/20,Tennessee,0.038875,0.961125
9/30/20,South Dakota,0.0285,0.9715
9/30/20,South Carolina,0.1277,0.8723
9/30/20,Rhode Island,0.992575,0.007425
9/30/20,Pennsylvania,0.785475,0.214525
9/30/20,Oregon,0.935225,0.064775
9/30/20,Oklahoma,0.0059,0.9941
9/30/20,Ohio,0.519275,0.480725
9/30/20,North Dakota,0.009025,0.990975
9/30/20,North Carolina,0.5314,0.4686
9/30/20,New York,0.9994,0.0006
9/30/20,New Mexico,0.948,0.052
9/30/20,New Jersey,0.976475,0.023525
9/30/20,New Hampshire,0.77615,0.22385
9/30/20,Nevada,0.822475,0.177525
9/30/20,Nebraska,0.01015,0.98985
9/30/20,NE-3,0.000475,0.999525
9/30/20,NE-2,0.655525,0.344475
9/30/20,NE-1,0.05075,0.94925
9/30/20,Montana,0.1269,0.8731
9/30/20,Missouri,0.0913,0.9087
9/30/20,Mississippi,0.13415,0.86585
9/30/20,Minnesota,0.879075,0.120925
9/30/20,Michigan,0.85905,0.14095
9/30/20,Massachusetts,0.99855,0.00145
9/30/20,Maryland,0.99895,0.00105
9/30/20,Maine,0.88385,0.11615
9/30/20,ME-2,0.530175,0.469825
9/30/20,ME-1,0.971875,0.028125
