forecaster_type,forecaster,date,PS,VI,CI,DI
expert,cook,2019-01-09,0.06133928571428571,0.25,0.02562499999999999,0.21428571428571427
expert,sabato,2019-02-28,0.06580357142857142,0.25,0.05049744897959183,0.2346938775510204
expert,inside,2019-03-08,0.056470588235294106,0.2499038831218762,0.03359477124183006,0.22702806612841214
expert,inside,2019-04-05,0.056470588235294106,0.2499038831218762,0.03359477124183006,0.22702806612841214
expert,inside,2019-04-19,0.056470588235294106,0.2499038831218762,0.03359477124183006,0.22702806612841214
expert,sabato,2019-09-19,0.06419642857142856,0.25,0.04889030612244897,0.2346938775510204
expert,sabato,2019-11-07,0.06245535714285714,0.25,0.047149234693877544,0.2346938775510204
expert,inside,2019-12-19,0.056470588235294106,0.2499038831218762,0.03359477124183006,0.22702806612841214
quant_modeler,economist,2020-03-01,0.06254901960784313,0.2499038831218762,0.04947712418300652,0.2368319876970396
quant_modeler,jhk,2020-03-01,0.05633928571428571,0.25,0.026577380952380943,0.22023809523809526
quant_modeler,economist,2020-03-02,0.06436274509803921,0.2499038831218762,0.036584967320261425,0.2221261053440984
quant_modeler,jhk,2020-03-02,0.057187499999999995,0.25,0.024449404761904752,0.21726190476190474
quant_modeler,economist,2020-03-03,0.06436274509803921,0.2499038831218762,0.036584967320261425,0.2221261053440984
quant_modeler,jhk,2020-03-03,0.05508928571428571,0.25,0.019374999999999993,0.21428571428571427
quant_modeler,economist,2020-03-04,0.06794117647058823,0.2499038831218762,0.04179738562091503,0.223760092272203
quant_modeler,jhk,2020-03-04,0.055491071428571424,0.25,0.01977678571428571,0.21428571428571427
quant_modeler,economist,2020-03-05,0.06637254901960783,0.2499038831218762,0.02879084967320261,0.21232218377547096
quant_modeler,jhk,2020-03-05,0.05375,0.25,0.023988095238095232,0.22023809523809526
quant_modeler,economist,2020-03-06,0.06553921568627451,0.2499038831218762,0.02959150326797385,0.21395617070357556
quant_modeler,jhk,2020-03-06,0.05375,0.25,0.023988095238095232,0.22023809523809526
quant_modeler,economist,2020-03-07,0.065,0.2499038831218762,0.029052287581699338,0.21395617070357556
quant_modeler,jhk,2020-03-07,0.05459821428571428,0.25,0.021860119047619038,0.21726190476190474
