Date,State,Rating
2019/01/09,AK,"Safe R"
2019/01/09,AL,"Safe R"
2019/01/09,AR,"Safe R"
2019/01/09,AZ,Tossup
2019/01/09,CA,"Safe D"
2019/01/09,CO,"Likely D"
2019/01/09,CT,"Safe D"
2019/01/09,DC,"Safe D"
2019/01/09,DE,"Safe D"
2019/01/09,FL,Tossup
2019/01/09,GA,"Lean R"
2019/01/09,HI,"Safe D"
2019/01/09,IA,"Lean R"
2019/01/09,ID,"Safe R"
2019/01/09,IL,"Safe D"
2019/01/09,IN,"Safe R"
2019/01/09,KS,"Safe R"
2019/01/09,KY,"Safe R"
2019/01/09,LA,"Safe R"
2019/01/09,MA,"Safe D"
2019/01/09,MD,"Safe D"
2019/01/09,ME,"Lean D"
2019/01/09,ME-01,"Safe D"
2019/01/09,ME-02,"Lean R"
2019/01/09,MI,Tossup
2019/01/09,MN,"Lean D"
2019/01/09,MO,"Safe R"
2019/01/09,MS,"Safe R"
2019/01/09,MT,"Safe R"
2019/01/09,NC,"Lean R"
2019/01/09,ND,"Safe R"
2019/01/09,NE,"Safe R"
2019/01/09,NE-01,"Safe R"
2019/01/09,NE-02,"Lean R"
2019/01/09,NE-03,"Safe R"
2019/01/09,NH,"Lean D"
2019/01/09,NJ,"Safe D"
2019/01/09,NM,"Safe D"
2019/01/09,NV,"Lean D"
2019/01/09,NY,"Safe D"
2019/01/09,OH,"Likely R"
2019/01/09,OK,"Safe R"
2019/01/09,OR,"Safe D"
2019/01/09,PA,Tossup
2019/01/09,RI,"Safe D"
2019/01/09,SC,"Safe R"
2019/01/09,SD,"Safe R"
2019/01/09,TN,"Safe R"
2019/01/09,TX,"Likely R"
2019/01/09,UT,"Safe R"
2019/01/09,VA,"Likely D"
2019/01/09,VT,"Safe D"
2019/01/09,WA,"Safe D"
2019/01/09,WI,Tossup
2019/01/09,WV,"Safe R"
2019/01/09,WY,"Safe R"
2020/03/09,AK,"Safe R"
2020/03/09,AL,"Safe R"
2020/03/09,AR,"Safe R"
2020/03/09,AZ,Tossup
2020/03/09,CA,"Safe D"
2020/03/09,CO,"Likely D"
2020/03/09,CT,"Safe D"
2020/03/09,DC,"Safe D"
2020/03/09,DE,"Safe D"
2020/03/09,FL,Tossup
2020/03/09,GA,"Lean R"
2020/03/09,HI,"Safe D"
2020/03/09,IA,"Likely R"
2020/03/09,ID,"Safe R"
2020/03/09,IL,"Safe D"
2020/03/09,IN,"Safe R"
2020/03/09,KS,"Safe R"
2020/03/09,KY,"Safe R"
2020/03/09,LA,"Safe R"
2020/03/09,MA,"Safe D"
2020/03/09,MD,"Safe D"
2020/03/09,ME,"Lean D"
2020/03/09,ME-01,"Safe D"
2020/03/09,ME-02,"Likely R"
2020/03/09,MI,Tossup
2020/03/09,MN,"Lean D"
2020/03/09,MO,"Safe R"
2020/03/09,MS,"Safe R"
2020/03/09,MT,"Safe R"
2020/03/09,NC,Tossup
2020/03/09,ND,"Safe R"
2020/03/09,NE,"Safe R"
2020/03/09,NE-01,"Safe R"
2020/03/09,NE-02,Tossup
2020/03/09,NE-03,"Safe R"
2020/03/09,NH,"Lean D"
2020/03/09,NJ,"Safe D"
2020/03/09,NM,"Safe D"
2020/03/09,NV,"Likely D"
2020/03/09,NY,"Safe D"
2020/03/09,OH,"Likely R"
2020/03/09,OK,"Safe R"
2020/03/09,OR,"Safe D"
2020/03/09,PA,Tossup
2020/03/09,RI,"Safe D"
2020/03/09,SC,"Safe R"
2020/03/09,SD,"Safe R"
2020/03/09,TN,"Safe R"
2020/03/09,TX,"Lean R"
2020/03/09,UT,"Safe R"
2020/03/09,VA,"Likely D"
2020/03/09,VT,"Safe D"
2020/03/09,WA,"Safe D"
2020/03/09,WI,Tossup
2020/03/09,WV,"Safe R"
2020/03/09,WY,"Safe R"
2020/06/19,AK,"Safe R"
2020/06/19,AL,"Safe R"
2020/06/19,AR,"Safe R"
2020/06/19,AZ,Tossup
2020/06/19,CA,"Safe D"
2020/06/19,CO,"Likely D"
2020/06/19,CT,"Safe D"
2020/06/19,DC,"Safe D"
2020/06/19,DE,"Safe D"
2020/06/19,FL,Tossup
2020/06/19,GA,"Lean R"
2020/06/19,HI,"Safe D"
2020/06/19,IA,"Lean R"
2020/06/19,ID,"Safe R"
2020/06/19,IL,"Safe D"
2020/06/19,IN,"Safe R"
2020/06/19,KS,"Safe R"
2020/06/19,KY,"Safe R"
2020/06/19,LA,"Safe R"
2020/06/19,MA,"Safe D"
2020/06/19,MD,"Safe D"
2020/06/19,ME,"Lean D"
2020/06/19,ME-01,"Safe D"
2020/06/19,ME-02,"Likely R"
2020/06/19,MI,"Lean D"
2020/06/19,MN,"Lean D"
2020/06/19,MO,"Safe R"
2020/06/19,MS,"Safe R"
2020/06/19,MT,"Safe R"
2020/06/19,NC,Tossup
2020/06/19,ND,"Safe R"
2020/06/19,NE,"Safe R"
2020/06/19,NE-01,"Safe R"
2020/06/19,NE-02,Tossup
2020/06/19,NE-03,"Safe R"
2020/06/19,NH,"Lean D"
2020/06/19,NJ,"Safe D"
2020/06/19,NM,"Safe D"
2020/06/19,NV,"Likely D"
2020/06/19,NY,"Safe D"
2020/06/19,OH,"Lean R"
2020/06/19,OK,"Safe R"
2020/06/19,OR,"Safe D"
2020/06/19,PA,Tossup
2020/06/19,RI,"Safe D"
2020/06/19,SC,"Safe R"
2020/06/19,SD,"Safe R"
2020/06/19,TN,"Safe R"
2020/06/19,TX,"Lean R"
2020/06/19,UT,"Safe R"
2020/06/19,VA,"Likely D"
2020/06/19,VT,"Safe D"
2020/06/19,WA,"Safe D"
2020/06/19,WI,Tossup
2020/06/19,WV,"Safe R"
2020/06/19,WY,"Safe R"
2020/07/07,AK,"Safe R"
2020/07/07,AL,"Safe R"
2020/07/07,AR,"Safe R"
2020/07/07,AZ,Tossup
2020/07/07,CA,"Safe D"
2020/07/07,CO,"Likely D"
2020/07/07,CT,"Safe D"
2020/07/07,DC,"Safe D"
2020/07/07,DE,"Safe D"
2020/07/07,FL,Tossup
2020/07/07,GA,Tossup
2020/07/07,HI,"Safe D"
2020/07/07,IA,"Lean R"
2020/07/07,ID,"Safe R"
2020/07/07,IL,"Safe D"
2020/07/07,IN,"Safe R"
2020/07/07,KS,"Safe R"
2020/07/07,KY,"Safe R"
2020/07/07,LA,"Safe R"
2020/07/07,MA,"Safe D"
2020/07/07,MD,"Safe D"
2020/07/07,ME,"Likely D"
2020/07/07,ME-01,"Safe D"
2020/07/07,ME-02,"Lean R"
2020/07/07,MI,"Lean D"
2020/07/07,MN,"Lean D"
2020/07/07,MO,"Safe R"
2020/07/07,MS,"Safe R"
2020/07/07,MT,"Safe R"
2020/07/07,NC,Tossup
2020/07/07,ND,"Safe R"
2020/07/07,NE,"Safe R"
2020/07/07,NE-01,"Safe R"
2020/07/07,NE-02,"Lean D"
2020/07/07,NE-03,"Safe R"
2020/07/07,NH,"Lean D"
2020/07/07,NJ,"Safe D"
2020/07/07,NM,"Safe D"
2020/07/07,NV,"Likely D"
2020/07/07,NY,"Safe D"
2020/07/07,OH,"Lean R"
2020/07/07,OK,"Safe R"
2020/07/07,OR,"Safe D"
2020/07/07,PA,"Lean D"
2020/07/07,RI,"Safe D"
2020/07/07,SC,"Safe R"
2020/07/07,SD,"Safe R"
2020/07/07,TN,"Safe R"
2020/07/07,TX,"Lean R"
2020/07/07,UT,"Safe R"
2020/07/07,VA,"Likely D"
2020/07/07,VT,"Safe D"
2020/07/07,WA,"Safe D"
2020/07/07,WI,"Lean D"
2020/07/07,WV,"Safe R"
2020/07/07,WY,"Safe R"
2020/07/14,AK,"Likely R"
2020/07/14,AL,"Safe R"
2020/07/14,AR,"Safe R"
2020/07/14,AZ,Tossup
2020/07/14,CA,"Safe D"
2020/07/14,CO,"Likely D"
2020/07/14,CT,"Safe D"
2020/07/14,DC,"Safe D"
2020/07/14,DE,"Safe D"
2020/07/14,FL,Tossup
2020/07/14,GA,Tossup
2020/07/14,HI,"Safe D"
2020/07/14,IA,"Lean R"
2020/07/14,ID,"Safe R"
2020/07/14,IL,"Safe D"
2020/07/14,IN,"Safe R"
2020/07/14,KS,"Safe R"
2020/07/14,KY,"Safe R"
2020/07/14,LA,"Safe R"
2020/07/14,MA,"Safe D"
2020/07/14,MD,"Safe D"
2020/07/14,ME,"Likely D"
2020/07/14,ME-01,"Safe D"
2020/07/14,ME-02,Tossup
2020/07/14,MI,"Lean D"
2020/07/14,MN,"Lean D"
2020/07/14,MO,"Safe R"
2020/07/14,MS,"Safe R"
2020/07/14,MT,"Likely R"
2020/07/14,NC,Tossup
2020/07/14,ND,"Safe R"
2020/07/14,NE,"Safe R"
2020/07/14,NE-01,"Safe R"
