Date,State,Rating
2019-03-08,AK,Safe R
2019-03-08,AL,Safe R
2019-03-08,AR,Safe R
2019-03-08,AZ,Tilt R
2019-03-08,CA,Safe D
2019-03-08,CO,Safe D
2019-03-08,CT,Safe D
2019-03-08,DC,Safe D
2019-03-08,DE,Safe D
2019-03-08,FL,Tossup
2019-03-08,GA,Likely R
2019-03-08,HI,Safe D
2019-03-08,IA,Lean R
2019-03-08,ID,Safe R
2019-03-08,IL,Safe D
2019-03-08,IN,Safe R
2019-03-08,KS,Safe R
2019-03-08,KY,Safe R
2019-03-08,LA,Safe R
2019-03-08,MA,Safe D
2019-03-08,MD,Safe D
2019-03-08,ME,Lean D
2019-03-08,MI,Tilt D
2019-03-08,MN,Likely D
2019-03-08,MO,Safe R
2019-03-08,MS,Safe R
2019-03-08,MT,Safe R
2019-03-08,NC,Tossup
2019-03-08,ND,Safe R
2019-03-08,NE,Safe R
2019-03-08,NH,Lean D
2019-03-08,NJ,Safe D
2019-03-08,NM,Safe D
2019-03-08,NV,Lean D
2019-03-08,NY,Safe D
2019-03-08,OH,Likely R
2019-03-08,OK,Safe R
2019-03-08,OR,Safe D
2019-03-08,PA,Tilt D
2019-03-08,RI,Safe D
2019-03-08,SC,Safe R
2019-03-08,SD,Safe R
2019-03-08,TN,Safe R
2019-03-08,TX,Safe R
2019-03-08,UT,Safe R
2019-03-08,VA,Safe D
2019-03-08,VT,Safe D
2019-03-08,WA,Safe D
2019-03-08,WI,Tossup
2019-03-08,WV,Safe R
2019-03-08,WY,Safe R
2019-04-05,AK,Safe R
2019-04-05,AL,Safe R
2019-04-05,AR,Safe R
2019-04-05,AZ,Tilt R
2019-04-05,CA,Safe D
2019-04-05,CO,Safe D
2019-04-05,CT,Safe D
2019-04-05,DC,Safe D
2019-04-05,DE,Safe D
2019-04-05,FL,Tossup
2019-04-05,GA,Likely R
2019-04-05,HI,Safe D
2019-04-05,IA,Lean R
2019-04-05,ID,Safe R
2019-04-05,IL,Safe D
2019-04-05,IN,Safe R
2019-04-05,KS,Safe R
2019-04-05,KY,Safe R
2019-04-05,LA,Safe R
2019-04-05,MA,Safe D
2019-04-05,MD,Safe D
2019-04-05,ME,Lean D
2019-04-05,MI,Tilt D
2019-04-05,MN,Likely D
2019-04-05,MO,Safe R
2019-04-05,MS,Safe R
2019-04-05,MT,Safe R
2019-04-05,NC,Tossup
2019-04-05,ND,Safe R
2019-04-05,NE,Safe R
2019-04-05,NH,Lean D
2019-04-05,NJ,Safe D
2019-04-05,NM,Safe D
2019-04-05,NV,Lean D
2019-04-05,NY,Safe D
2019-04-05,OH,Likely R
2019-04-05,OK,Safe R
2019-04-05,OR,Safe D
2019-04-05,PA,Tilt D
2019-04-05,RI,Safe D
2019-04-05,SC,Safe R
2019-04-05,SD,Safe R
2019-04-05,TN,Safe R
2019-04-05,TX,Safe R
2019-04-05,UT,Safe R
2019-04-05,VA,Safe D
2019-04-05,VT,Safe D
2019-04-05,WA,Safe D
2019-04-05,WI,Tossup
2019-04-05,WV,Safe R
2019-04-05,WY,Safe R
2019-04-19,AK,Safe R
2019-04-19,AL,Safe R
2019-04-19,AR,Safe R
2019-04-19,AZ,Tilt R
2019-04-19,CA,Safe D
