date,state,dem_chance
2019/01/09,AK,0.05
2019/01/09,AL,0.05
2019/01/09,AR,0.05
2019/01/09,AZ,0.50
2019/01/09,CA,0.95
2019/01/09,CO,0.75
2019/01/09,CT,0.95
2019/01/09,DC,0.95
2019/01/09,DE,0.95
2019/01/09,FL,0.50
2019/01/09,GA,0.40
2019/01/09,HI,0.95
2019/01/09,IA,0.40
2019/01/09,ID,0.05
2019/01/09,IL,0.95
2019/01/09,IN,0.05
2019/01/09,KS,0.05
2019/01/09,KY,0.05
2019/01/09,LA,0.05
2019/01/09,MA,0.95
2019/01/09,MD,0.95
2019/01/09,ME,0.60
2019/01/09,ME-01,0.95
2019/01/09,ME-02,0.40
2019/01/09,MI,0.50
2019/01/09,MN,0.60
2019/01/09,MO,0.05
2019/01/09,MS,0.05
2019/01/09,MT,0.05
2019/01/09,NC,0.40
2019/01/09,ND,0.05
2019/01/09,NE,0.05
2019/01/09,NE-01,0.05
2019/01/09,NE-02,0.40
2019/01/09,NE-03,0.05
2019/01/09,NH,0.60
2019/01/09,NJ,0.95
2019/01/09,NM,0.95
2019/01/09,NV,0.60
2019/01/09,NY,0.95
2019/01/09,OH,0.25
2019/01/09,OK,0.05
2019/01/09,OR,0.95
2019/01/09,PA,0.50
2019/01/09,RI,0.95
2019/01/09,SC,0.05
2019/01/09,SD,0.05
2019/01/09,TN,0.05
2019/01/09,TX,0.25
2019/01/09,UT,0.05
2019/01/09,VA,0.75
2019/01/09,VT,0.95
2019/01/09,WA,0.95
2019/01/09,WI,0.50
2019/01/09,WV,0.05
2019/01/09,WY,0.05
2020/03/09,AK,0.05
2020/03/09,AL,0.05
2020/03/09,AR,0.05
2020/03/09,AZ,0.50
2020/03/09,CA,0.95
2020/03/09,CO,0.75
2020/03/09,CT,0.95
2020/03/09,DC,0.95
2020/03/09,DE,0.95
2020/03/09,FL,0.50
2020/03/09,GA,0.40
2020/03/09,HI,0.95
2020/03/09,IA,0.25
2020/03/09,ID,0.05
2020/03/09,IL,0.95
2020/03/09,IN,0.05
2020/03/09,KS,0.05
2020/03/09,KY,0.05
2020/03/09,LA,0.05
2020/03/09,MA,0.95
2020/03/09,MD,0.95
2020/03/09,ME,0.60
2020/03/09,ME-01,0.95
2020/03/09,ME-02,0.25
2020/03/09,MI,0.50
2020/03/09,MN,0.60
2020/03/09,MO,0.05
2020/03/09,MS,0.05
2020/03/09,MT,0.05
2020/03/09,NC,0.50
2020/03/09,ND,0.05
2020/03/09,NE,0.05
2020/03/09,NE-01,0.05
2020/03/09,NE-02,0.50
2020/03/09,NE-03,0.05
2020/03/09,NH,0.60
2020/03/09,NJ,0.95
2020/03/09,NM,0.95
2020/03/09,NV,0.75
2020/03/09,NY,0.95
2020/03/09,OH,0.25
2020/03/09,OK,0.05
2020/03/09,OR,0.95
2020/03/09,PA,0.50
2020/03/09,RI,0.95
2020/03/09,SC,0.05
2020/03/09,SD,0.05
2020/03/09,TN,0.05
2020/03/09,TX,0.40
2020/03/09,UT,0.05
2020/03/09,VA,0.75
2020/03/09,VT,0.95
2020/03/09,WA,0.95
2020/03/09,WI,0.50
2020/03/09,WV,0.05
2020/03/09,WY,0.05
2020/06/19,AK,0.05
2020/06/19,AL,0.05
2020/06/19,AR,0.05
2020/06/19,AZ,0.50
2020/06/19,CA,0.95
2020/06/19,CO,0.75
2020/06/19,CT,0.95
2020/06/19,DC,0.95
2020/06/19,DE,0.95
2020/06/19,FL,0.50
2020/06/19,GA,0.40
2020/06/19,HI,0.95
2020/06/19,IA,0.40
2020/06/19,ID,0.05
2020/06/19,IL,0.95
2020/06/19,IN,0.05
2020/06/19,KS,0.05
2020/06/19,KY,0.05
2020/06/19,LA,0.05
2020/06/19,MA,0.95
2020/06/19,MD,0.95
2020/06/19,ME,0.60
2020/06/19,ME-01,0.95
2020/06/19,ME-02,0.25
2020/06/19,MI,0.60
2020/06/19,MN,0.60
2020/06/19,MO,0.05
2020/06/19,MS,0.05
2020/06/19,MT,0.05
2020/06/19,NC,0.50
2020/06/19,ND,0.05
2020/06/19,NE,0.05
2020/06/19,NE-01,0.05
2020/06/19,NE-02,0.50
2020/06/19,NE-03,0.05
2020/06/19,NH,0.60
2020/06/19,NJ,0.95
2020/06/19,NM,0.95
2020/06/19,NV,0.75
2020/06/19,NY,0.95
2020/06/19,OH,0.40
2020/06/19,OK,0.05
2020/06/19,OR,0.95
2020/06/19,PA,0.50
2020/06/19,RI,0.95
2020/06/19,SC,0.05
2020/06/19,SD,0.05
2020/06/19,TN,0.05
2020/06/19,TX,0.40
2020/06/19,UT,0.05
2020/06/19,VA,0.75
2020/06/19,VT,0.95
2020/06/19,WA,0.95
2020/06/19,WI,0.50
2020/06/19,WV,0.05
2020/06/19,WY,0.05
2020/07/07,AK,0.05
2020/07/07,AL,0.05
2020/07/07,AR,0.05
2020/07/07,AZ,0.50
2020/07/07,CA,0.95
2020/07/07,CO,0.75
2020/07/07,CT,0.95
2020/07/07,DC,0.95
2020/07/07,DE,0.95
2020/07/07,FL,0.50
2020/07/07,GA,0.50
2020/07/07,HI,0.95
2020/07/07,IA,0.40
2020/07/07,ID,0.05
2020/07/07,IL,0.95
2020/07/07,IN,0.05
2020/07/07,KS,0.05
2020/07/07,KY,0.05
2020/07/07,LA,0.05
2020/07/07,MA,0.95
2020/07/07,MD,0.95
2020/07/07,ME,0.75
2020/07/07,ME-01,0.95
2020/07/07,ME-02,0.40
2020/07/07,MI,0.60
2020/07/07,MN,0.60
2020/07/07,MO,0.05
2020/07/07,MS,0.05
2020/07/07,MT,0.05
2020/07/07,NC,0.50
2020/07/07,ND,0.05
2020/07/07,NE,0.05
2020/07/07,NE-01,0.05
2020/07/07,NE-02,0.60
2020/07/07,NE-03,0.05
2020/07/07,NH,0.60
2020/07/07,NJ,0.95
2020/07/07,NM,0.95
2020/07/07,NV,0.75
2020/07/07,NY,0.95
2020/07/07,OH,0.40
2020/07/07,OK,0.05
2020/07/07,OR,0.95
2020/07/07,PA,0.60
2020/07/07,RI,0.95
2020/07/07,SC,0.05
2020/07/07,SD,0.05
2020/07/07,TN,0.05
2020/07/07,TX,0.40
2020/07/07,UT,0.05
2020/07/07,VA,0.75
2020/07/07,VT,0.95
2020/07/07,WA,0.95
2020/07/07,WI,0.60
2020/07/07,WV,0.05
2020/07/07,WY,0.05
2020/07/14,AK,0.25
2020/07/14,AL,0.05
2020/07/14,AR,0.05
2020/07/14,AZ,0.50
2020/07/14,CA,0.95
2020/07/14,CO,0.75
2020/07/14,CT,0.95
2020/07/14,DC,0.95
2020/07/14,DE,0.95
2020/07/14,FL,0.50
2020/07/14,GA,0.50
2020/07/14,HI,0.95
2020/07/14,IA,0.40
2020/07/14,ID,0.05
2020/07/14,IL,0.95
2020/07/14,IN,0.05
2020/07/14,KS,0.05
2020/07/14,KY,0.05
2020/07/14,LA,0.05
2020/07/14,MA,0.95
2020/07/14,MD,0.95
2020/07/14,ME,0.75
2020/07/14,ME-01,0.95
2020/07/14,ME-02,0.50
2020/07/14,MI,0.60
2020/07/14,MN,0.60
2020/07/14,MO,0.05
2020/07/14,MS,0.05
2020/07/14,MT,0.25
2020/07/14,NC,0.50
2020/07/14,ND,0.05
2020/07/14,NE,0.05
2020/07/14,NE-01,0.05
2020/07/14,NE-02,0.60
2020/07/14,NE-03,0.05
2020/07/14,NH,0.60
2020/07/14,NJ,0.95
2020/07/14,NM,0.95
2020/07/14,NV,0.75
2020/07/14,NY,0.95
2020/07/14,OH,0.40
2020/07/14,OK,0.05
2020/07/14,OR,0.95
2020/07/14,PA,0.60
2020/07/14,RI,0.95
2020/07/14,SC,0.25
2020/07/14,SD,0.05
2020/07/14,TN,0.05
2020/07/14,TX,0.40
2020/07/14,UT,0.25
2020/07/14,VA,0.75
2020/07/14,VT,0.95
2020/07/14,WA,0.95
2020/07/14,WI,0.60
2020/07/14,WV,0.05
2020/07/14,WY,0.05
2020/07/23,AK,0.25
2020/07/23,AL,0.05
2020/07/23,AR,0.05
2020/07/23,AZ,0.50
2020/07/23,CA,0.95
2020/07/23,CO,0.75
2020/07/23,CT,0.95
