date,state,dem_chance
2019/03/08,AK,0.05
2019/03/08,AL,0.05
2019/03/08,AR,0.05
2019/03/08,AZ,0.45
2019/03/08,CA,0.95
2019/03/08,CO,0.95
2019/03/08,CT,0.95
2019/03/08,DC,0.95
2019/03/08,DE,0.95
2019/03/08,FL,0.50
2019/03/08,GA,0.25
2019/03/08,HI,0.95
2019/03/08,IA,0.40
2019/03/08,ID,0.05
2019/03/08,IL,0.95
2019/03/08,IN,0.05
2019/03/08,KS,0.05
2019/03/08,KY,0.05
2019/03/08,LA,0.05
2019/03/08,MA,0.95
2019/03/08,MD,0.95
2019/03/08,ME,0.60
2019/03/08,MI,0.55
2019/03/08,MN,0.75
2019/03/08,MO,0.05
2019/03/08,MS,0.05
2019/03/08,MT,0.05
2019/03/08,NC,0.50
2019/03/08,ND,0.05
2019/03/08,NE,0.05
2019/03/08,NH,0.60
2019/03/08,NJ,0.95
2019/03/08,NM,0.95
2019/03/08,NV,0.60
2019/03/08,NY,0.95
2019/03/08,OH,0.25
2019/03/08,OK,0.05
2019/03/08,OR,0.95
2019/03/08,PA,0.55
2019/03/08,RI,0.95
2019/03/08,SC,0.05
2019/03/08,SD,0.05
2019/03/08,TN,0.05
2019/03/08,TX,0.05
2019/03/08,UT,0.05
2019/03/08,VA,0.95
2019/03/08,VT,0.95
2019/03/08,WA,0.95
2019/03/08,WI,0.50
2019/03/08,WV,0.05
2019/03/08,WY,0.05
2019/04/05,AK,0.05
2019/04/05,AL,0.05
2019/04/05,AR,0.05
2019/04/05,AZ,0.45
2019/04/05,CA,0.95
2019/04/05,CO,0.95
2019/04/05,CT,0.95
2019/04/05,DC,0.95
2019/04/05,DE,0.95
2019/04/05,FL,0.50
2019/04/05,GA,0.25
2019/04/05,HI,0.95
2019/04/05,IA,0.40
2019/04/05,ID,0.05
2019/04/05,IL,0.95
2019/04/05,IN,0.05
2019/04/05,KS,0.05
2019/04/05,KY,0.05
2019/04/05,LA,0.05
2019/04/05,MA,0.95
2019/04/05,MD,0.95
2019/04/05,ME,0.60
2019/04/05,MI,0.55
2019/04/05,MN,0.75
2019/04/05,MO,0.05
2019/04/05,MS,0.05
2019/04/05,MT,0.05
2019/04/05,NC,0.50
