Date,State,Rating
2019/02/28,AK,0.05
2019/02/28,AL,0.05
2019/02/28,AR,0.05
2019/02/28,AZ,0.5
2019/02/28,CA,0.95
2019/02/28,CO,0.6
2019/02/28,CT,0.95
2019/02/28,DC,0.95
2019/02/28,DE,0.95
2019/02/28,FL,0.4
2019/02/28,GA,0.4
2019/02/28,HI,0.95
2019/02/28,IA,0.4
2019/02/28,ID,0.05
2019/02/28,IL,0.95
2019/02/28,IN,0.05
2019/02/28,KS,0.05
2019/02/28,KY,0.05
2019/02/28,LA,0.05
2019/02/28,MA,0.95
2019/02/28,MD,0.95
2019/02/28,ME,0.6
2019/02/28,ME-01,0.95
2019/02/28,ME-02,0.4
2019/02/28,MI,0.6
2019/02/28,MN,0.6
2019/02/28,MO,0.05
2019/02/28,MS,0.05
2019/02/28,MT,0.05
2019/02/28,NC,0.4
2019/02/28,ND,0.05
2019/02/28,NE,0.05
2019/02/28,NE-01,0.05
2019/02/28,NE-02,0.5
2019/02/28,NE-03,0.05
2019/02/28,NH,0.5
2019/02/28,NJ,0.95
2019/02/28,NM,0.75
2019/02/28,NV,0.6
2019/02/28,NY,0.95
2019/02/28,OH,0.4
2019/02/28,OK,0.05
2019/02/28,OR,0.95
2019/02/28,PA,0.5
2019/02/28,RI,0.95
2019/02/28,SC,0.05
2019/02/28,SD,0.05
2019/02/28,TN,0.05
2019/02/28,TX,0.4
2019/02/28,UT,0.05
2019/02/28,VA,0.6
2019/02/28,VT,0.95
2019/02/28,WA,0.95
2019/02/28,WI,0.5
2019/02/28,WV,0.05
2019/02/28,WY,0.05
2019/09/19,AK,0.05
2019/09/19,AL,0.05
2019/09/19,AR,0.05
2019/09/19,AZ,0.5
2019/09/19,CA,0.95
2019/09/19,CO,0.6
2019/09/19,CT,0.95
2019/09/19,DC,0.95
2019/09/19,DE,0.95
2019/09/19,FL,0.4
2019/09/19,GA,0.4
2019/09/19,HI,0.95
2019/09/19,IA,0.4
2019/09/19,ID,0.05
2019/09/19,IL,0.95
2019/09/19,IN,0.05
2019/09/19,KS,0.05
2019/09/19,KY,0.05
2019/09/19,LA,0.05
2019/09/19,MA,0.95
2019/09/19,MD,0.95
2019/09/19,ME,0.6
2019/09/19,ME-01,0.95
2019/09/19,ME-02,0.4
2019/09/19,MI,0.6
2019/09/19,MN,0.6
2019/09/19,MO,0.05
2019/09/19,MS,0.05
2019/09/19,MT,0.05
2019/09/19,NC,0.4
2019/09/19,ND,0.05
2019/09/19,NE,0.05
2019/09/19,NE-01,0.05
2019/09/19,NE-02,0.5
2019/09/19,NE-03,0.05
2019/09/19,NH,0.6
2019/09/19,NJ,0.95
2019/09/19,NM,0.75
2019/09/19,NV,0.6
2019/09/19,NY,0.95
2019/09/19,OH,0.4
2019/09/19,OK,0.05
2019/09/19,OR,0.95
2019/09/19,PA,0.5
2019/09/19,RI,0.95
2019/09/19,SC,0.05
2019/09/19,SD,0.05
2019/09/19,TN,0.05
2019/09/19,TX,0.4
2019/09/19,UT,0.05
2019/09/19,VA,0.6
2019/09/19,VT,0.95
2019/09/19,WA,0.95
2019/09/19,WI,0.5
2019/09/19,WV,0.05
2019/09/19,WY,0.05
2019/11/07,AK,0.05
2019/11/07,AL,0.05
2019/11/07,AR,0.05
2019/11/07,AZ,0.5
2019/11/07,CA,0.95
2019/11/07,CO,0.6
2019/11/07,CT,0.95
2019/11/07,DC,0.95
2019/11/07,DE,0.95
2019/11/07,FL,0.4
2019/11/07,GA,0.4
2019/11/07,HI,0.95
2019/11/07,IA,0.4
2019/11/07,ID,0.05
2019/11/07,IL,0.95
2019/11/07,IN,0.05
2019/11/07,KS,0.05
2019/11/07,KY,0.05
2019/11/07,LA,0.05
2019/11/07,MA,0.95
2019/11/07,MD,0.95
2019/11/07,ME,0.6
2019/11/07,ME-01,0.95
2019/11/07,ME-02,0.4
2019/11/07,MI,0.6
2019/11/07,MN,0.6
2019/11/07,MO,0.05
2019/11/07,MS,0.05
2019/11/07,MT,0.05
2019/11/07,NC,0.4
2019/11/07,ND,0.05
2019/11/07,NE,0.05
2019/11/07,NE-01,0.05
2019/11/07,NE-02,0.5
2019/11/07,NE-03,0.05
2019/11/07,NH,0.6
2019/11/07,NJ,0.95
2019/11/07,NM,0.75
2019/11/07,NV,0.6
2019/11/07,NY,0.95
2019/11/07,OH,0.4
2019/11/07,OK,0.05
2019/11/07,OR,0.95
2019/11/07,PA,0.5
2019/11/07,RI,0.95
2019/11/07,SC,0.05
2019/11/07,SD,0.05
2019/11/07,TN,0.05
2019/11/07,TX,0.4
2019/11/07,UT,0.05
2019/11/07,VA,0.75
2019/11/07,VT,0.95
2019/11/07,WA,0.95
2019/11/07,WI,0.5
2019/11/07,WV,0.05
2019/11/07,WY,0.05
2020/04/02,AK,0.05
2020/04/02,AL,0.05
2020/04/02,AR,0.05
2020/04/02,AZ,0.5
2020/04/02,CA,0.95
2020/04/02,CO,0.75
2020/04/02,CT,0.95
2020/04/02,DC,0.95
2020/04/02,DE,0.95
2020/04/02,FL,0.4
2020/04/02,GA,0.4
2020/04/02,HI,0.95
2020/04/02,IA,0.4
2020/04/02,ID,0.05
2020/04/02,IL,0.95
2020/04/02,IN,0.05
2020/04/02,KS,0.05
2020/04/02,KY,0.05
2020/04/02,LA,0.05
2020/04/02,MA,0.95
2020/04/02,MD,0.95
2020/04/02,ME,0.75
2020/04/02,ME-01,0.95
2020/04/02,ME-02,0.4
2020/04/02,MI,0.6
2020/04/02,MN,0.6
2020/04/02,MO,0.05
2020/04/02,MS,0.05
2020/04/02,MT,0.05
2020/04/02,NC,0.5
2020/04/02,ND,0.05
2020/04/02,NE,0.05
2020/04/02,NE-01,0.05
2020/04/02,NE-02,0.5
2020/04/02,NE-03,0.05
2020/04/02,NH,0.6
2020/04/02,NJ,0.95
2020/04/02,NM,0.75
2020/04/02,NV,0.6
2020/04/02,NY,0.95
2020/04/02,OH,0.4
2020/04/02,OK,0.05
2020/04/02,OR,0.95
2020/04/02,PA,0.5
2020/04/02,RI,0.95
2020/04/02,SC,0.05
2020/04/02,SD,0.05
2020/04/02,TN,0.05
2020/04/02,TX,0.4
2020/04/02,UT,0.05
2020/04/02,VA,0.75
2020/04/02,VT,0.95
2020/04/02,WA,0.95
2020/04/02,WI,0.5
2020/04/02,WV,0.05
2020/04/02,WY,0.05
2020/06/25,AK,0.05
2020/06/25,AL,0.05
2020/06/25,AR,0.05
2020/06/25,AZ,0.5
2020/06/25,CA,0.95
2020/06/25,CO,0.75
2020/06/25,CT,0.95
2020/06/25,DC,0.95
2020/06/25,DE,0.95
2020/06/25,FL,0.5
2020/06/25,GA,0.4
2020/06/25,HI,0.95
2020/06/25,IA,0.4
2020/06/25,ID,0.05
2020/06/25,IL,0.95
2020/06/25,IN,0.05
2020/06/25,KS,0.05
2020/06/25,KY,0.05
2020/06/25,LA,0.05
2020/06/25,MA,0.95
2020/06/25,MD,0.95
2020/06/25,ME,0.75
2020/06/25,ME-01,0.95
2020/06/25,ME-02,0.4
2020/06/25,MI,0.6
2020/06/25,MN,0.6
2020/06/25,MO,0.05
2020/06/25,MS,0.05
2020/06/25,MT,0.05
2020/06/25,NC,0.5
2020/06/25,ND,0.05
2020/06/25,NE,0.05
2020/06/25,NE-01,0.05
2020/06/25,NE-02,0.5
2020/06/25,NE-03,0.05
2020/06/25,NH,0.6
2020/06/25,NJ,0.95
2020/06/25,NM,0.75
2020/06/25,NV,0.6
2020/06/25,NY,0.95
2020/06/25,OH,0.4
2020/06/25,OK,0.05
2020/06/25,OR,0.95
2020/06/25,PA,0.6
2020/06/25,RI,0.95
2020/06/25,SC,0.05
2020/06/25,SD,0.05
2020/06/25,TN,0.05
2020/06/25,TX,0.4
2020/06/25,UT,0.05
2020/06/25,VA,0.75
2020/06/25,VT,0.95
2020/06/25,WA,0.95
2020/06/25,WI,0.5
2020/06/25,WV,0.05
2020/06/25,WY,0.05
2020/07/14,AK,0.25
2020/07/14,AL,0.05
2020/07/14,AR,0.05
2020/07/14,AZ,0.5
2020/07/14,CA,0.95
2020/07/14,CO,0.75
2020/07/14,CT,0.95
2020/07/14,DC,0.95
2020/07/14,DE,0.95
2020/07/14,FL,0.5
2020/07/14,GA,0.4
2020/07/14,HI,0.95
2020/07/14,IA,0.4
2020/07/14,ID,0.05
2020/07/14,IL,0.95
2020/07/14,IN,0.25
2020/07/14,KS,0.25
2020/07/14,KY,0.05
2020/07/14,LA,0.05
2020/07/14,MA,0.95
2020/07/14,MD,0.95
2020/07/14,ME,0.75
2020/07/14,ME-01,0.95
2020/07/14,ME-02,0.4
2020/07/14,MI,0.6
2020/07/14,MN,0.6
2020/07/14,MO,0.25
2020/07/14,MS,0.05
2020/07/14,MT,0.25
2020/07/14,NC,0.5
2020/07/14,ND,0.05
2020/07/14,NE,0.05
2020/07/14,NE-01,0.05
2020/07/14,NE-02,0.5
2020/07/14,NE-03,0.05
2020/07/14,NH,0.6
2020/07/14,NJ,0.95
2020/07/14,NM,0.75
2020/07/14,NV,0.6
2020/07/14,NY,0.95
2020/07/14,OH,0.4
2020/07/14,OK,0.05
2020/07/14,OR,0.95
2020/07/14,PA,0.6
2020/07/14,RI,0.95
2020/07/14,SC,0.25
2020/07/14,SD,0.05
2020/07/14,TN,0.05
2020/07/14,TX,0.4
2020/07/14,UT,0.25
2020/07/14,VA,0.75
2020/07/14,VT,0.95
2020/07/14,WA,0.95
2020/07/14,WI,0.5
2020/07/14,WV,0.05
2020/07/14,WY,0.05
