date,state,dem_chance,rep_chance
Alabama,3/1/20,0.007,0.993
Alabama,3/2/20,0.008,0.992
Alabama,3/3/20,0.008,0.992
Alabama,3/4/20,0.006,0.994
Alabama,3/5/20,0.006,0.994
Alabama,3/6/20,0.006,0.994
Alabama,3/7/20,0.005,0.995
Alabama,3/8/20,0.004,0.996
Alabama,3/9/20,0.004,0.996
Alabama,3/10/20,0.004,0.996
Alabama,3/11/20,0.003,0.997
Alabama,3/12/20,0.003,0.997
Alabama,3/13/20,0.003,0.997
Alabama,3/14/20,0.003,0.997
Alabama,3/15/20,0.003,0.997
Alabama,3/16/20,0.003,0.997
Alabama,3/17/20,0.004,0.996
Alabama,3/18/20,0.003,0.997
Alabama,3/19/20,0.003,0.997
Alabama,3/20/20,0.003,0.997
Alabama,3/21/20,0.003,0.997
Alabama,3/22/20,0.002,0.998
Alabama,3/23/20,0.002,0.998
Alabama,3/24/20,0.002,0.998
Alabama,3/25/20,0.002,0.998
Alabama,3/26/20,0.003,0.997
Alabama,3/27/20,0.002,0.998
Alabama,3/28/20,0.002,0.998
Alabama,3/29/20,0.002,0.998
Alabama,3/30/20,0.002,0.998
Alabama,3/31/20,0.002,0.998
Alabama,4/1/20,0.003,0.997
Alabama,4/2/20,0.003,0.997
Alabama,4/3/20,0.003,0.997
Alabama,4/4/20,0.003,0.997
Alabama,4/5/20,0.003,0.997
Alabama,4/6/20,0.003,0.997
Alabama,4/7/20,0.003,0.997
Alabama,4/8/20,0.002,0.998
Alabama,4/9/20,0.002,0.998
Alabama,4/10/20,0.002,0.998
Alabama,4/11/20,0.003,0.997
Alabama,4/12/20,0.002,0.998
Alabama,4/13/20,0.002,0.998
Alabama,4/14/20,0.002,0.998
Alabama,4/15/20,0.002,0.998
Alabama,4/16/20,0.002,0.998
Alabama,4/17/20,0.002,0.998
Alabama,4/18/20,0.002,0.998
Alabama,4/19/20,0.001,0.999
Alabama,4/20/20,0.002,0.998
Alabama,4/21/20,0.003,0.997
Alabama,4/22/20,0.002,0.998
Alabama,4/23/20,0.002,0.998
Alabama,4/24/20,0.003,0.997
Alabama,4/25/20,0.002,0.998
Alabama,4/26/20,0.003,0.997
Alabama,4/27/20,0.002,0.998
Alabama,4/28/20,0.002,0.998
Alabama,4/29/20,0.002,0.998
Alabama,4/30/20,0.002,0.998
Alabama,5/1/20,0.002,0.998
Alabama,5/2/20,0.003,0.997
Alabama,5/3/20,0.003,0.997
Alabama,5/4/20,0.003,0.997
Alabama,5/5/20,0.003,0.997
Alabama,5/6/20,0.003,0.997
Alabama,5/7/20,0.002,0.998
Alabama,5/8/20,0.002,0.998
Alabama,5/9/20,0.002,0.998
Alabama,5/10/20,0.002,0.998
Alabama,5/11/20,0.003,0.997
Alabama,5/12/20,0.003,0.997
Alabama,5/13/20,0.002,0.998
Alabama,5/14/20,0.002,0.998
Alabama,5/15/20,0.003,0.997
Alabama,5/16/20,0.002,0.998
Alabama,5/17/20,0.002,0.998
Alabama,5/18/20,0.002,0.998
Alabama,5/19/20,0.002,0.998
Alabama,5/20/20,0.002,0.998
Alabama,5/21/20,0.002,0.998
Alabama,5/22/20,0.003,0.997
Alabama,5/23/20,0.003,0.997
Alabama,5/24/20,0.002,0.998
Alabama,5/25/20,0.002,0.998
Alabama,5/26/20,0.002,0.998
Alabama,5/27/20,0.002,0.998
Alabama,5/28/20,0.002,0.998
Alabama,5/29/20,0.002,0.998
Alabama,5/30/20,0.002,0.998
Alabama,5/31/20,0.002,0.998
Alabama,6/1/20,0.002,0.998
Alabama,6/2/20,0.002,0.998
Alabama,6/3/20,0.002,0.998
Alabama,6/4/20,0.002,0.998
Alabama,6/5/20,0.002,0.998
Alabama,6/6/20,0.002,0.998
Alabama,6/7/20,0.002,0.998
Alabama,6/8/20,0.002,0.998
Alabama,6/9/20,0.003,0.997
Alabama,6/10/20,0.003,0.997
Alabama,6/11/20,0.003,0.997
Alabama,6/12/20,0.003,0.997
Alabama,6/13/20,0.003,0.997
Alabama,6/14/20,0.003,0.997
Alabama,6/15/20,0.003,0.997
Alabama,6/16/20,0.003,0.997
Alabama,6/17/20,0.003,0.997
Alabama,6/18/20,0.003,0.997
Alabama,6/19/20,0.003,0.997
Alabama,6/20/20,0.003,0.997
Alabama,6/21/20,0.003,0.997
Alabama,6/22/20,0.003,0.997
Alabama,6/23/20,0.003,0.997
Alabama,6/24/20,0.003,0.997
Alabama,6/25/20,0.002,0.998
Alabama,6/26/20,0.003,0.997
Alabama,6/27/20,0.003,0.997
Alabama,6/28/20,0.002,0.998
Alabama,6/29/20,0.003,0.997
Alabama,6/30/20,0.003,0.997
Alabama,7/1/20,0.003,0.997
Alabama,7/2/20,0.003,0.997
Alabama,7/3/20,0.002,0.998
Alabama,7/4/20,0.003,0.997
Alabama,7/5/20,0.003,0.997
Alabama,7/6/20,0.002,0.998
Alabama,7/7/20,0.002,0.998
Alabama,7/8/20,0.002,0.998
Alabama,7/9/20,0.002,0.998
Alabama,7/10/20,0.003,0.997
Alabama,7/11/20,0.003,0.997
Alabama,7/12/20,0.002,0.998
Alabama,7/13/20,0.002,0.998
Alabama,7/14/20,0.003,0.997
Alabama,7/15/20,0.003,0.997
Alabama,7/16/20,0.003,0.997
Alabama,7/17/20,0.003,0.997
Alabama,7/18/20,0.003,0.997
Alabama,7/19/20,0.002,0.998
Alabama,7/20/20,0.002,0.998
Alabama,7/21/20,0.002,0.998
Alabama,7/22/20,0.002,0.998
Alabama,7/23/20,0.002,0.998
Alabama,7/24/20,0.002,0.998
Alabama,7/25/20,0.002,0.998
Alabama,7/26/20,0.002,0.998
Alabama,7/27/20,0.002,0.998
Alabama,7/28/20,0.002,0.998
Alabama,7/29/20,0.001,0.999
Alabama,7/30/20,0.001,0.999
Alabama,7/31/20,0.001,0.999
Alabama,8/1/20,0.001,0.999
Alabama,8/2/20,0.001,0.999
Alabama,8/3/20,0.001,0.999
Alabama,8/4/20,0.001,0.999
Alabama,8/5/20,0.001,0.999
Alabama,8/6/20,0.001,0.999
Alabama,8/7/20,0.001,0.999
Alabama,8/8/20,0.001,0.999
Alabama,8/9/20,0,1
Alabama,8/10/20,0.001,0.999
Alabama,8/11/20,0,1
Alabama,8/12/20,0,1
Alabama,8/13/20,0,1
Alabama,8/14/20,0,1
Alabama,8/15/20,0.001,0.999
Alabama,8/16/20,0,1
Alabama,8/17/20,0,1
Alabama,8/18/20,0,1
Alabama,8/19/20,0,1
Alabama,8/20/20,0,1
Alabama,8/21/20,0,1
Alabama,8/22/20,0,1
Alabama,8/23/20,0,1
Alabama,8/24/20,0,1
Alabama,8/25/20,0,1
Alabama,8/26/20,0.001,0.999
Alabama,8/27/20,0,1
Alabama,8/28/20,0,1
Alabama,8/29/20,0,1
Alabama,8/30/20,0,1
Alabama,8/31/20,0,1
Alabama,9/1/20,0,1
Alabama,9/2/20,0,1
Alabama,9/3/20,0,1
Alabama,9/4/20,0,1
Alabama,9/5/20,0,1
Alabama,9/6/20,0,1
Alabama,9/7/20,0,1
Alabama,9/8/20,0,1
Alabama,9/9/20,0,1
Alabama,9/10/20,0,1
Alabama,9/11/20,0,1
Alabama,9/12/20,0,1
Alabama,9/13/20,0,1
Alabama,9/14/20,0,1
Alabama,9/15/20,0,1
Alabama,9/16/20,0,1
Alabama,9/17/20,0,1
Alabama,9/18/20,0,1
Alabama,9/19/20,0,1
Alabama,9/20/20,0,1
Alabama,9/21/20,0,1
Alabama,9/22/20,0,1
Alabama,9/23/20,0,1
Alabama,9/24/20,0,1
Alabama,9/25/20,0,1
Alabama,9/26/20,0,1
Alabama,9/27/20,0,1
Alabama,9/28/20,0,1
Alabama,9/29/20,0,1
Alabama,9/30/20,0,1
Alabama,10/1/20,0,1
Alaska,3/1/20,0.085,0.915
Alaska,3/2/20,0.067,0.933
Alaska,3/3/20,0.068,0.932
Alaska,3/4/20,0.077,0.923
Alaska,3/5/20,0.076,0.924
Alaska,3/6/20,0.084,0.916
Alaska,3/7/20,0.084,0.916
Alaska,3/8/20,0.069,0.931
Alaska,3/9/20,0.094,0.906
Alaska,3/10/20,0.102,0.898
Alaska,3/11/20,0.091,0.909
Alaska,3/12/20,0.087,0.913
Alaska,3/13/20,0.096,0.904
Alaska,3/14/20,0.096,0.904
Alaska,3/15/20,0.096,0.904
Alaska,3/16/20,0.093,0.907
Alaska,3/17/20,0.097,0.903
Alaska,3/18/20,0.099,0.901
Alaska,3/19/20,0.1,0.9
Alaska,3/20/20,0.093,0.907
Alaska,3/21/20,0.098,0.902
Alaska,3/22/20,0.089,0.911
Alaska,3/23/20,0.091,0.909
Alaska,3/24/20,0.088,0.912
Alaska,3/25/20,0.086,0.914
Alaska,3/26/20,0.083,0.917
Alaska,3/27/20,0.084,0.916
Alaska,3/28/20,0.083,0.917
Alaska,3/29/20,0.082,0.918
Alaska,3/30/20,0.082,0.918
Alaska,3/31/20,0.079,0.921
Alaska,4/1/20,0.079,0.921
Alaska,4/2/20,0.086,0.914
Alaska,4/3/20,0.094,0.906
Alaska,4/4/20,0.092,0.908
Alaska,4/5/20,0.089,0.911
Alaska,4/6/20,0.09,0.91
Alaska,4/7/20,0.087,0.913
Alaska,4/8/20,0.086,0.914
Alaska,4/9/20,0.091,0.909
Alaska,4/10/20,0.085,0.915
Alaska,4/11/20,0.091,0.909
Alaska,4/12/20,0.09,0.91
Alaska,4/13/20,0.103,0.897
Alaska,4/14/20,0.107,0.893
Alaska,4/15/20,0.104,0.896
Alaska,4/16/20,0.11,0.89
Alaska,4/17/20,0.11,0.889
Alaska,4/18/20,0.111,0.889
Alaska,4/19/20,0.109,0.891
Alaska,4/20/20,0.111,0.889
Alaska,4/21/20,0.105,0.895
Alaska,4/22/20,0.11,0.89
Alaska,4/23/20,0.118,0.882
Alaska,4/24/20,0.108,0.892
Alaska,4/25/20,0.109,0.891
Alaska,4/26/20,0.105,0.895
Alaska,4/27/20,0.098,0.902
Alaska,4/28/20,0.098,0.902
Alaska,4/29/20,0.095,0.905
Alaska,4/30/20,0.086,0.914
Alaska,5/1/20,0.085,0.915
Alaska,5/2/20,0.094,0.906
Alaska,5/3/20,0.11,0.89
Alaska,5/4/20,0.119,0.881
Alaska,5/5/20,0.118,0.881
Alaska,5/6/20,0.131,0.869
Alaska,5/7/20,0.125,0.875
Alaska,5/8/20,0.12,0.88
Alaska,5/9/20,0.122,0.878
Alaska,5/10/20,0.117,0.883
Alaska,5/11/20,0.124,0.876
Alaska,5/12/20,0.124,0.876
Alaska,5/13/20,0.118,0.882
Alaska,5/14/20,0.116,0.884
Alaska,5/15/20,0.118,0.882
Alaska,5/16/20,0.112,0.888
Alaska,5/17/20,0.112,0.888
Alaska,5/18/20,0.113,0.887
Alaska,5/19/20,0.115,0.885
Alaska,5/20/20,0.104,0.896
Alaska,5/21/20,0.141,0.859
Alaska,5/22/20,0.134,0.866
Alaska,5/23/20,0.128,0.872
Alaska,5/24/20,0.124,0.876
Alaska,5/25/20,0.125,0.875
Alaska,5/26/20,0.135,0.865
Alaska,5/27/20,0.129,0.871
Alaska,5/28/20,0.129,0.871
Alaska,5/29/20,0.131,0.869
Alaska,5/30/20,0.132,0.868
Alaska,5/31/20,0.129,0.871
Alaska,6/1/20,0.139,0.861
Alaska,6/2/20,0.142,0.858
Alaska,6/3/20,0.136,0.864
Alaska,6/4/20,0.137,0.863
Alaska,6/5/20,0.141,0.859
Alaska,6/6/20,0.139,0.861
Alaska,6/7/20,0.146,0.855
Alaska,6/8/20,0.152,0.848
Alaska,6/9/20,0.169,0.831
Alaska,6/10/20,0.175,0.825
Alaska,6/11/20,0.176,0.824
Alaska,6/12/20,0.181,0.819
Alaska,6/13/20,0.175,0.825
Alaska,6/14/20,0.17,0.83
Alaska,6/15/20,0.176,0.824
Alaska,6/16/20,0.179,0.821
Alaska,6/17/20,0.173,0.827
Alaska,6/18/20,0.163,0.837
Alaska,6/19/20,0.161,0.839
Alaska,6/20/20,0.165,0.835
Alaska,6/21/20,0.165,0.835
Alaska,6/22/20,0.161,0.839
Alaska,6/23/20,0.161,0.839
Alaska,6/24/20,0.158,0.842
Alaska,6/25/20,0.159,0.841
Alaska,6/26/20,0.155,0.845
Alaska,6/27/20,0.157,0.843
Alaska,6/28/20,0.145,0.855
Alaska,6/29/20,0.152,0.848
Alaska,6/30/20,0.159,0.841
Alaska,7/1/20,0.161,0.839
Alaska,7/2/20,0.152,0.849
Alaska,7/3/20,0.153,0.847
Alaska,7/4/20,0.142,0.858
Alaska,7/5/20,0.148,0.852
Alaska,7/6/20,0.143,0.857
Alaska,7/7/20,0.144,0.856
Alaska,7/8/20,0.136,0.864
Alaska,7/9/20,0.117,0.883
Alaska,7/10/20,0.124,0.876
Alaska,7/11/20,0.123,0.877
Alaska,7/12/20,0.119,0.881
Alaska,7/13/20,0.123,0.877
Alaska,7/14/20,0.139,0.861
Alaska,7/15/20,0.135,0.865
Alaska,7/16/20,0.145,0.855
Alaska,7/17/20,0.146,0.854
Alaska,7/18/20,0.147,0.853
Alaska,7/19/20,0.146,0.854
Alaska,7/20/20,0.143,0.857
Alaska,7/21/20,0.14,0.86
Alaska,7/22/20,0.132,0.868
Alaska,7/23/20,0.136,0.864
Alaska,7/24/20,0.129,0.871
Alaska,7/25/20,0.124,0.876
Alaska,7/26/20,0.127,0.873
Alaska,7/27/20,0.12,0.88
Alaska,7/28/20,0.107,0.893
Alaska,7/29/20,0.107,0.893
Alaska,7/30/20,0.108,0.891
Alaska,7/31/20,0.106,0.894
Alaska,8/1/20,0.103,0.897
Alaska,8/2/20,0.11,0.89
Alaska,8/3/20,0.107,0.893
Alaska,8/4/20,0.094,0.906
Alaska,8/5/20,0.095,0.905
Alaska,8/6/20,0.111,0.889
Alaska,8/7/20,0.109,0.891
Alaska,8/8/20,0.113,0.887
Alaska,8/9/20,0.107,0.893
Alaska,8/10/20,0.1,0.9
Alaska,8/11/20,0.094,0.906
Alaska,8/12/20,0.096,0.904
Alaska,8/13/20,0.095,0.905
Alaska,8/14/20,0.094,0.906
Alaska,8/15/20,0.091,0.909
Alaska,8/16/20,0.087,0.913
Alaska,8/17/20,0.079,0.921
Alaska,8/18/20,0.077,0.923
Alaska,8/19/20,0.082,0.918
Alaska,8/20/20,0.076,0.924
Alaska,8/21/20,0.081,0.919
Alaska,8/22/20,0.084,0.916
Alaska,8/23/20,0.086,0.914
Alaska,8/24/20,0.094,0.906
Alaska,8/25/20,0.091,0.909
Alaska,8/26/20,0.09,0.91
Alaska,8/27/20,0.083,0.917
Alaska,8/28/20,0.085,0.915
Alaska,8/29/20,0.073,0.927
Alaska,8/30/20,0.071,0.929
Alaska,8/31/20,0.077,0.923
Alaska,9/1/20,0.076,0.924
Alaska,9/2/20,0.085,0.915
Alaska,9/3/20,0.086,0.914
Alaska,9/4/20,0.084,0.916
Alaska,9/5/20,0.089,0.911
Alaska,9/6/20,0.085,0.915
Alaska,9/7/20,0.106,0.894
Alaska,9/8/20,0.108,0.892
Alaska,9/9/20,0.102,0.898
Alaska,9/10/20,0.092,0.908
Alaska,9/11/20,0.073,0.927
Alaska,9/12/20,0.07,0.93
Alaska,9/13/20,0.073,0.927
Alaska,9/14/20,0.073,0.927
Alaska,9/15/20,0.073,0.927
Alaska,9/16/20,0.08,0.92
Alaska,9/17/20,0.079,0.921
Alaska,9/18/20,0.084,0.916
Alaska,9/19/20,0.08,0.92
Alaska,9/20/20,0.083,0.917
Alaska,9/21/20,0.075,0.925
Alaska,9/22/20,0.072,0.928
Alaska,9/23/20,0.076,0.924
Alaska,9/24/20,0.091,0.909
Alaska,9/25/20,0.091,0.909
Alaska,9/26/20,0.087,0.913
Alaska,9/27/20,0.086,0.914
Alaska,9/28/20,0.082,0.918
Alaska,9/29/20,0.102,0.898
Alaska,9/30/20,0.107,0.893
Alaska,10/1/20,0.105,0.895
Arizona,3/1/20,0.356,0.644
Arizona,3/2/20,0.353,0.647
Arizona,3/3/20,0.36,0.64
Arizona,3/4/20,0.357,0.643
Arizona,3/5/20,0.364,0.636
Arizona,3/6/20,0.367,0.633
Arizona,3/7/20,0.368,0.632
Arizona,3/8/20,0.318,0.682
Arizona,3/9/20,0.322,0.678
Arizona,3/10/20,0.329,0.671
Arizona,3/11/20,0.322,0.678
Arizona,3/12/20,0.296,0.704
Arizona,3/13/20,0.37,0.63
Arizona,3/14/20,0.372,0.628
Arizona,3/15/20,0.374,0.626
Arizona,3/16/20,0.365,0.635
Arizona,3/17/20,0.373,0.627
Arizona,3/18/20,0.382,0.619
Arizona,3/19/20,0.374,0.626
Arizona,3/20/20,0.363,0.637
Arizona,3/21/20,0.369,0.631
Arizona,3/22/20,0.358,0.642
Arizona,3/23/20,0.362,0.638
Arizona,3/24/20,0.358,0.642
Arizona,3/25/20,0.349,0.651
Arizona,3/26/20,0.346,0.654
Arizona,3/27/20,0.352,0.648
Arizona,3/28/20,0.349,0.651
Arizona,3/29/20,0.344,0.656
Arizona,3/30/20,0.351,0.649
Arizona,3/31/20,0.354,0.646
Arizona,4/1/20,0.385,0.615
Arizona,4/2/20,0.4,0.6
Arizona,4/3/20,0.402,0.598
Arizona,4/4/20,0.406,0.594
Arizona,4/5/20,0.403,0.597
Arizona,4/6/20,0.42,0.58
Arizona,4/7/20,0.424,0.576
Arizona,4/8/20,0.417,0.583
Arizona,4/9/20,0.42,0.58
Arizona,4/10/20,0.413,0.587
Arizona,4/11/20,0.419,0.581
Arizona,4/12/20,0.42,0.58
Arizona,4/13/20,0.44,0.56
Arizona,4/14/20,0.457,0.543
Arizona,4/15/20,0.468,0.532
Arizona,4/16/20,0.492,0.508
Arizona,4/17/20,0.498,0.502
Arizona,4/18/20,0.492,0.508
Arizona,4/19/20,0.493,0.507
Arizona,4/20/20,0.487,0.513
Arizona,4/21/20,0.498,0.502
Arizona,4/22/20,0.504,0.496
Arizona,4/23/20,0.496,0.504
Arizona,4/24/20,0.499,0.501
Arizona,4/25/20,0.489,0.511
Arizona,4/26/20,0.494,0.506
Arizona,4/27/20,0.499,0.501
Arizona,4/28/20,0.488,0.512
Arizona,4/29/20,0.495,0.505
Arizona,4/30/20,0.483,0.517
Arizona,5/1/20,0.468,0.532
Arizona,5/2/20,0.503,0.497
Arizona,5/3/20,0.526,0.474
Arizona,5/4/20,0.548,0.452
Arizona,5/5/20,0.547,0.453
Arizona,5/6/20,0.525,0.475
Arizona,5/7/20,0.514,0.486
Arizona,5/8/20,0.513,0.487
Arizona,5/9/20,0.516,0.484
Arizona,5/10/20,0.516,0.484
Arizona,5/11/20,0.524,0.476
Arizona,5/12/20,0.522,0.478
Arizona,5/13/20,0.512,0.488
Arizona,5/14/20,0.512,0.488
Arizona,5/15/20,0.529,0.471
Arizona,5/16/20,0.542,0.458
Arizona,5/17/20,0.541,0.459
