date,state,dem_chance,rep_chance
Alabama,3/1/20,0.32,99.68
Alaska,3/1/20,11.02,88.98
Arizona,3/1/20,36.05,63.95
Arkansas,3/1/20,0.35,99.65
California,3/1/20,99.74,0.26
Colorado,3/1/20,77.9,22.1
Connecticut,3/1/20,96,4
Delaware,3/1/20,97.2,2.8
District of Columbia,3/1/20,100,0
Florida,3/1/20,49.15,50.85
Georgia,3/1/20,30.35,69.65
Hawaii,3/1/20,99.99,0.01
Idaho,3/1/20,0.13,99.87
Illinois,3/1/20,96.55,3.45
Indiana,3/1/20,5.59,94.41
Iowa,3/1/20,32.12,67.88
Kansas,3/1/20,3.1,96.9
Kentucky,3/1/20,0.29,99.71
Louisiana,3/1/20,1.98,98.02
Maine,3/1/20,78.4,21.6
Maryland,3/1/20,99.81,0.19
Massachusetts,3/1/20,99.69,0.31
Michigan,3/1/20,62.78,37.22
Minnesota,3/1/20,68.54,31.46
Mississippi,3/1/20,2.46,97.54
Missouri,3/1/20,5.34,94.66
Montana,3/1/20,5.66,94.34
Nebraska,3/1/20,0.69,99.31
Nevada,3/1/20,66.63,33.37
New Hampshire,3/1/20,62.4,37.6
New Jersey,3/1/20,95.69,4.31
New Mexico,3/1/20,91.53,8.47
New York,3/1/20,99.36,0.64
North Carolina,3/1/20,48.8,51.2
North Dakota,3/1/20,0.11,99.89
Ohio,3/1/20,24.58,75.42
Oklahoma,3/1/20,0.03,99.97
Oregon,3/1/20,92.88,7.12
Pennsylvania,3/1/20,60.02,39.98
Rhode Island,3/1/20,97.83,2.17
South Carolina,3/1/20,8.06,91.94
South Dakota,3/1/20,0.35,99.65
Tennessee,3/1/20,0.59,99.41
Texas,3/1/20,19.94,80.06
Utah,3/1/20,1.46,98.54
Vermont,3/1/20,99.92,0.08
Virginia,3/1/20,78.97,21.03
Washington,3/1/20,96.12,3.88
West Virginia,3/1/20,0.06,99.94
Wisconsin,3/1/20,47.92,52.08
Wyoming,3/1/20,0,100
Maine CD-1,3/1/20,97.72,2.28
Maine CD-2,3/1/20,36.55,63.45
Nebraska CD-1,3/1/20,1.9,98.1
Nebraska CD-2,3/1/20,40.42,59.58
Nebraska CD-3,3/1/20,0,100
US,3/1/20,57.24,42.76
Alabama,3/2/20,0.24,99.76
Alaska,3/2/20,10.48,89.52
Arizona,3/2/20,36.06,63.94
Arkansas,3/2/20,0.36,99.64
California,3/2/20,99.76,0.24
Colorado,3/2/20,78.08,21.92
Connecticut,3/2/20,95.73,4.27
Delaware,3/2/20,97.21,2.79
District of Columbia,3/2/20,100,0
Florida,3/2/20,48.69,51.31
Georgia,3/2/20,26.78,73.22
Hawaii,3/2/20,99.98,0.02
Idaho,3/2/20,0.15,99.85
Illinois,3/2/20,96.39,3.61
Indiana,3/2/20,5.41,94.59
Iowa,3/2/20,31.58,68.42
Kansas,3/2/20,3.28,96.72
Kentucky,3/2/20,0.27,99.73
Louisiana,3/2/20,1.79,98.21
Maine,3/2/20,78.55,21.45
Maryland,3/2/20,99.79,0.21
Massachusetts,3/2/20,99.63,0.37
Michigan,3/2/20,62.94,37.06
Minnesota,3/2/20,68.46,31.54
Mississippi,3/2/20,2.42,97.58
Missouri,3/2/20,5.29,94.71
Montana,3/2/20,5.46,94.54
Nebraska,3/2/20,0.62,99.38
Nevada,3/2/20,66.42,33.58
New Hampshire,3/2/20,62.31,37.69
New Jersey,3/2/20,95.4,4.6
New Mexico,3/2/20,91.23,8.77
New York,3/2/20,99.21,0.79
North Carolina,3/2/20,48.23,51.77
North Dakota,3/2/20,0.08,99.92
Ohio,3/2/20,24.71,75.29
Oklahoma,3/2/20,0.02,99.98
Oregon,3/2/20,93.04,6.96
Pennsylvania,3/2/20,59.79,40.21
Rhode Island,3/2/20,97.76,2.24
South Carolina,3/2/20,7.9,92.1
South Dakota,3/2/20,0.41,99.59
Tennessee,3/2/20,0.6,99.4
Texas,3/2/20,20.06,79.94
Utah,3/2/20,1.47,98.53
Vermont,3/2/20,99.88,0.12
Virginia,3/2/20,78.68,21.32
Washington,3/2/20,96.11,3.89
West Virginia,3/2/20,0.04,99.96
Wisconsin,3/2/20,48.32,51.68
Wyoming,3/2/20,0.01,99.99
Maine CD-1,3/2/20,97.75,2.25
Maine CD-2,3/2/20,36.18,63.82
Nebraska CD-1,3/2/20,2.02,97.98
Nebraska CD-2,3/2/20,40.46,59.54
Nebraska CD-3,3/2/20,0,100
US,3/2/20,56.6,43.4
Alabama,3/3/20,0.25,99.75
Alaska,3/3/20,10.68,89.32
Arizona,3/3/20,37.17,62.83
Arkansas,3/3/20,0.43,99.57
California,3/3/20,99.81,0.19
Colorado,3/3/20,78.1,21.9
Connecticut,3/3/20,95.9,4.1
Delaware,3/3/20,97.21,2.79
District of Columbia,3/3/20,100,0
Florida,3/3/20,49.36,50.64
Georgia,3/3/20,27.68,72.32
Hawaii,3/3/20,100,0
Idaho,3/3/20,0.13,99.87
Illinois,3/3/20,96.58,3.42
Indiana,3/3/20,5.72,94.28
Iowa,3/3/20,31.81,68.19
Kansas,3/3/20,3.16,96.84
Kentucky,3/3/20,0.25,99.75
Louisiana,3/3/20,1.92,98.08
Maine,3/3/20,78.48,21.52
Maryland,3/3/20,99.8,0.2
Massachusetts,3/3/20,99.63,0.37
Michigan,3/3/20,62.5,37.5
Minnesota,3/3/20,68.96,31.04
Mississippi,3/3/20,2.44,97.56
Missouri,3/3/20,5.35,94.65
Montana,3/3/20,5.62,94.38
Nebraska,3/3/20,0.68,99.32
Nevada,3/3/20,66.4,33.6
New Hampshire,3/3/20,62.94,37.06
New Jersey,3/3/20,95.65,4.35
New Mexico,3/3/20,91.37,8.63
New York,3/3/20,99.3,0.7
North Carolina,3/3/20,48.54,51.46
North Dakota,3/3/20,0.08,99.92
Ohio,3/3/20,24.34,75.66
Oklahoma,3/3/20,0.02,99.98
Oregon,3/3/20,93,7
Pennsylvania,3/3/20,59.84,40.16
Rhode Island,3/3/20,97.88,2.12
South Carolina,3/3/20,8.18,91.82
South Dakota,3/3/20,0.43,99.57
Tennessee,3/3/20,0.64,99.36
Texas,3/3/20,20.24,79.76
