date,state,dem_price,rep_price
2020/08/03,AK,0.21,0.81
2020/08/04,AK,0.2,0.82
2020/08/05,AK,0.2,0.8
2020/08/06,AK,0.2,0.81
2020/08/07,AK,0.19,0.81
2020/08/08,AK,0.19,0.82
2020/08/09,AK,0.18,0.82
2020/08/10,AK,0.18,0.82
2020/08/11,AK,0.19,0.8
2020/08/12,AK,0.19,0.82
2020/08/13,AK,0.19,0.82
2020/08/14,AK,0.18,0.82
2020/08/15,AK,0.19,0.82
2020/08/16,AK,0.18,0.83
2020/08/17,AK,0.17,0.84
2020/08/18,AK,0.16,0.85
2020/08/19,AK,0.13,0.87
2020/08/20,AK,0.14,0.86
2020/08/21,AK,0.15,0.86
2020/08/22,AK,0.15,0.86
2020/08/23,AK,0.14,0.85
2020/08/24,AK,0.14,0.85
2020/08/25,AK,0.14,0.87
2020/08/26,AK,0.14,0.87
2020/08/27,AK,0.12,0.88
2020/08/28,AK,0.13,0.88
2020/08/29,AK,0.13,0.89
2020/08/30,AK,0.13,0.88
2020/08/31,AK,0.14,0.87
2020/09/01,AK,0.13,0.87
2020/09/02,AK,0.13,0.88
2020/09/03,AK,0.13,0.88
2020/09/04,AK,0.14,0.86
2020/09/05,AK,0.14,0.86
2020/09/06,AK,0.14,0.86
2020/09/07,AK,0.14,0.87
2020/09/08,AK,0.15,0.86
2020/09/09,AK,0.16,0.85
2020/09/10,AK,0.16,0.84
2020/09/11,AK,0.16,0.85
2020/09/12,AK,0.16,0.86
2020/09/13,AK,0.16,0.85
2020/09/14,AK,0.15,0.86
2020/09/15,AK,0.14,0.86
2020/09/16,AK,0.15,0.86
2020/09/17,AK,0.15,0.85
2020/09/18,AK,0.16,0.86
2020/09/19,AK,0.16,0.85
2020/09/20,AK,0.17,0.85
2020/09/21,AK,0.16,0.84
2020/09/22,AK,0.16,0.85
2020/09/23,AK,0.15,0.86
2020/09/24,AK,0.16,0.85
2020/09/25,AK,0.15,0.87
2020/09/26,AK,0.14,0.87
2020/09/27,AK,0.14,0.86
2020/09/28,AK,0.19,0.82
2020/09/29,AK,0.18,0.81
2020/09/30,AK,0.18,0.82
2020/10/01,AK,0.2,0.81
2020/10/02,AK,0.23,0.78
2020/10/03,AK,0.2,0.8
2020/10/04,AK,0.23,0.77
2020/10/05,AK,0.22,0.8
2020/10/06,AK,0.23,0.77
2020/10/07,AK,0.22,0.79
2020/10/08,AK,0.22,0.79
2020/10/09,AK,0.22,0.78
2020/10/10,AK,0.21,0.81
2020/10/11,AK,0.21,0.81
2020/10/12,AK,0.2,0.8
2020/10/13,AK,0.2,0.81
2020/10/14,AK,0.19,0.81
2020/10/15,AK,0.22,0.78
2020/10/16,AK,0.18,0.82
2020/10/17,AK,0.17,0.86
2020/10/18,AK,0.15,0.86
2020/10/19,AK,0.17,0.84
2020/10/20,AK,0.16,0.86
2020/10/21,AK,0.14,0.85
2020/10/22,AK,0.14,0.87
2020/10/23,AK,0.14,0.87
2020/10/24,AK,0.13,0.87
