Date,State,Rating
2019/02/28,AK,"Safe R"
2019/02/28,AL,"Safe R"
2019/02/28,AR,"Safe R"
2019/02/28,AZ,Tossup
2019/02/28,CA,"Safe D"
2019/02/28,CO,"Lean D"
2019/02/28,CT,"Safe D"
2019/02/28,DC,"Safe D"
2019/02/28,DE,"Safe D"
2019/02/28,FL,"Lean R"
2019/02/28,GA,"Lean R"
2019/02/28,HI,"Safe D"
2019/02/28,IA,"Lean R"
2019/02/28,ID,"Safe R"
2019/02/28,IL,"Safe D"
2019/02/28,IN,"Safe R"
2019/02/28,KS,"Safe R"
2019/02/28,KY,"Safe R"
2019/02/28,LA,"Safe R"
2019/02/28,MA,"Safe D"
2019/02/28,MD,"Safe D"
2019/02/28,ME,"Lean D"
2019/02/28,ME-01,"Safe D"
2019/02/28,ME-02,"Lean R"
2019/02/28,MI,"Lean D"
2019/02/28,MN,"Lean D"
2019/02/28,MO,"Safe R"
2019/02/28,MS,"Safe R"
2019/02/28,MT,"Safe R"
2019/02/28,NC,"Lean R"
2019/02/28,ND,"Safe R"
2019/02/28,NE,"Safe R"
2019/02/28,NE-01,"Safe R"
2019/02/28,NE-02,Tossup
2019/02/28,NE-03,"Safe R"
2019/02/28,NH,Tossup
2019/02/28,NJ,"Safe D"
2019/02/28,NM,"Likely D"
2019/02/28,NV,"Lean D"
2019/02/28,NY,"Safe D"
2019/02/28,OH,"Lean R"
2019/02/28,OK,"Safe R"
2019/02/28,OR,"Safe D"
2019/02/28,PA,Tossup
2019/02/28,RI,"Safe D"
2019/02/28,SC,"Safe R"
2019/02/28,SD,"Safe R"
2019/02/28,TN,"Safe R"
2019/02/28,TX,"Lean R"
2019/02/28,UT,"Safe R"
2019/02/28,VA,"Lean D"
2019/02/28,VT,"Safe D"
2019/02/28,WA,"Safe D"
2019/02/28,WI,Tossup
2019/02/28,WV,"Safe R"
2019/02/28,WY,"Safe R"
2019/09/19,AK,"Safe R"
2019/09/19,AL,"Safe R"
2019/09/19,AR,"Safe R"
2019/09/19,AZ,Tossup
2019/09/19,CA,"Safe D"
2019/09/19,CO,"Lean D"
2019/09/19,CT,"Safe D"
2019/09/19,DC,"Safe D"
2019/09/19,DE,"Safe D"
2019/09/19,FL,"Lean R"
2019/09/19,GA,"Lean R"
2019/09/19,HI,"Safe D"
2019/09/19,IA,"Lean R"
2019/09/19,ID,"Safe R"
2019/09/19,IL,"Safe D"
2019/09/19,IN,"Safe R"
2019/09/19,KS,"Safe R"
2019/09/19,KY,"Safe R"
2019/09/19,LA,"Safe R"
2019/09/19,MA,"Safe D"
2019/09/19,MD,"Safe D"
2019/09/19,ME,"Lean D"
2019/09/19,ME-01,"Safe D"
2019/09/19,ME-02,"Lean R"
2019/09/19,MI,"Lean D"
2019/09/19,MN,"Lean D"
2019/09/19,MO,"Safe R"
2019/09/19,MS,"Safe R"
2019/09/19,MT,"Safe R"
2019/09/19,NC,"Lean R"
2019/09/19,ND,"Safe R"
2019/09/19,NE,"Safe R"
2019/09/19,NE-01,"Safe R"
2019/09/19,NE-02,Tossup
2019/09/19,NE-03,"Safe R"
2019/09/19,NH,"Lean D"
2019/09/19,NJ,"Safe D"
2019/09/19,NM,"Likely D"
2019/09/19,NV,"Lean D"
2019/09/19,NY,"Safe D"
2019/09/19,OH,"Lean R"
2019/09/19,OK,"Safe R"
2019/09/19,OR,"Safe D"
2019/09/19,PA,Tossup
2019/09/19,RI,"Safe D"
2019/09/19,SC,"Safe R"
2019/09/19,SD,"Safe R"
2019/09/19,TN,"Safe R"
2019/09/19,TX,"Lean R"
2019/09/19,UT,"Safe R"
2019/09/19,VA,"Lean D"
2019/09/19,VT,"Safe D"
2019/09/19,WA,"Safe D"
2019/09/19,WI,Tossup
2019/09/19,WV,"Safe R"
2019/09/19,WY,"Safe R"
