cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,state_turnout,state_turnout_hi,state_turnout_lo,timestamp,simulations
2020,President,polls-plus,11/3/20,Trump,Biden,,Wyoming,0,0,0.998375,0.001625,,65.7776,31.04658,,3.175817,70.99022,36.18585,,4.771921,60.52768,25.93248,,1.779553,34.73101,44.89131,24.50582,0.1040441,0.9846154,0.9997594,0.0017945,274642,319577,231459,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Wisconsin,0.0531375,2.543351,0.056425,0.943575,,45.37802,53.68898,,0.9329966,48.68993,56.99251,,1.361636,42.07389,50.3974,,0.5480534,-8.310961,-1.729342,-14.89797,0.771821,0.9319344,0.419153,0.9862607,3325739,3748885,2908762,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,West Virginia,0.0000625,0.0152398,0.992825,0.007175,,64.48556,33.77089,,1.743553,70.77528,40.13931,,2.581719,58.12693,27.4762,,1.00112,30.71466,43.27236,18.01854,0.1045501,0.9860627,0.9990376,0.0079352,749616,868161,635685,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Washington,0.0022875,0.0829965,0.00845,0.99155,,37.00352,60.76666,,2.229822,42.22951,65.99652,,3.321611,31.79709,55.51974,,1.268175,-23.76315,-13.36625,-34.12025,0.2633136,0.8929706,0.0214148,0.9930742,4429891,5013615,3857496,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Virginia,0.00985,0.3412789,0.009775,0.990225,,43.28946,55.77469,,0.9358491,46.40628,58.82807,,1.365897,40.23785,52.66484,,0.5496716,-12.48523,-6.260893,-18.56248,0.7672634,0.8981292,0.0721848,0.9974765,4599938,5189515,4020238,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Vermont,0.0003,0.1337264,0.004025,0.995975,,29.07018,67.17892,,3.750889,36.12558,74.14552,,5.660613,22.19419,60.00483,,2.08629,-38.10874,-24.02899,-51.79807,0.2298137,0.8920907,0.0089028,0.9965231,346095,394945,298441,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Utah,0.0007125,0.0876795,0.9544,0.0456,,55.45525,41.69538,,2.84937,60.37789,46.66598,,4.269953,50.46951,36.75788,,1.604079,13.75988,23.51204,3.924717,0.1078164,0.9769737,0.9903753,0.0499664,1355468,1548819,1166838,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Texas,0.02365,0.3094696,0.617525,0.382475,,50.30484,48.78954,,0.9056239,53.68892,52.16631,,1.320808,46.93433,45.41179,,0.5325226,1.515306,8.264648,-5.222725,0.1678475,0.9993464,0.9975938,0.4286956,12147223,13732368,10590980,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Tennessee,0.0008625,0.0480557,0.967525,0.032475,,57.25942,41.55495,,1.185626,62.24617,46.56695,,1.739583,52.26406,36.57331,,0.6905421,15.70446,25.66637,5.709898,0.1072324,0.9938414,0.9985563,0.036199,2851251,3246276,2466752,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,South Dakota,0.00045,0.1730952,0.948125,0.051875,,57.79984,40.80887,,1.391291,64.09464,47.10979,,2.049075,51.45981,34.52515,,0.8057098,16.99097,29.55412,4.397381,0.109031,0.9893976,0.9949471,0.0575651,412006,470150,355334,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,South Carolina,0.0011625,0.0773351,0.899975,0.100025,,53.37519,45.88095,,0.7438539,57.10618,49.63924,,1.080166,49.61935,42.15276,,0.4403226,7.494247,14.94446,-0.0013008,0.1152254,0.9977506,0.9980751,0.1119336,2403887,2719484,2092282,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Rhode Island,0.000325,0.0992516,0.00085,0.99915,,35.66851,62.93514,,1.396348,40.16666,67.42056,,2.05669,31.17818,58.43157,,0.8085307,-27.26663,-18.27834,-36.21777,0.4705882,0.8919081,0.0038499,0.9994953,512193,579476,446304,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Pennsylvania,0.36475,8.484372,0.1569,0.8431,,47.32639,51.97831,,0.6953009,50.32683,54.97815,,1.008155,44.31517,48.97594,,0.4124833,-4.651922,1.351431,-10.6536,0.6013384,0.9874274,0.9080847,0.9337147,6840662,7706550,5984562,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Oregon,0.0027375,0.1779159,0.01845,0.98155,,39.26668,58.69598,,2.037339,44.44646,63.84576,,3.028189,34.14939,53.51523,,1.16278,-19.4293,-9.106121,-29.63111,0.2750677,0.8947837,0.048845,0.985055,2463087,2780566,2153392,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Oklahoma,0.0000375,0.0031272,0.994275,0.005725,,62.08282,36.85556,,1.061624,66.95587,41.75122,,1.553877,57.17363,31.99938,,0.6208006,25.22726,34.96303,15.4313,0.1044731,0.9956332,0.9997594,0.006393,1598023,1834220,1367750,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Ohio,0.0182125,0.4671486,0.546725,0.453275,,49.79167,49.20341,,1.004913,53.13055,52.53614,,1.469088,46.46594,45.848,,0.5887882,0.588254,7.268904,-6.059555,0.1893091,0.9991176,0.9961501,0.5079352,6175439,6962428,5402875,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,North Dakota,0.0003375,0.1484461,0.975925,0.024075,,59.62574,37.92917,,2.445087,65.7225,43.95776,,3.649909,53.56664,31.89008,,1.385431,21.69657,33.78543,9.67041,0.1061557,0.9875389,0.9971126,0.0266655,367402,422508,313740,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,North Carolina,0.05175,1.447434,0.360675,0.639325,,48.76913,50.53209,,0.6987836,52.09756,53.86943,,1.013315,45.44023,47.20729,,0.4144816,-1.762964,4.889326,-8.41433,0.2741388,0.9914754,0.9516362,0.710941,5687384,6420878,4970191,11/3/20 0:00,40000
