ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,1
Democratic,8/3/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.09,253
Republican,8/4/2020 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,9
Democratic,8/4/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/5/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.92,308
Democratic,8/5/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,5
Republican,8/6/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,913
Democratic,8/6/2020 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,2124
Republican,8/7/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,157
Democratic,8/7/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,1253
Republican,8/8/2020 12:00:00 AM,$0.92,$0.94,$0.92,$0.94,2
Democratic,8/8/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,171
Republican,8/9/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,7
Democratic,8/9/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,2
Republican,8/10/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,7
Democratic,8/10/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/11/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,2294
Democratic,8/11/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.06,2421
Republican,8/12/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,3
Democratic,8/12/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,993
Republican,8/13/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,110
Democratic,8/13/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,215
Republican,8/14/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,1513
Democratic,8/14/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,3001
Republican,8/15/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/15/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,22
Republican,8/16/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,357
Democratic,8/16/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,825
Republican,8/17/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,690
Democratic,8/17/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1632
Republican,8/18/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/18/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,510
Republican,8/19/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,105
Democratic,8/19/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,722
Republican,8/20/2020 12:00:00 AM,$0.94,$0.96,$0.94,$0.96,321
Democratic,8/20/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,101
