ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,131
Democratic,8/3/2020 12:00:00 AM,$0.07,$0.08,$0.05,$0.07,1238
Republican,8/4/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,27
Democratic,8/4/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,5
Republican,8/5/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,335
Democratic,8/5/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.07,17
Republican,8/6/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/6/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,316
Republican,8/7/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,225
Democratic,8/7/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.06,125
Republican,8/8/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,5
Democratic,8/8/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/9/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,394
Democratic,8/9/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,49
Republican,8/10/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,8
Democratic,8/10/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,3
Republican,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,99
Democratic,8/11/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1160
Republican,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,668
Democratic,8/12/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.08,933
Republican,8/13/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,2
Democratic,8/13/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,56
Republican,8/14/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,12
Democratic,8/14/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,5
Republican,8/15/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,511
Democratic,8/15/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/16/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/16/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,5
Republican,8/17/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/17/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,200
Republican,8/18/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,1682
Democratic,8/18/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,1
Republican,8/19/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,904
