ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.41,$0.42,$0.41,$0.41,259
Democratic,8/3/2020 12:00:00 AM,$0.61,$0.62,$0.61,$0.61,98
Republican,8/4/2020 12:00:00 AM,$0.41,$0.42,$0.41,$0.41,1099
Democratic,8/4/2020 12:00:00 AM,$0.61,$0.62,$0.61,$0.62,2316
Republican,8/5/2020 12:00:00 AM,$0.41,$0.42,$0.40,$0.41,3255
Democratic,8/5/2020 12:00:00 AM,$0.62,$0.62,$0.61,$0.61,875
Republican,8/6/2020 12:00:00 AM,$0.41,$0.42,$0.41,$0.41,4102
Democratic,8/6/2020 12:00:00 AM,$0.61,$0.63,$0.61,$0.63,2671
Republican,8/7/2020 12:00:00 AM,$0.41,$0.42,$0.40,$0.40,2944
Democratic,8/7/2020 12:00:00 AM,$0.63,$0.64,$0.61,$0.61,3316
Republican,8/8/2020 12:00:00 AM,$0.40,$0.43,$0.40,$0.42,4740
Democratic,8/8/2020 12:00:00 AM,$0.61,$0.61,$0.60,$0.61,7129
Republican,8/9/2020 12:00:00 AM,$0.42,$0.44,$0.42,$0.44,4039
Democratic,8/9/2020 12:00:00 AM,$0.61,$0.61,$0.59,$0.60,1367
Republican,8/10/2020 12:00:00 AM,$0.44,$0.44,$0.41,$0.43,7842
Democratic,8/10/2020 12:00:00 AM,$0.60,$0.61,$0.57,$0.59,9277
Republican,8/11/2020 12:00:00 AM,$0.43,$0.44,$0.41,$0.43,8380
Democratic,8/11/2020 12:00:00 AM,$0.59,$0.62,$0.58,$0.62,9682
Republican,8/12/2020 12:00:00 AM,$0.43,$0.45,$0.43,$0.43,5190
Democratic,8/12/2020 12:00:00 AM,$0.62,$0.62,$0.58,$0.58,6218
Republican,8/13/2020 12:00:00 AM,$0.43,$0.45,$0.43,$0.44,4431
Democratic,8/13/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.57,3314
Republican,8/14/2020 12:00:00 AM,$0.44,$0.45,$0.43,$0.44,2883
Democratic,8/14/2020 12:00:00 AM,$0.57,$0.59,$0.57,$0.58,9721
Republican,8/15/2020 12:00:00 AM,$0.44,$0.45,$0.43,$0.45,1672
Democratic,8/15/2020 12:00:00 AM,$0.58,$0.59,$0.58,$0.58,370
Republican,8/16/2020 12:00:00 AM,$0.45,$0.45,$0.44,$0.44,2987
Democratic,8/16/2020 12:00:00 AM,$0.58,$0.59,$0.58,$0.58,2658
Republican,8/17/2020 12:00:00 AM,$0.44,$0.46,$0.44,$0.46,5436
Democratic,8/17/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.58,1741
Republican,8/18/2020 12:00:00 AM,$0.46,$0.50,$0.45,$0.48,12864
Democratic,8/18/2020 12:00:00 AM,$0.58,$0.58,$0.55,$0.55,7434
Republican,8/19/2020 12:00:00 AM,$0.48,$0.49,$0.45,$0.45,9318
Democratic,8/19/2020 12:00:00 AM,$0.55,$0.57,$0.55,$0.55,14436
Republican,8/20/2020 12:00:00 AM,$0.45,$0.47,$0.43,$0.43,10297
Democratic,8/20/2020 12:00:00 AM,$0.55,$0.58,$0.55,$0.58,6793
Republican,8/21/2020 12:00:00 AM,$0.43,$0.44,$0.42,$0.43,4961
Democratic,8/21/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.58,7176
Republican,8/22/2020 12:00:00 AM,$0.43,$0.44,$0.42,$0.43,917
Democratic,8/22/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.57,1247
Republican,8/23/2020 12:00:00 AM,$0.43,$0.44,$0.43,$0.43,4412
Democratic,8/23/2020 12:00:00 AM,$0.57,$0.59,$0.57,$0.57,1471
Republican,8/24/2020 12:00:00 AM,$0.43,$0.44,$0.43,$0.44,7893
Democratic,8/24/2020 12:00:00 AM,$0.57,$0.59,$0.57,$0.57,7871
Republican,8/25/2020 12:00:00 AM,$0.44,$0.45,$0.43,$0.45,6392
Democratic,8/25/2020 12:00:00 AM,$0.57,$0.59,$0.57,$0.57,3976
Republican,8/26/2020 12:00:00 AM,$0.45,$0.46,$0.44,$0.46,3248
Democratic,8/26/2020 12:00:00 AM,$0.57,$0.58,$0.56,$0.56,5051
Republican,8/27/2020 12:00:00 AM,$0.46,$0.48,$0.45,$0.47,8935
Democratic,8/27/2020 12:00:00 AM,$0.56,$0.58,$0.56,$0.57,5952
Republican,8/28/2020 12:00:00 AM,$0.47,$0.49,$0.45,$0.46,13120
Democratic,8/28/2020 12:00:00 AM,$0.57,$0.57,$0.53,$0.57,13557
Republican,8/29/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.47,6038
Democratic,8/29/2020 12:00:00 AM,$0.57,$0.57,$0.54,$0.55,6474
Republican,8/30/2020 12:00:00 AM,$0.47,$0.48,$0.45,$0.46,13433
Democratic,8/30/2020 12:00:00 AM,$0.55,$0.56,$0.54,$0.55,2602
Republican,8/31/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.47,5009
Democratic,8/31/2020 12:00:00 AM,$0.55,$0.56,$0.54,$0.55,8655
Republican,9/1/2020 12:00:00 AM,$0.47,$0.47,$0.44,$0.45,15860
Democratic,9/1/2020 12:00:00 AM,$0.55,$0.58,$0.54,$0.57,10844
Republican,9/2/2020 12:00:00 AM,$0.45,$0.46,$0.39,$0.39,23043
Democratic,9/2/2020 12:00:00 AM,$0.57,$0.63,$0.56,$0.62,21426
Republican,9/3/2020 12:00:00 AM,$0.39,$0.41,$0.38,$0.38,10270
Democratic,9/3/2020 12:00:00 AM,$0.62,$0.63,$0.61,$0.62,7869
Republican,9/4/2020 12:00:00 AM,$0.38,$0.43,$0.38,$0.41,8309
Democratic,9/4/2020 12:00:00 AM,$0.62,$0.64,$0.62,$0.63,8052
Republican,9/5/2020 12:00:00 AM,$0.41,$0.42,$0.39,$0.40,6166
Democratic,9/5/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,4360
Republican,9/6/2020 12:00:00 AM,$0.40,$0.41,$0.38,$0.40,5417
Democratic,9/6/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,6252
Republican,9/7/2020 12:00:00 AM,$0.40,$0.40,$0.38,$0.40,4476
Democratic,9/7/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,4600
Republican,9/8/2020 12:00:00 AM,$0.40,$0.40,$0.38,$0.39,8727
Democratic,9/8/2020 12:00:00 AM,$0.63,$0.64,$0.63,$0.64,4762
Republican,9/9/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.39,7681
Democratic,9/9/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.62,4924
Republican,9/10/2020 12:00:00 AM,$0.39,$0.39,$0.37,$0.38,2347
Democratic,9/10/2020 12:00:00 AM,$0.62,$0.64,$0.62,$0.64,1301
Republican,9/11/2020 12:00:00 AM,$0.38,$0.39,$0.37,$0.39,1840
Democratic,9/11/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.63,1112
Republican,9/12/2020 12:00:00 AM,$0.39,$0.39,$0.37,$0.39,6530
Democratic,9/12/2020 12:00:00 AM,$0.63,$0.64,$0.63,$0.63,5223
Republican,9/13/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.40,6671
Democratic,9/13/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,5269
Republican,9/14/2020 12:00:00 AM,$0.40,$0.40,$0.35,$0.37,31970
Democratic,9/14/2020 12:00:00 AM,$0.63,$0.67,$0.62,$0.65,22630
Republican,9/15/2020 12:00:00 AM,$0.37,$0.38,$0.36,$0.37,9747
Democratic,9/15/2020 12:00:00 AM,$0.65,$0.66,$0.64,$0.64,9227
Republican,9/16/2020 12:00:00 AM,$0.37,$0.38,$0.37,$0.38,5056
Democratic,9/16/2020 12:00:00 AM,$0.64,$0.66,$0.64,$0.64,4365
Republican,9/17/2020 12:00:00 AM,$0.38,$0.39,$0.37,$0.38,10277
Democratic,9/17/2020 12:00:00 AM,$0.64,$0.65,$0.63,$0.63,14525
Republican,9/18/2020 12:00:00 AM,$0.38,$0.38,$0.36,$0.38,11485
Democratic,9/18/2020 12:00:00 AM,$0.63,$0.66,$0.63,$0.65,15906
Republican,9/19/2020 12:00:00 AM,$0.38,$0.39,$0.36,$0.38,7125
Democratic,9/19/2020 12:00:00 AM,$0.65,$0.65,$0.63,$0.64,5707
Republican,9/20/2020 12:00:00 AM,$0.38,$0.40,$0.37,$0.38,10454
Democratic,9/20/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.63,14882
Republican,9/21/2020 12:00:00 AM,$0.38,$0.40,$0.38,$0.39,6359
Democratic,9/21/2020 12:00:00 AM,$0.63,$0.65,$0.62,$0.64,6368
Republican,9/22/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.40,14920
Democratic,9/22/2020 12:00:00 AM,$0.64,$0.65,$0.61,$0.62,10899
Republican,9/23/2020 12:00:00 AM,$0.40,$0.43,$0.39,$0.42,36563
Democratic,9/23/2020 12:00:00 AM,$0.62,$0.63,$0.59,$0.60,27628
Republican,9/24/2020 12:00:00 AM,$0.42,$0.44,$0.42,$0.43,14863
Democratic,9/24/2020 12:00:00 AM,$0.60,$0.61,$0.58,$0.59,14268
Republican,9/25/2020 12:00:00 AM,$0.43,$0.45,$0.42,$0.45,12783
Democratic,9/25/2020 12:00:00 AM,$0.59,$0.60,$0.57,$0.58,7935
Republican,9/26/2020 12:00:00 AM,$0.45,$0.45,$0.43,$0.43,2703
Democratic,9/26/2020 12:00:00 AM,$0.58,$0.60,$0.58,$0.59,3504
Republican,9/27/2020 12:00:00 AM,$0.43,$0.45,$0.41,$0.42,18566
Democratic,9/27/2020 12:00:00 AM,$0.59,$0.60,$0.57,$0.58,10577
Republican,9/28/2020 12:00:00 AM,$0.42,$0.43,$0.40,$0.40,7070
Democratic,9/28/2020 12:00:00 AM,$0.58,$0.61,$0.58,$0.61,7977
Republican,9/29/2020 12:00:00 AM,$0.40,$0.42,$0.39,$0.40,15853
Democratic,9/29/2020 12:00:00 AM,$0.61,$0.63,$0.60,$0.63,13793
Republican,9/30/2020 12:00:00 AM,$0.40,$0.41,$0.38,$0.39,14672
Democratic,9/30/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,12377
Republican,10/1/2020 12:00:00 AM,$0.39,$0.40,$0.35,$0.35,13834
Democratic,10/1/2020 12:00:00 AM,$0.63,$0.66,$0.62,$0.66,15465
Republican,10/2/2020 12:00:00 AM,$0.35,$0.39,$0.32,$0.36,22427
Democratic,10/2/2020 12:00:00 AM,$0.66,$0.71,$0.64,$0.66,21155
Republican,10/3/2020 12:00:00 AM,$0.36,$0.38,$0.34,$0.35,9433
Democratic,10/3/2020 12:00:00 AM,$0.66,$0.68,$0.65,$0.66,12593
Republican,10/4/2020 12:00:00 AM,$0.35,$0.37,$0.34,$0.37,5961
Democratic,10/4/2020 12:00:00 AM,$0.66,$0.68,$0.65,$0.66,8168
Republican,10/5/2020 12:00:00 AM,$0.37,$0.38,$0.32,$0.33,28177
Democratic,10/5/2020 12:00:00 AM,$0.66,$0.69,$0.64,$0.68,31997
Republican,10/6/2020 12:00:00 AM,$0.33,$0.34,$0.31,$0.34,20630
Democratic,10/6/2020 12:00:00 AM,$0.68,$0.70,$0.67,$0.69,25220
Republican,10/7/2020 12:00:00 AM,$0.34,$0.34,$0.30,$0.32,13863
Democratic,10/7/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.70,12231
Republican,10/8/2020 12:00:00 AM,$0.32,$0.35,$0.32,$0.33,23649
Democratic,10/8/2020 12:00:00 AM,$0.70,$0.70,$0.67,$0.69,23331
Republican,10/9/2020 12:00:00 AM,$0.33,$0.39,$0.33,$0.38,40676
Democratic,10/9/2020 12:00:00 AM,$0.69,$0.69,$0.65,$0.65,41229
Republican,10/10/2020 12:00:00 AM,$0.38,$0.42,$0.37,$0.41,45810
Democratic,10/10/2020 12:00:00 AM,$0.65,$0.66,$0.62,$0.63,24824
Republican,10/11/2020 12:00:00 AM,$0.41,$0.41,$0.37,$0.39,15169
Democratic,10/11/2020 12:00:00 AM,$0.63,$0.64,$0.61,$0.63,15466
Republican,10/12/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.40,13065
Democratic,10/12/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.62,9722
Republican,10/13/2020 12:00:00 AM,$0.40,$0.41,$0.38,$0.39,27675
Democratic,10/13/2020 12:00:00 AM,$0.62,$0.64,$0.62,$0.63,24005
Republican,10/14/2020 12:00:00 AM,$0.39,$0.41,$0.38,$0.40,14287
Democratic,10/14/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,18075
Republican,10/15/2020 12:00:00 AM,$0.40,$0.41,$0.38,$0.39,33791
Democratic,10/15/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.63,26327
Republican,10/16/2020 12:00:00 AM,$0.39,$0.43,$0.37,$0.43,32838
Democratic,10/16/2020 12:00:00 AM,$0.63,$0.63,$0.61,$0.61,26123
Republican,10/17/2020 12:00:00 AM,$0.43,$0.44,$0.40,$0.41,34356
Democratic,10/17/2020 12:00:00 AM,$0.61,$0.63,$0.60,$0.61,28939
Republican,10/18/2020 12:00:00 AM,$0.41,$0.43,$0.40,$0.42,31243
Democratic,10/18/2020 12:00:00 AM,$0.61,$0.61,$0.58,$0.60,24237
Republican,10/19/2020 12:00:00 AM,$0.42,$0.48,$0.41,$0.45,73217
Democratic,10/19/2020 12:00:00 AM,$0.60,$0.60,$0.55,$0.58,61158
Republican,10/20/2020 12:00:00 AM,$0.45,$0.46,$0.42,$0.45,56959
Democratic,10/20/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.59,58366
Republican,10/21/2020 12:00:00 AM,$0.45,$0.46,$0.43,$0.45,43774
Democratic,10/21/2020 12:00:00 AM,$0.59,$0.60,$0.57,$0.59,38380
Republican,10/22/2020 12:00:00 AM,$0.45,$0.47,$0.43,$0.45,72482
Democratic,10/22/2020 12:00:00 AM,$0.59,$0.61,$0.55,$0.56,48475
Republican,10/23/2020 12:00:00 AM,$0.45,$0.48,$0.43,$0.47,61908
Democratic,10/23/2020 12:00:00 AM,$0.56,$0.59,$0.53,$0.55,47887
Republican,10/24/2020 12:00:00 AM,$0.47,$0.49,$0.46,$0.48,74259
Democratic,10/24/2020 12:00:00 AM,$0.55,$0.56,$0.52,$0.54,60643
