ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,79
Democratic,8/3/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,943
Republican,8/4/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,4740
Democratic,8/4/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,26
Republican,8/5/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,488
Democratic,8/5/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,245
Republican,8/6/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,251
Democratic,8/6/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.93,5713
Republican,8/7/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,23
Democratic,8/7/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,1177
Republican,8/8/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,1779
Democratic,8/8/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,1408
Republican,8/9/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,615
Democratic,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,39
Republican,8/10/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,79
Democratic,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,1436
Republican,8/11/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,9043
Democratic,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,2211
Republican,8/12/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1111
Democratic,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,766
Republican,8/13/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,1070
Democratic,8/13/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.95,2758
Republican,8/14/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,732
Democratic,8/14/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,1382
Republican,8/15/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1206
Democratic,8/15/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,700
Republican,8/16/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1304
Democratic,8/16/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.95,1153
Republican,8/17/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,7095
Democratic,8/17/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.94,119
Republican,8/18/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,918
Democratic,8/18/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.95,1298
Republican,8/19/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,5150
Democratic,8/19/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,1787
Republican,8/20/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,14840
Democratic,8/20/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,1079
Republican,8/21/2020 12:00:00 AM,$0.06,$0.07,$0.05,$0.05,6478
Democratic,8/21/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,5186
Republican,8/22/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1387
Democratic,8/22/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,735
Republican,8/23/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,2133
Democratic,8/23/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,256
Republican,8/24/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,9695
Democratic,8/24/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.96,3164
Republican,8/25/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,8454
Democratic,8/25/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,450
Republican,8/26/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,6035
Democratic,8/26/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,2585
Republican,8/27/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,3893
Democratic,8/27/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,2517
Republican,8/28/2020 12:00:00 AM,$0.05,$0.07,$0.05,$0.05,2282
Democratic,8/28/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,1042
Republican,8/29/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1221
Democratic,8/29/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,6
Republican,8/30/2020 12:00:00 AM,$0.05,$0.07,$0.05,$0.07,2684
Democratic,8/30/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,1017
Republican,8/31/2020 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,3581
Democratic,8/31/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,2384
Republican,9/1/2020 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,1518
Democratic,9/1/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.96,241
