ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,212
Democratic,8/3/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.88,7
Republican,8/4/2020 12:00:00 AM,$0.12,$0.14,$0.12,$0.14,630
Democratic,8/4/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.88,22
Republican,8/5/2020 12:00:00 AM,$0.14,$0.14,$0.12,$0.12,128
Democratic,8/5/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,29
Republican,8/6/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.13,5
Democratic,8/6/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.88,337
Republican,8/7/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.13,612
Democratic,8/7/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,734
Republican,8/8/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.14,224
Democratic,8/8/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.90,269
Republican,8/9/2020 12:00:00 AM,$0.14,$0.15,$0.13,$0.13,719
Democratic,8/9/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.90,66
Republican,8/10/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,478
Democratic,8/10/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.89,1151
Republican,8/11/2020 12:00:00 AM,$0.13,$0.17,$0.11,$0.15,11567
Democratic,8/11/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,246
Republican,8/12/2020 12:00:00 AM,$0.15,$0.15,$0.13,$0.13,2430
Democratic,8/12/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.89,2992
Republican,8/13/2020 12:00:00 AM,$0.13,$0.15,$0.13,$0.15,1880
Democratic,8/13/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,190
Republican,8/14/2020 12:00:00 AM,$0.15,$0.15,$0.13,$0.13,26
Democratic,8/14/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,472
Republican,8/15/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,1056
Democratic,8/15/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,12
Republican,8/16/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,864
Democratic,8/16/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.88,1480
Republican,8/17/2020 12:00:00 AM,$0.13,$0.15,$0.12,$0.12,5496
Democratic,8/17/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,571
Republican,8/18/2020 12:00:00 AM,$0.12,$0.15,$0.11,$0.12,5625
