ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.06,20
Democratic,8/3/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Republican,8/4/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,904
Democratic,8/4/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,912
Republican,8/5/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,27
Democratic,8/5/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,77
Republican,8/6/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1
Democratic,8/6/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.93,11
Republican,8/7/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/7/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,10
Republican,8/8/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/8/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,299
Republican,8/9/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/9/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,50
Republican,8/10/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,256
Democratic,8/10/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,2304
Republican,8/11/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,950
Democratic,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,28
Republican,8/12/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,66
Democratic,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,261
Republican,8/13/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,10
Democratic,8/13/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,2
Republican,8/14/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.07,1240
Democratic,8/14/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,8
Republican,8/15/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,25
Democratic,8/15/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,1023
Republican,8/16/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,158
Democratic,8/16/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.94,61
Republican,8/17/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,849
Democratic,8/17/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.94,924
Republican,8/18/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,417
Democratic,8/18/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/19/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1903
Democratic,8/19/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,578
