ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.42,$0.43,$0.41,$0.43,4446
Democratic,8/3/2020 12:00:00 AM,$0.60,$0.61,$0.59,$0.60,1790
Republican,8/4/2020 12:00:00 AM,$0.43,$0.45,$0.42,$0.44,5504
Democratic,8/4/2020 12:00:00 AM,$0.60,$0.61,$0.59,$0.59,3288
Republican,8/5/2020 12:00:00 AM,$0.44,$0.45,$0.42,$0.44,5632
Democratic,8/5/2020 12:00:00 AM,$0.59,$0.61,$0.58,$0.59,6876
Republican,8/6/2020 12:00:00 AM,$0.44,$0.44,$0.43,$0.44,4364
Democratic,8/6/2020 12:00:00 AM,$0.59,$0.60,$0.56,$0.58,5659
Republican,8/7/2020 12:00:00 AM,$0.44,$0.47,$0.44,$0.45,12062
Democratic,8/7/2020 12:00:00 AM,$0.58,$0.58,$0.54,$0.56,11890
Republican,8/8/2020 12:00:00 AM,$0.45,$0.46,$0.44,$0.46,2420
Democratic,8/8/2020 12:00:00 AM,$0.56,$0.58,$0.55,$0.56,1691
Republican,8/9/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,7397
Democratic,8/9/2020 12:00:00 AM,$0.56,$0.58,$0.53,$0.54,2664
Republican,8/10/2020 12:00:00 AM,$0.46,$0.50,$0.46,$0.48,10052
Democratic,8/10/2020 12:00:00 AM,$0.54,$0.56,$0.52,$0.54,5064
Republican,8/11/2020 12:00:00 AM,$0.48,$0.48,$0.43,$0.48,15856
Democratic,8/11/2020 12:00:00 AM,$0.54,$0.58,$0.53,$0.56,6758
Republican,8/12/2020 12:00:00 AM,$0.48,$0.48,$0.45,$0.47,8221
Democratic,8/12/2020 12:00:00 AM,$0.56,$0.58,$0.55,$0.55,9221
Republican,8/13/2020 12:00:00 AM,$0.47,$0.48,$0.46,$0.47,6758
Democratic,8/13/2020 12:00:00 AM,$0.55,$0.56,$0.55,$0.56,4113
Republican,8/14/2020 12:00:00 AM,$0.47,$0.47,$0.46,$0.46,3634
Democratic,8/14/2020 12:00:00 AM,$0.56,$0.56,$0.55,$0.56,4682
Republican,8/15/2020 12:00:00 AM,$0.46,$0.49,$0.46,$0.48,6569
Democratic,8/15/2020 12:00:00 AM,$0.56,$0.57,$0.55,$0.56,6408
Republican,8/16/2020 12:00:00 AM,$0.48,$0.49,$0.46,$0.48,7307
Democratic,8/16/2020 12:00:00 AM,$0.56,$0.57,$0.54,$0.54,6824
Republican,8/17/2020 12:00:00 AM,$0.48,$0.51,$0.47,$0.50,18097
Democratic,8/17/2020 12:00:00 AM,$0.54,$0.55,$0.51,$0.52,8330
Republican,8/18/2020 12:00:00 AM,$0.50,$0.50,$0.48,$0.49,11898
Democratic,8/18/2020 12:00:00 AM,$0.52,$0.54,$0.52,$0.53,9142
Republican,8/19/2020 12:00:00 AM,$0.49,$0.50,$0.46,$0.47,18533
Democratic,8/19/2020 12:00:00 AM,$0.53,$0.55,$0.52,$0.55,14763
Republican,8/20/2020 12:00:00 AM,$0.47,$0.48,$0.46,$0.46,16449
Democratic,8/20/2020 12:00:00 AM,$0.55,$0.56,$0.54,$0.56,10791
Republican,8/21/2020 12:00:00 AM,$0.46,$0.46,$0.44,$0.45,8375
Democratic,8/21/2020 12:00:00 AM,$0.56,$0.57,$0.56,$0.56,10825
Republican,8/22/2020 12:00:00 AM,$0.45,$0.46,$0.44,$0.45,5534
