ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.62,$0.64,$0.62,$0.64,91
Democratic,8/3/2020 12:00:00 AM,$0.40,$0.40,$0.38,$0.38,11
Republican,8/4/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.64,921
Democratic,8/4/2020 12:00:00 AM,$0.38,$0.40,$0.38,$0.40,968
Republican,8/5/2020 12:00:00 AM,$0.64,$0.65,$0.62,$0.65,3715
Democratic,8/5/2020 12:00:00 AM,$0.40,$0.40,$0.36,$0.36,1280
Republican,8/6/2020 12:00:00 AM,$0.65,$0.66,$0.62,$0.65,3921
Democratic,8/6/2020 12:00:00 AM,$0.36,$0.37,$0.35,$0.36,3756
Republican,8/7/2020 12:00:00 AM,$0.65,$0.67,$0.64,$0.67,1056
Democratic,8/7/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.35,794
Republican,8/8/2020 12:00:00 AM,$0.67,$0.69,$0.66,$0.69,2412
Democratic,8/8/2020 12:00:00 AM,$0.35,$0.35,$0.33,$0.33,714
Republican,8/9/2020 12:00:00 AM,$0.69,$0.69,$0.67,$0.68,979
Democratic,8/9/2020 12:00:00 AM,$0.33,$0.35,$0.32,$0.34,1225
Republican,8/10/2020 12:00:00 AM,$0.68,$0.69,$0.67,$0.68,185
Democratic,8/10/2020 12:00:00 AM,$0.34,$0.34,$0.32,$0.33,1285
Republican,8/11/2020 12:00:00 AM,$0.68,$0.70,$0.67,$0.69,5425
Democratic,8/11/2020 12:00:00 AM,$0.33,$0.35,$0.30,$0.33,5755
Republican,8/12/2020 12:00:00 AM,$0.69,$0.69,$0.68,$0.69,1119
Democratic,8/12/2020 12:00:00 AM,$0.33,$0.34,$0.31,$0.32,1921
Republican,8/13/2020 12:00:00 AM,$0.69,$0.70,$0.69,$0.69,3210
Democratic,8/13/2020 12:00:00 AM,$0.32,$0.32,$0.31,$0.32,455
Republican,8/14/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.69,2398
Democratic,8/14/2020 12:00:00 AM,$0.32,$0.34,$0.32,$0.32,1859
Republican,8/15/2020 12:00:00 AM,$0.69,$0.69,$0.67,$0.67,1264
Democratic,8/15/2020 12:00:00 AM,$0.32,$0.33,$0.32,$0.32,144
Republican,8/16/2020 12:00:00 AM,$0.67,$0.70,$0.67,$0.70,896
Democratic,8/16/2020 12:00:00 AM,$0.32,$0.33,$0.31,$0.33,1566
Republican,8/17/2020 12:00:00 AM,$0.70,$0.71,$0.68,$0.71,3806
Democratic,8/17/2020 12:00:00 AM,$0.33,$0.33,$0.31,$0.32,1106
Republican,8/18/2020 12:00:00 AM,$0.71,$0.72,$0.70,$0.72,1727
Democratic,8/18/2020 12:00:00 AM,$0.32,$0.33,$0.29,$0.30,3398
Republican,8/19/2020 12:00:00 AM,$0.72,$0.74,$0.71,$0.73,4094
Democratic,8/19/2020 12:00:00 AM,$0.30,$0.30,$0.29,$0.30,1079
Republican,8/20/2020 12:00:00 AM,$0.73,$0.74,$0.71,$0.71,3135
Democratic,8/20/2020 12:00:00 AM,$0.30,$0.30,$0.28,$0.30,3385
Republican,8/21/2020 12:00:00 AM,$0.71,$0.72,$0.71,$0.72,3079
Democratic,8/21/2020 12:00:00 AM,$0.30,$0.30,$0.29,$0.29,2584
