ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,151
Democratic,8/3/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.93,1773
Republican,8/4/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/4/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,1
Republican,8/5/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,1
Democratic,8/5/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.95,5
Republican,8/6/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,6
Democratic,8/6/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,226
Republican,8/7/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,267
Democratic,8/7/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,10
Republican,8/8/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,457
Democratic,8/8/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,1008
Republican,8/9/2020 12:00:00 AM,$0.07,$0.07,$0.05,$0.06,38
Democratic,8/9/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/10/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,141
Democratic,8/10/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,401
Republican,8/11/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,25
Democratic,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,904
Republican,8/12/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,266
Democratic,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,298
Republican,8/13/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,1159
Democratic,8/13/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,905
Republican,8/14/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,861
Democratic,8/14/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,37
Republican,8/15/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,401
Democratic,8/15/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/16/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,75
Democratic,8/16/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.93,312
Republican,8/17/2020 12:00:00 AM,$0.06,$0.08,$0.06,$0.06,2605
Democratic,8/17/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,11
Republican,8/18/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,86
Democratic,8/18/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,50
Republican,8/19/2020 12:00:00 AM,$0.06,$0.07,$0.05,$0.07,1437
Democratic,8/19/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1282
Republican,8/20/2020 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,2154
Democratic,8/20/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,2490
Republican,8/21/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1011
Democratic,8/21/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,267
Republican,8/22/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,371
Democratic,8/22/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,971
Republican,8/23/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,302
Democratic,8/23/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,1200
Republican,8/24/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,3496
Democratic,8/24/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,28
Republican,8/25/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,895
Democratic,8/25/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,175
Republican,8/26/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,1361
Democratic,8/26/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,298
Republican,8/27/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,1107
Democratic,8/27/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,101
Republican,8/28/2020 12:00:00 AM,$0.06,$0.09,$0.06,$0.08,13915
Democratic,8/28/2020 12:00:00 AM,$0.95,$0.96,$0.94,$0.94,1935
Republican,8/29/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.06,2435
Democratic,8/29/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,241
Republican,8/30/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,195
Democratic,8/30/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,2137
Republican,8/31/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.07,1436
Democratic,8/31/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,1293
Republican,9/1/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.08,2375
Democratic,9/1/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,632
Republican,9/2/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.06,1112
Democratic,9/2/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1849
Republican,9/3/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1278
Democratic,9/3/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,26
Republican,9/4/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,122
Democratic,9/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/5/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,623
Democratic,9/5/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,20
Republican,9/6/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,100
Democratic,9/6/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,6
Republican,9/7/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,284
Democratic,9/7/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,10
Republican,9/8/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,627
Democratic,9/8/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,29
Republican,9/9/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,300
Democratic,9/9/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,165
Republican,9/10/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,901
Democratic,9/10/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,25
Republican,9/11/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,202
Democratic,9/11/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,100
Republican,9/12/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,551
Democratic,9/12/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,61
Republican,9/13/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,9/13/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,5
Republican,9/14/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,871
Democratic,9/14/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/15/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,2292
Democratic,9/15/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,125
Republican,9/16/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,173
Democratic,9/16/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,25
Republican,9/17/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,915
Democratic,9/17/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,585
Republican,9/18/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,152
Democratic,9/18/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,505
Republican,9/19/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,979
Democratic,9/19/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,1469
Republican,9/20/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,904
Democratic,9/20/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,61
Republican,9/21/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,149
Democratic,9/21/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,1
Republican,9/22/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,36
Democratic,9/22/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/23/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,330
Democratic,9/23/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,269
Republican,9/24/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,7842
Democratic,9/24/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,6506
Republican,9/25/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,171
Democratic,9/25/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,701
Republican,9/26/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,239
Democratic,9/26/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,20
Republican,9/27/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1692
Democratic,9/27/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,20
Republican,9/28/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,2183
Democratic,9/28/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,11885
Republican,9/29/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,4831
Democratic,9/29/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,4729
Republican,9/30/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1950
Democratic,9/30/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,3873
Republican,10/1/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,5069
Democratic,10/1/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,5470
Republican,10/2/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,1129
Democratic,10/2/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.94,2916
Republican,10/3/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,3064
Democratic,10/3/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,300
Republican,10/4/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1834
Democratic,10/4/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,60
Republican,10/5/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,146
Democratic,10/5/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,103
Republican,10/6/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1141
Democratic,10/6/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,270
Republican,10/7/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,978
Democratic,10/7/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.95,2187
Republican,10/8/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,2363
Democratic,10/8/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,6
Republican,10/9/2020 12:00:00 AM,$0.06,$0.07,$0.05,$0.07,10159
Democratic,10/9/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,3326
Republican,10/10/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,2907
Democratic,10/10/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,2866
Republican,10/11/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,725
Democratic,10/11/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,945
Republican,10/12/2020 12:00:00 AM,$0.06,$0.07,$0.05,$0.07,838
Democratic,10/12/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,1838
Republican,10/13/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,614
