ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,6
Democratic,8/3/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,28
Republican,8/4/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.89,2021
Democratic,8/4/2020 12:00:00 AM,$0.12,$0.12,$0.11,$0.11,1081
Republican,8/5/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,424
Democratic,8/5/2020 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,30
Republican,8/6/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,1035
Democratic,8/6/2020 12:00:00 AM,$0.11,$0.13,$0.11,$0.13,1078
Republican,8/7/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,100
Democratic,8/7/2020 12:00:00 AM,$0.13,$0.13,$0.11,$0.11,502
Republican,8/8/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,772
Democratic,8/8/2020 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,2
Republican,8/9/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,70
Democratic,8/9/2020 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
Republican,8/10/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,37
Democratic,8/10/2020 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
Republican,8/11/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,95
Democratic,8/11/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,732
Republican,8/12/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,1751
Democratic,8/12/2020 12:00:00 AM,$0.10,$0.12,$0.10,$0.12,903
Republican,8/13/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,15
Democratic,8/13/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.13,676
Republican,8/14/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,104
Democratic,8/14/2020 12:00:00 AM,$0.13,$0.13,$0.11,$0.12,114
Republican,8/15/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,52
Democratic,8/15/2020 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,47
Republican,8/16/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,76
