ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.88,568
Democratic,8/3/2020 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,1
Republican,8/4/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,900
Democratic,8/4/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,198
Republican,8/5/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.88,888
Democratic,8/5/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,1899
Republican,8/6/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.88,1210
Democratic,8/6/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.12,2416
Republican,8/7/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.90,2045
Democratic,8/7/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.10,1702
Republican,8/8/2020 12:00:00 AM,$0.90,$0.90,$0.89,$0.90,38
Democratic,8/8/2020 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,1
Republican,8/9/2020 12:00:00 AM,$0.90,$0.90,$0.89,$0.90,985
Democratic,8/9/2020 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Republican,8/10/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.90,1005
Democratic,8/10/2020 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,3
Republican,8/11/2020 12:00:00 AM,$0.90,$0.90,$0.89,$0.90,1929
Democratic,8/11/2020 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Republican,8/12/2020 12:00:00 AM,$0.90,$0.91,$0.89,$0.90,645
Democratic,8/12/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.11,493
Republican,8/13/2020 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,10
Democratic,8/13/2020 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,1
Republican,8/14/2020 12:00:00 AM,$0.90,$0.91,$0.90,$0.91,60
Democratic,8/14/2020 12:00:00 AM,$0.11,$0.11,$0.09,$0.11,115
Republican,8/15/2020 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,29
Democratic,8/15/2020 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,41
