ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,10
Democratic,8/3/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,1
Republican,8/4/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,10
Democratic,8/4/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,300
Republican,8/5/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,1
Democratic,8/5/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,37
Republican,8/6/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,151
Democratic,8/6/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,159
Republican,8/7/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,1
Democratic,8/7/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,15
Republican,8/8/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,4
Democratic,8/8/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Republican,8/9/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,872
Democratic,8/9/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Republican,8/10/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,25
Democratic,8/10/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,101
Republican,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1
Democratic,8/11/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,2
Republican,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,416
Democratic,8/12/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,2048
Republican,8/13/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/13/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,351
Republican,8/14/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,173
Democratic,8/14/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,5
Republican,8/15/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/15/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/16/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/16/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,101
Republican,8/17/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/17/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,199
Republican,8/18/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,303
Democratic,8/18/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,101
Republican,8/19/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,136
Democratic,8/19/2020 12:00:00 AM,$0.06,$0.08,$0.06,$0.06,961
Republican,8/20/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,1413
Democratic,8/20/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1527
