ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.93,$0.93,$0.91,$0.93,142
Democratic,8/3/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/4/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,26
Democratic,8/4/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/5/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,2
Democratic,8/5/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/6/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,22
Democratic,8/6/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/7/2020 12:00:00 AM,$0.93,$0.93,$0.91,$0.93,1001
Democratic,8/7/2020 12:00:00 AM,$0.09,$0.09,$0.07,$0.07,389
Republican,8/8/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,2
Democratic,8/8/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,50
Republican,8/9/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/9/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,810
Republican,8/10/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.94,3
Democratic,8/10/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,6
Republican,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,400
Democratic,8/11/2020 12:00:00 AM,$0.06,$0.08,$0.06,$0.08,511
Republican,8/12/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,25
Democratic,8/12/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.09,7
Republican,8/13/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/13/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/14/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,12
Democratic,8/14/2020 12:00:00 AM,$0.09,$0.09,$0.07,$0.07,5
Republican,8/15/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/15/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/16/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/16/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,11
Republican,8/17/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,297
Democratic,8/17/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,226
Republican,8/18/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,830
Democratic,8/18/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,100
Republican,8/19/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,26
Democratic,8/19/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,110
Republican,8/20/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,907
Democratic,8/20/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,602
Republican,8/21/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.95,96
Democratic,8/21/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,441
Republican,8/22/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,775
Democratic,8/22/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,456
Republican,8/23/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.93,4133
Democratic,8/23/2020 12:00:00 AM,$0.06,$0.08,$0.06,$0.08,2533
Republican,8/24/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.93,689
Democratic,8/24/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.07,2736
Republican,8/25/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/25/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,152
Republican,8/26/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.93,76
Democratic,8/26/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,227
Republican,8/27/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,150
Democratic,8/27/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,635
Republican,8/28/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,1
Democratic,8/28/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,125
Republican,8/29/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,223
Democratic,8/29/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/30/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,7
Democratic,8/30/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,90
Republican,8/31/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/31/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,94
Republican,9/1/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,505
Democratic,9/1/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,232
Republican,9/2/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,6
Democratic,9/2/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,527
Republican,9/3/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,104
Democratic,9/3/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,1062
Republican,9/4/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,9/4/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,9/5/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,25
Democratic,9/5/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,9/6/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1
