ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,100
Democratic,8/3/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,875
Republican,8/4/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/4/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/5/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1
Democratic,8/5/2020 12:00:00 AM,$0.94,$0.96,$0.94,$0.96,11
Republican,8/6/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/6/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/7/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/7/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.95,20
Republican,8/8/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/8/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,10
Republican,8/9/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/10/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/11/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,363
Democratic,8/11/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,26
Republican,8/12/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Democratic,8/12/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,10
Republican,8/13/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,50
Democratic,8/13/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/14/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/14/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,108
Republican,8/15/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/15/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,2
Republican,8/16/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/16/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
