ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/3/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/4/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/5/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1
Democratic,8/5/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/6/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,91
Democratic,8/6/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Republican,8/7/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,4
Democratic,8/7/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,10
Republican,8/8/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,8/8/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,10
Republican,8/9/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,1
Democratic,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/10/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/11/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Democratic,8/11/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,31
Republican,8/12/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,9
Democratic,8/12/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/13/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,110
Democratic,8/13/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,50
Republican,8/14/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,110
Democratic,8/14/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,268
Republican,8/15/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/15/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/16/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/16/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/17/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/17/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/18/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,760
Democratic,8/18/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Republican,8/19/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,50
Democratic,8/19/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,25
Republican,8/20/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1500
Democratic,8/20/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,1171
Republican,8/21/2020 12:00:00 AM,$0.04,$0.05,$0.03,$0.05,1002
Democratic,8/21/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,100
Republican,8/22/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,250
Democratic,8/22/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/23/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,250
Democratic,8/23/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,220
