ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/3/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/4/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/5/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/5/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/6/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/6/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/7/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,9
Democratic,8/7/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Republican,8/8/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,19
Democratic,8/8/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/9/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,51
Democratic,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/10/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/11/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,13
Democratic,8/11/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,8
Republican,8/12/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1
Democratic,8/12/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,38
Republican,8/13/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/13/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/14/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/14/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/15/2020 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,894
Democratic,8/15/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,894
Republican,8/16/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/16/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/17/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,5
Democratic,8/17/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/18/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/18/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,3
Republican,8/19/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/19/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,45
Republican,8/20/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/20/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1
Republican,8/21/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1000
Democratic,8/21/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1
Republican,8/22/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/22/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,1
Republican,8/23/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,23
Democratic,8/23/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,64
Republican,8/24/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Democratic,8/24/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,29
Republican,8/25/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,10
Democratic,8/25/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,7
Republican,8/26/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,920
Democratic,8/26/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,2
Republican,8/27/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,110
Democratic,8/27/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/28/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/28/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/29/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/29/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,13
Republican,8/30/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/30/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/31/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,4
Democratic,8/31/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,9/1/2020 12:00:00 AM,$0.06,$0.09,$0.06,$0.09,722
Democratic,9/1/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,13
Republican,9/2/2020 12:00:00 AM,$0.09,$0.09,$0.07,$0.07,691
Democratic,9/2/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,1
Republican,9/3/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,9/3/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Republican,9/4/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.06,301
Democratic,9/4/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Republican,9/5/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,9/5/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,25
Republican,9/6/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Democratic,9/6/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Republican,9/7/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,12
Democratic,9/7/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/8/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,3
Democratic,9/8/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
