ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,6
Democratic,8/3/2020 12:00:00 AM,$0.84,$0.86,$0.84,$0.84,991
Republican,8/4/2020 12:00:00 AM,$0.17,$0.17,$0.15,$0.16,419
Democratic,8/4/2020 12:00:00 AM,$0.84,$0.86,$0.84,$0.85,3
Republican,8/5/2020 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,955
Democratic,8/5/2020 12:00:00 AM,$0.85,$0.86,$0.85,$0.85,323
Republican,8/6/2020 12:00:00 AM,$0.16,$0.17,$0.14,$0.17,122
Democratic,8/6/2020 12:00:00 AM,$0.85,$0.86,$0.85,$0.85,1240
Republican,8/7/2020 12:00:00 AM,$0.17,$0.17,$0.15,$0.16,739
Democratic,8/7/2020 12:00:00 AM,$0.85,$0.86,$0.83,$0.84,3254
Republican,8/8/2020 12:00:00 AM,$0.16,$0.17,$0.15,$0.16,1098
Democratic,8/8/2020 12:00:00 AM,$0.84,$0.85,$0.83,$0.84,1057
Republican,8/9/2020 12:00:00 AM,$0.16,$0.17,$0.15,$0.16,1994
Democratic,8/9/2020 12:00:00 AM,$0.84,$0.85,$0.83,$0.84,1206
Republican,8/10/2020 12:00:00 AM,$0.16,$0.18,$0.16,$0.18,3008
Democratic,8/10/2020 12:00:00 AM,$0.84,$0.85,$0.82,$0.85,6727
Republican,8/11/2020 12:00:00 AM,$0.18,$0.19,$0.16,$0.17,3001
Democratic,8/11/2020 12:00:00 AM,$0.85,$0.85,$0.83,$0.85,2690
Republican,8/12/2020 12:00:00 AM,$0.17,$0.18,$0.16,$0.17,3477
Democratic,8/12/2020 12:00:00 AM,$0.85,$0.85,$0.83,$0.84,1878
Republican,8/13/2020 12:00:00 AM,$0.17,$0.19,$0.17,$0.19,1310
Democratic,8/13/2020 12:00:00 AM,$0.84,$0.85,$0.84,$0.85,606
Republican,8/14/2020 12:00:00 AM,$0.19,$0.19,$0.17,$0.19,6
Democratic,8/14/2020 12:00:00 AM,$0.85,$0.85,$0.84,$0.84,1162
Republican,8/15/2020 12:00:00 AM,$0.19,$0.19,$0.17,$0.18,1790
Democratic,8/15/2020 12:00:00 AM,$0.84,$0.85,$0.84,$0.84,1479
Republican,8/16/2020 12:00:00 AM,$0.18,$0.19,$0.17,$0.19,204
Democratic,8/16/2020 12:00:00 AM,$0.84,$0.84,$0.81,$0.81,4466
Republican,8/17/2020 12:00:00 AM,$0.19,$0.19,$0.18,$0.19,1381
Democratic,8/17/2020 12:00:00 AM,$0.81,$0.83,$0.81,$0.81,95
Republican,8/18/2020 12:00:00 AM,$0.19,$0.21,$0.19,$0.21,1067
Democratic,8/18/2020 12:00:00 AM,$0.81,$0.82,$0.79,$0.79,1121
Republican,8/19/2020 12:00:00 AM,$0.21,$0.21,$0.19,$0.19,1455
Democratic,8/19/2020 12:00:00 AM,$0.79,$0.82,$0.79,$0.82,1869
Republican,8/20/2020 12:00:00 AM,$0.19,$0.19,$0.17,$0.17,2040
Democratic,8/20/2020 12:00:00 AM,$0.82,$0.84,$0.82,$0.84,3134
Republican,8/21/2020 12:00:00 AM,$0.17,$0.18,$0.16,$0.17,524
Democratic,8/21/2020 12:00:00 AM,$0.84,$0.84,$0.83,$0.83,1308
Republican,8/22/2020 12:00:00 AM,$0.17,$0.17,$0.16,$0.17,1251
Democratic,8/22/2020 12:00:00 AM,$0.83,$0.84,$0.83,$0.84,1160
Republican,8/23/2020 12:00:00 AM,$0.17,$0.17,$0.15,$0.16,361
Democratic,8/23/2020 12:00:00 AM,$0.84,$0.85,$0.84,$0.84,247
Republican,8/24/2020 12:00:00 AM,$0.16,$0.16,$0.14,$0.16,1625
Democratic,8/24/2020 12:00:00 AM,$0.84,$0.85,$0.84,$0.84,1547
Republican,8/25/2020 12:00:00 AM,$0.16,$0.16,$0.15,$0.15,694
Democratic,8/25/2020 12:00:00 AM,$0.84,$0.86,$0.84,$0.85,3291
Republican,8/26/2020 12:00:00 AM,$0.15,$0.19,$0.15,$0.19,6280
Democratic,8/26/2020 12:00:00 AM,$0.85,$0.85,$0.81,$0.82,11536
Republican,8/27/2020 12:00:00 AM,$0.19,$0.19,$0.18,$0.19,3256
Democratic,8/27/2020 12:00:00 AM,$0.82,$0.84,$0.81,$0.81,3665
Republican,8/28/2020 12:00:00 AM,$0.19,$0.24,$0.18,$0.21,12382
Democratic,8/28/2020 12:00:00 AM,$0.81,$0.84,$0.78,$0.80,11384
Republican,8/29/2020 12:00:00 AM,$0.21,$0.25,$0.21,$0.23,3820
Democratic,8/29/2020 12:00:00 AM,$0.80,$0.80,$0.77,$0.77,1312
Republican,8/30/2020 12:00:00 AM,$0.23,$0.25,$0.22,$0.23,5369
Democratic,8/30/2020 12:00:00 AM,$0.77,$0.78,$0.76,$0.78,3696
Republican,8/31/2020 12:00:00 AM,$0.23,$0.24,$0.22,$0.23,2162
Democratic,8/31/2020 12:00:00 AM,$0.78,$0.78,$0.76,$0.78,1497
Republican,9/1/2020 12:00:00 AM,$0.23,$0.25,$0.22,$0.23,2098
Democratic,9/1/2020 12:00:00 AM,$0.78,$0.79,$0.77,$0.77,2812
Republican,9/2/2020 12:00:00 AM,$0.23,$0.24,$0.21,$0.21,3002
Democratic,9/2/2020 12:00:00 AM,$0.77,$0.79,$0.77,$0.78,1034
Republican,9/3/2020 12:00:00 AM,$0.21,$0.23,$0.20,$0.20,6332
Democratic,9/3/2020 12:00:00 AM,$0.78,$0.81,$0.78,$0.80,3378
Republican,9/4/2020 12:00:00 AM,$0.20,$0.22,$0.19,$0.19,8334
Democratic,9/4/2020 12:00:00 AM,$0.80,$0.82,$0.79,$0.82,2064
Republican,9/5/2020 12:00:00 AM,$0.19,$0.21,$0.19,$0.19,2568
Democratic,9/5/2020 12:00:00 AM,$0.82,$0.82,$0.81,$0.81,798
Republican,9/6/2020 12:00:00 AM,$0.19,$0.21,$0.17,$0.19,5869
Democratic,9/6/2020 12:00:00 AM,$0.81,$0.82,$0.81,$0.82,124
Republican,9/7/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.18,370
Democratic,9/7/2020 12:00:00 AM,$0.82,$0.82,$0.80,$0.82,3221
Republican,9/8/2020 12:00:00 AM,$0.18,$0.21,$0.17,$0.19,5864
Democratic,9/8/2020 12:00:00 AM,$0.82,$0.83,$0.81,$0.83,3487
Republican,9/9/2020 12:00:00 AM,$0.19,$0.22,$0.19,$0.19,7694
Democratic,9/9/2020 12:00:00 AM,$0.83,$0.84,$0.81,$0.84,2441
Republican,9/10/2020 12:00:00 AM,$0.19,$0.20,$0.19,$0.19,2464
Democratic,9/10/2020 12:00:00 AM,$0.84,$0.84,$0.82,$0.83,3842
Republican,9/11/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.18,1593
Democratic,9/11/2020 12:00:00 AM,$0.83,$0.84,$0.82,$0.82,213
Republican,9/12/2020 12:00:00 AM,$0.18,$0.20,$0.18,$0.20,3680
Democratic,9/12/2020 12:00:00 AM,$0.82,$0.83,$0.81,$0.81,3807
Republican,9/13/2020 12:00:00 AM,$0.20,$0.20,$0.18,$0.19,5018
Democratic,9/13/2020 12:00:00 AM,$0.81,$0.82,$0.81,$0.82,1775
