ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.27,$0.27,$0.25,$0.27,3134
Democratic,8/3/2020 12:00:00 AM,$0.76,$0.78,$0.74,$0.74,2557
Republican,8/4/2020 12:00:00 AM,$0.27,$0.28,$0.26,$0.28,2370
Democratic,8/4/2020 12:00:00 AM,$0.74,$0.76,$0.74,$0.75,1523
Republican,8/5/2020 12:00:00 AM,$0.28,$0.28,$0.25,$0.27,3284
Democratic,8/5/2020 12:00:00 AM,$0.75,$0.76,$0.75,$0.75,1827
Republican,8/6/2020 12:00:00 AM,$0.27,$0.28,$0.26,$0.28,2340
Democratic,8/6/2020 12:00:00 AM,$0.75,$0.76,$0.74,$0.74,1664
Republican,8/7/2020 12:00:00 AM,$0.28,$0.30,$0.27,$0.28,7592
Democratic,8/7/2020 12:00:00 AM,$0.74,$0.75,$0.72,$0.72,7258
Republican,8/8/2020 12:00:00 AM,$0.28,$0.32,$0.27,$0.30,6106
Democratic,8/8/2020 12:00:00 AM,$0.72,$0.73,$0.70,$0.70,4463
Republican,8/9/2020 12:00:00 AM,$0.30,$0.32,$0.30,$0.32,4125
Democratic,8/9/2020 12:00:00 AM,$0.70,$0.73,$0.69,$0.71,4859
Republican,8/10/2020 12:00:00 AM,$0.32,$0.32,$0.30,$0.30,9589
Democratic,8/10/2020 12:00:00 AM,$0.71,$0.72,$0.68,$0.68,7668
Republican,8/11/2020 12:00:00 AM,$0.30,$0.33,$0.27,$0.31,16479
Democratic,8/11/2020 12:00:00 AM,$0.68,$0.74,$0.68,$0.72,8186
Republican,8/12/2020 12:00:00 AM,$0.31,$0.31,$0.28,$0.29,4626
Democratic,8/12/2020 12:00:00 AM,$0.72,$0.75,$0.72,$0.74,3197
Republican,8/13/2020 12:00:00 AM,$0.29,$0.30,$0.28,$0.30,4436
Democratic,8/13/2020 12:00:00 AM,$0.74,$0.75,$0.73,$0.73,496
Republican,8/14/2020 12:00:00 AM,$0.30,$0.31,$0.29,$0.30,6240
Democratic,8/14/2020 12:00:00 AM,$0.73,$0.75,$0.73,$0.74,5467
Republican,8/15/2020 12:00:00 AM,$0.30,$0.30,$0.29,$0.30,2987
Democratic,8/15/2020 12:00:00 AM,$0.74,$0.74,$0.73,$0.73,1723
Republican,8/16/2020 12:00:00 AM,$0.30,$0.30,$0.28,$0.29,2845
Democratic,8/16/2020 12:00:00 AM,$0.73,$0.74,$0.73,$0.73,1277
Republican,8/17/2020 12:00:00 AM,$0.29,$0.32,$0.29,$0.30,10682
Democratic,8/17/2020 12:00:00 AM,$0.73,$0.74,$0.72,$0.72,4880
Republican,8/18/2020 12:00:00 AM,$0.30,$0.32,$0.29,$0.29,8459
Democratic,8/18/2020 12:00:00 AM,$0.72,$0.73,$0.72,$0.72,2575
Republican,8/19/2020 12:00:00 AM,$0.29,$0.31,$0.26,$0.28,8170
Democratic,8/19/2020 12:00:00 AM,$0.72,$0.74,$0.70,$0.74,9815
Republican,8/20/2020 12:00:00 AM,$0.28,$0.28,$0.25,$0.26,9498
Democratic,8/20/2020 12:00:00 AM,$0.74,$0.75,$0.73,$0.74,6326
Republican,8/21/2020 12:00:00 AM,$0.26,$0.28,$0.25,$0.28,9249
Democratic,8/21/2020 12:00:00 AM,$0.74,$0.75,$0.73,$0.73,7872
Republican,8/22/2020 12:00:00 AM,$0.28,$0.28,$0.27,$0.27,4774
Democratic,8/22/2020 12:00:00 AM,$0.73,$0.74,$0.73,$0.73,2869
Republican,8/23/2020 12:00:00 AM,$0.27,$0.29,$0.27,$0.28,4295
Democratic,8/23/2020 12:00:00 AM,$0.73,$0.74,$0.72,$0.72,5243
Republican,8/24/2020 12:00:00 AM,$0.28,$0.30,$0.28,$0.30,16452
Democratic,8/24/2020 12:00:00 AM,$0.72,$0.73,$0.71,$0.71,10981
Republican,8/25/2020 12:00:00 AM,$0.30,$0.31,$0.29,$0.30,7683
Democratic,8/25/2020 12:00:00 AM,$0.71,$0.72,$0.70,$0.72,5451
Republican,8/26/2020 12:00:00 AM,$0.30,$0.31,$0.30,$0.30,9328
Democratic,8/26/2020 12:00:00 AM,$0.72,$0.72,$0.70,$0.71,5342
Republican,8/27/2020 12:00:00 AM,$0.30,$0.33,$0.30,$0.32,9206
Democratic,8/27/2020 12:00:00 AM,$0.71,$0.72,$0.70,$0.72,4533
Republican,8/28/2020 12:00:00 AM,$0.32,$0.35,$0.31,$0.33,38719
Democratic,8/28/2020 12:00:00 AM,$0.72,$0.72,$0.67,$0.68,26459
Republican,8/29/2020 12:00:00 AM,$0.33,$0.34,$0.31,$0.34,13790
Democratic,8/29/2020 12:00:00 AM,$0.68,$0.70,$0.67,$0.67,11886
Republican,8/30/2020 12:00:00 AM,$0.34,$0.37,$0.34,$0.35,23313
Democratic,8/30/2020 12:00:00 AM,$0.67,$0.69,$0.66,$0.68,9035
Republican,8/31/2020 12:00:00 AM,$0.35,$0.36,$0.33,$0.34,12665
Democratic,8/31/2020 12:00:00 AM,$0.68,$0.68,$0.65,$0.67,10792
Republican,9/1/2020 12:00:00 AM,$0.34,$0.35,$0.32,$0.34,9677
Democratic,9/1/2020 12:00:00 AM,$0.67,$0.69,$0.67,$0.68,9693
Republican,9/2/2020 12:00:00 AM,$0.34,$0.36,$0.33,$0.33,18618
Democratic,9/2/2020 12:00:00 AM,$0.68,$0.70,$0.66,$0.69,16069
Republican,9/3/2020 12:00:00 AM,$0.33,$0.35,$0.32,$0.33,11759
Democratic,9/3/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.69,5054
Republican,9/4/2020 12:00:00 AM,$0.33,$0.35,$0.32,$0.34,13443
Democratic,9/4/2020 12:00:00 AM,$0.69,$0.70,$0.67,$0.70,12327
Republican,9/5/2020 12:00:00 AM,$0.34,$0.34,$0.32,$0.33,4613
Democratic,9/5/2020 12:00:00 AM,$0.70,$0.71,$0.69,$0.70,4985
Republican,9/6/2020 12:00:00 AM,$0.33,$0.33,$0.32,$0.32,2702
Democratic,9/6/2020 12:00:00 AM,$0.70,$0.70,$0.68,$0.69,2278
Republican,9/7/2020 12:00:00 AM,$0.32,$0.34,$0.31,$0.32,9474
Democratic,9/7/2020 12:00:00 AM,$0.69,$0.71,$0.67,$0.69,7278
Republican,9/8/2020 12:00:00 AM,$0.32,$0.33,$0.31,$0.31,6079
Democratic,9/8/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.70,4437
