ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.25,$0.25,$0.22,$0.25,1657
Democratic,8/3/2020 12:00:00 AM,$0.77,$0.78,$0.77,$0.77,339
Republican,8/4/2020 12:00:00 AM,$0.25,$0.26,$0.23,$0.23,4428
Democratic,8/4/2020 12:00:00 AM,$0.77,$0.79,$0.77,$0.78,3533
Republican,8/5/2020 12:00:00 AM,$0.23,$0.24,$0.22,$0.22,3310
Democratic,8/5/2020 12:00:00 AM,$0.78,$0.80,$0.77,$0.80,2782
Republican,8/6/2020 12:00:00 AM,$0.22,$0.23,$0.22,$0.23,1493
Democratic,8/6/2020 12:00:00 AM,$0.80,$0.80,$0.79,$0.80,760
Republican,8/7/2020 12:00:00 AM,$0.23,$0.25,$0.22,$0.25,4442
Democratic,8/7/2020 12:00:00 AM,$0.80,$0.80,$0.76,$0.76,5752
Republican,8/8/2020 12:00:00 AM,$0.25,$0.26,$0.22,$0.23,1620
Democratic,8/8/2020 12:00:00 AM,$0.76,$0.80,$0.76,$0.78,1614
Republican,8/9/2020 12:00:00 AM,$0.23,$0.26,$0.22,$0.26,2848
Democratic,8/9/2020 12:00:00 AM,$0.78,$0.79,$0.77,$0.77,901
Republican,8/10/2020 12:00:00 AM,$0.26,$0.26,$0.24,$0.24,4445
Democratic,8/10/2020 12:00:00 AM,$0.77,$0.79,$0.76,$0.77,2255
Republican,8/11/2020 12:00:00 AM,$0.24,$0.30,$0.23,$0.27,14637
Democratic,8/11/2020 12:00:00 AM,$0.77,$0.78,$0.75,$0.78,14291
Republican,8/12/2020 12:00:00 AM,$0.27,$0.27,$0.24,$0.25,5700
Democratic,8/12/2020 12:00:00 AM,$0.78,$0.78,$0.76,$0.77,7281
Republican,8/13/2020 12:00:00 AM,$0.25,$0.27,$0.25,$0.25,2385
Democratic,8/13/2020 12:00:00 AM,$0.77,$0.78,$0.76,$0.76,4359
Republican,8/14/2020 12:00:00 AM,$0.25,$0.28,$0.25,$0.28,3931
Democratic,8/14/2020 12:00:00 AM,$0.76,$0.77,$0.76,$0.77,794
Republican,8/15/2020 12:00:00 AM,$0.28,$0.28,$0.26,$0.28,4641
Democratic,8/15/2020 12:00:00 AM,$0.77,$0.77,$0.76,$0.76,117
Republican,8/16/2020 12:00:00 AM,$0.28,$0.28,$0.27,$0.28,1902
Democratic,8/16/2020 12:00:00 AM,$0.76,$0.77,$0.75,$0.75,3466
Republican,8/17/2020 12:00:00 AM,$0.28,$0.31,$0.26,$0.30,13325
Democratic,8/17/2020 12:00:00 AM,$0.75,$0.76,$0.73,$0.74,2493
Republican,8/18/2020 12:00:00 AM,$0.30,$0.31,$0.28,$0.28,8414
Democratic,8/18/2020 12:00:00 AM,$0.74,$0.75,$0.72,$0.74,5572
Republican,8/19/2020 12:00:00 AM,$0.28,$0.30,$0.25,$0.27,10539
Democratic,8/19/2020 12:00:00 AM,$0.74,$0.76,$0.72,$0.75,7951
Republican,8/20/2020 12:00:00 AM,$0.27,$0.31,$0.26,$0.28,25141
Democratic,8/20/2020 12:00:00 AM,$0.75,$0.75,$0.71,$0.73,26072
Republican,8/21/2020 12:00:00 AM,$0.28,$0.29,$0.27,$0.28,7468
Democratic,8/21/2020 12:00:00 AM,$0.73,$0.74,$0.73,$0.73,5223
Republican,8/22/2020 12:00:00 AM,$0.28,$0.29,$0.27,$0.28,6101
Democratic,8/22/2020 12:00:00 AM,$0.73,$0.75,$0.73,$0.74,4980
Republican,8/23/2020 12:00:00 AM,$0.28,$0.29,$0.27,$0.29,5099
Democratic,8/23/2020 12:00:00 AM,$0.74,$0.74,$0.72,$0.73,5045
Republican,8/24/2020 12:00:00 AM,$0.29,$0.31,$0.27,$0.30,20231
Democratic,8/24/2020 12:00:00 AM,$0.73,$0.73,$0.71,$0.72,14466
Republican,8/25/2020 12:00:00 AM,$0.30,$0.31,$0.29,$0.30,6215
Democratic,8/25/2020 12:00:00 AM,$0.72,$0.72,$0.71,$0.71,5842
Republican,8/26/2020 12:00:00 AM,$0.30,$0.32,$0.30,$0.32,14180
Democratic,8/26/2020 12:00:00 AM,$0.71,$0.71,$0.68,$0.69,11449
Republican,8/27/2020 12:00:00 AM,$0.32,$0.34,$0.31,$0.34,16336
Democratic,8/27/2020 12:00:00 AM,$0.69,$0.70,$0.67,$0.67,7985
Republican,8/28/2020 12:00:00 AM,$0.34,$0.36,$0.32,$0.34,28621
Democratic,8/28/2020 12:00:00 AM,$0.67,$0.69,$0.66,$0.66,18664
Republican,8/29/2020 12:00:00 AM,$0.34,$0.37,$0.34,$0.37,12704
Democratic,8/29/2020 12:00:00 AM,$0.66,$0.67,$0.64,$0.64,10865
Republican,8/30/2020 12:00:00 AM,$0.37,$0.38,$0.35,$0.38,16698
Democratic,8/30/2020 12:00:00 AM,$0.64,$0.66,$0.64,$0.66,10107
Republican,8/31/2020 12:00:00 AM,$0.38,$0.38,$0.36,$0.36,13195
Democratic,8/31/2020 12:00:00 AM,$0.66,$0.67,$0.64,$0.66,8499
Republican,9/1/2020 12:00:00 AM,$0.36,$0.40,$0.35,$0.37,24047
Democratic,9/1/2020 12:00:00 AM,$0.66,$0.68,$0.65,$0.65,10317
Republican,9/2/2020 12:00:00 AM,$0.37,$0.39,$0.34,$0.35,15618
Democratic,9/2/2020 12:00:00 AM,$0.65,$0.67,$0.63,$0.67,17246
Republican,9/3/2020 12:00:00 AM,$0.35,$0.35,$0.33,$0.34,11756
Democratic,9/3/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.67,8722
Republican,9/4/2020 12:00:00 AM,$0.34,$0.36,$0.32,$0.34,6429
Democratic,9/4/2020 12:00:00 AM,$0.67,$0.70,$0.66,$0.70,8783
Republican,9/5/2020 12:00:00 AM,$0.34,$0.34,$0.32,$0.33,3220
Democratic,9/5/2020 12:00:00 AM,$0.70,$0.70,$0.67,$0.68,2554
Republican,9/6/2020 12:00:00 AM,$0.33,$0.34,$0.32,$0.32,5301
Democratic,9/6/2020 12:00:00 AM,$0.68,$0.70,$0.67,$0.69,6566
Republican,9/7/2020 12:00:00 AM,$0.32,$0.33,$0.32,$0.33,996
Democratic,9/7/2020 12:00:00 AM,$0.69,$0.71,$0.68,$0.69,4655
Republican,9/8/2020 12:00:00 AM,$0.33,$0.33,$0.32,$0.33,8827
Democratic,9/8/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.69,5189
Republican,9/9/2020 12:00:00 AM,$0.33,$0.33,$0.31,$0.32,8452
Democratic,9/9/2020 12:00:00 AM,$0.69,$0.73,$0.68,$0.72,12638
Republican,9/10/2020 12:00:00 AM,$0.32,$0.32,$0.31,$0.31,6125
Democratic,9/10/2020 12:00:00 AM,$0.72,$0.73,$0.71,$0.72,11099
Republican,9/11/2020 12:00:00 AM,$0.31,$0.32,$0.30,$0.31,3435
Democratic,9/11/2020 12:00:00 AM,$0.72,$0.73,$0.71,$0.72,7137
Republican,9/12/2020 12:00:00 AM,$0.31,$0.32,$0.30,$0.30,14749
Democratic,9/12/2020 12:00:00 AM,$0.72,$0.73,$0.70,$0.72,7300
Republican,9/13/2020 12:00:00 AM,$0.30,$0.31,$0.28,$0.28,14256
Democratic,9/13/2020 12:00:00 AM,$0.72,$0.73,$0.71,$0.73,6184
Republican,9/14/2020 12:00:00 AM,$0.28,$0.29,$0.28,$0.29,6437
Democratic,9/14/2020 12:00:00 AM,$0.73,$0.74,$0.72,$0.73,6259
Republican,9/15/2020 12:00:00 AM,$0.29,$0.30,$0.26,$0.26,18490
Democratic,9/15/2020 12:00:00 AM,$0.73,$0.76,$0.72,$0.76,19142
Republican,9/16/2020 12:00:00 AM,$0.26,$0.27,$0.23,$0.27,37984
Democratic,9/16/2020 12:00:00 AM,$0.76,$0.79,$0.75,$0.77,35576
Republican,9/17/2020 12:00:00 AM,$0.27,$0.27,$0.25,$0.26,8658
Democratic,9/17/2020 12:00:00 AM,$0.77,$0.77,$0.75,$0.75,8968
Republican,9/18/2020 12:00:00 AM,$0.26,$0.29,$0.25,$0.28,11309
Democratic,9/18/2020 12:00:00 AM,$0.75,$0.77,$0.75,$0.75,3142
Republican,9/19/2020 12:00:00 AM,$0.28,$0.31,$0.27,$0.28,11177
Democratic,9/19/2020 12:00:00 AM,$0.75,$0.76,$0.74,$0.75,15571
Republican,9/20/2020 12:00:00 AM,$0.28,$0.29,$0.26,$0.26,11271
Democratic,9/20/2020 12:00:00 AM,$0.75,$0.76,$0.73,$0.74,12699
Republican,9/21/2020 12:00:00 AM,$0.26,$0.27,$0.25,$0.26,11055
Democratic,9/21/2020 12:00:00 AM,$0.74,$0.77,$0.74,$0.76,6815
Republican,9/22/2020 12:00:00 AM,$0.26,$0.27,$0.25,$0.26,10074
Democratic,9/22/2020 12:00:00 AM,$0.76,$0.77,$0.75,$0.76,6727
Republican,9/23/2020 12:00:00 AM,$0.26,$0.28,$0.26,$0.28,10293
Democratic,9/23/2020 12:00:00 AM,$0.76,$0.77,$0.74,$0.75,8585
Republican,9/24/2020 12:00:00 AM,$0.28,$0.28,$0.26,$0.27,13409
Democratic,9/24/2020 12:00:00 AM,$0.75,$0.76,$0.74,$0.76,9743
Republican,9/25/2020 12:00:00 AM,$0.27,$0.28,$0.25,$0.27,10735
Democratic,9/25/2020 12:00:00 AM,$0.76,$0.77,$0.74,$0.77,12590
Republican,9/26/2020 12:00:00 AM,$0.27,$0.28,$0.26,$0.27,9752
Democratic,9/26/2020 12:00:00 AM,$0.77,$0.77,$0.75,$0.75,5531
Republican,9/27/2020 12:00:00 AM,$0.27,$0.29,$0.26,$0.27,16762
Democratic,9/27/2020 12:00:00 AM,$0.75,$0.76,$0.73,$0.75,9161
Republican,9/28/2020 12:00:00 AM,$0.27,$0.28,$0.27,$0.27,13623
Democratic,9/28/2020 12:00:00 AM,$0.75,$0.75,$0.73,$0.73,12371
Republican,9/29/2020 12:00:00 AM,$0.27,$0.30,$0.27,$0.27,27796
Democratic,9/29/2020 12:00:00 AM,$0.73,$0.75,$0.73,$0.74,19923
Republican,9/30/2020 12:00:00 AM,$0.27,$0.27,$0.23,$0.24,25139
Democratic,9/30/2020 12:00:00 AM,$0.74,$0.78,$0.74,$0.76,16955
Republican,10/1/2020 12:00:00 AM,$0.24,$0.25,$0.21,$0.21,31143
Democratic,10/1/2020 12:00:00 AM,$0.76,$0.81,$0.76,$0.80,33305
Republican,10/2/2020 12:00:00 AM,$0.21,$0.26,$0.19,$0.23,42704
Democratic,10/2/2020 12:00:00 AM,$0.80,$0.84,$0.78,$0.80,42882
Republican,10/3/2020 12:00:00 AM,$0.23,$0.25,$0.22,$0.24,9834
Democratic,10/3/2020 12:00:00 AM,$0.80,$0.80,$0.77,$0.78,13239
Republican,10/4/2020 12:00:00 AM,$0.24,$0.25,$0.23,$0.25,14850
Democratic,10/4/2020 12:00:00 AM,$0.78,$0.80,$0.76,$0.79,8627
Republican,10/5/2020 12:00:00 AM,$0.25,$0.25,$0.22,$0.24,13653
Democratic,10/5/2020 12:00:00 AM,$0.79,$0.79,$0.77,$0.78,8494
Republican,10/6/2020 12:00:00 AM,$0.24,$0.25,$0.21,$0.23,22897
Democratic,10/6/2020 12:00:00 AM,$0.78,$0.80,$0.78,$0.79,16359
Republican,10/7/2020 12:00:00 AM,$0.23,$0.24,$0.20,$0.21,23674
Democratic,10/7/2020 12:00:00 AM,$0.79,$0.82,$0.79,$0.82,22541
Republican,10/8/2020 12:00:00 AM,$0.21,$0.23,$0.21,$0.22,26302
Democratic,10/8/2020 12:00:00 AM,$0.82,$0.82,$0.79,$0.80,25489
Republican,10/9/2020 12:00:00 AM,$0.22,$0.23,$0.21,$0.23,20477
Democratic,10/9/2020 12:00:00 AM,$0.80,$0.81,$0.79,$0.80,11590
Republican,10/10/2020 12:00:00 AM,$0.23,$0.26,$0.22,$0.25,48969
Democratic,10/10/2020 12:00:00 AM,$0.80,$0.80,$0.77,$0.78,24170
Republican,10/11/2020 12:00:00 AM,$0.25,$0.26,$0.22,$0.23,37191
Democratic,10/11/2020 12:00:00 AM,$0.78,$0.80,$0.77,$0.79,21158
Republican,10/12/2020 12:00:00 AM,$0.23,$0.24,$0.21,$0.24,41751
Democratic,10/12/2020 12:00:00 AM,$0.79,$0.81,$0.78,$0.79,24704
Republican,10/13/2020 12:00:00 AM,$0.24,$0.25,$0.23,$0.23,22627
Democratic,10/13/2020 12:00:00 AM,$0.79,$0.79,$0.77,$0.78,22493
Republican,10/14/2020 12:00:00 AM,$0.23,$0.25,$0.23,$0.24,27303
Democratic,10/14/2020 12:00:00 AM,$0.78,$0.79,$0.77,$0.77,17473
Republican,10/15/2020 12:00:00 AM,$0.24,$0.27,$0.24,$0.24,31625
Democratic,10/15/2020 12:00:00 AM,$0.77,$0.78,$0.75,$0.78,25699
Republican,10/16/2020 12:00:00 AM,$0.24,$0.25,$0.23,$0.25,39230
Democratic,10/16/2020 12:00:00 AM,$0.78,$0.79,$0.76,$0.77,30729
Republican,10/17/2020 12:00:00 AM,$0.25,$0.27,$0.24,$0.27,49058
Democratic,10/17/2020 12:00:00 AM,$0.77,$0.78,$0.76,$0.77,23434
Republican,10/18/2020 12:00:00 AM,$0.27,$0.29,$0.26,$0.27,54824
Democratic,10/18/2020 12:00:00 AM,$0.77,$0.77,$0.74,$0.75,49840
