ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.87,135
Democratic,8/3/2020 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,1
Republican,8/4/2020 12:00:00 AM,$0.87,$0.87,$0.87,$0.87,442
Democratic,8/4/2020 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,1388
Republican,8/5/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.87,1318
Democratic,8/5/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,4262
Republican,8/6/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.86,10
Democratic,8/6/2020 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,3
Republican,8/7/2020 12:00:00 AM,$0.86,$0.89,$0.86,$0.89,1019
Democratic,8/7/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,632
Republican,8/8/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,17
Democratic,8/8/2020 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,604
Republican,8/9/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,1
Democratic,8/9/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.14,905
Republican,8/10/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,657
Democratic,8/10/2020 12:00:00 AM,$0.14,$0.14,$0.12,$0.12,119
Republican,8/11/2020 12:00:00 AM,$0.89,$0.89,$0.87,$0.88,805
Democratic,8/11/2020 12:00:00 AM,$0.12,$0.14,$0.12,$0.13,56
Republican,8/12/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,38
Democratic,8/12/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,9
Republican,8/13/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,65
Democratic,8/13/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,553
Republican,8/14/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,122
Democratic,8/14/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,796
Republican,8/15/2020 12:00:00 AM,$0.88,$0.88,$0.87,$0.88,537
Democratic,8/15/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,17
Republican,8/16/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,1166
Democratic,8/16/2020 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,657
Republican,8/17/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,1345
Democratic,8/17/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.13,213
Republican,8/18/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,1961
Democratic,8/18/2020 12:00:00 AM,$0.13,$0.13,$0.11,$0.12,1638
Republican,8/19/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,706
Democratic,8/19/2020 12:00:00 AM,$0.12,$0.12,$0.11,$0.11,236
Republican,8/20/2020 12:00:00 AM,$0.89,$0.90,$0.89,$0.90,928
Democratic,8/20/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,1411
Republican,8/21/2020 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,1768
Democratic,8/21/2020 12:00:00 AM,$0.10,$0.11,$0.10,$0.11,36
