ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/3/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/4/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,1
Democratic,8/4/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,2
Republican,8/5/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,50
Democratic,8/5/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,501
Republican,8/6/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,915
Democratic,8/6/2020 12:00:00 AM,$0.09,$0.10,$0.07,$0.07,930
Republican,8/7/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/7/2020 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,2
Republican,8/8/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,2
Democratic,8/8/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,90
Republican,8/9/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,627
Democratic,8/9/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,934
Republican,8/10/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,100
Democratic,8/10/2020 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,52
Republican,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,39
Democratic,8/11/2020 12:00:00 AM,$0.09,$0.09,$0.07,$0.07,745
Republican,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.93,27
Democratic,8/12/2020 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,306
Republican,8/13/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,214
Democratic,8/13/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,1458
Republican,8/14/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,19
Democratic,8/14/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/15/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/15/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/16/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/16/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,1
Republican,8/17/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,38
Democratic,8/17/2020 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,499
Republican,8/18/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,40
Democratic,8/18/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,431
Republican,8/19/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,228
Democratic,8/19/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,609
Republican,8/20/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,9
Democratic,8/20/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.06,858
Republican,8/21/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,239
Democratic,8/21/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,99
Republican,8/22/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,1753
Democratic,8/22/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,173
Republican,8/23/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,5
Democratic,8/23/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,102
Republican,8/24/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,1494
Democratic,8/24/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,1467
Republican,8/25/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,5
Democratic,8/25/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,600
Republican,8/26/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,74
Democratic,8/26/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/27/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,200
Democratic,8/27/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Republican,8/28/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,1629
Democratic,8/28/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,331
Republican,8/29/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,28
Democratic,8/29/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,25
Republican,8/30/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1
Democratic,8/30/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/31/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,2
Democratic,8/31/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,110
Republican,9/1/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,50
Democratic,9/1/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,9/2/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,100
Democratic,9/2/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,202
Republican,9/3/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,25
Democratic,9/3/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,9/4/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,52
Democratic,9/4/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,75
Republican,9/5/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,3527
