ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.88,968
Democratic,8/3/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,2653
Republican,8/4/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Democratic,8/4/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,1074
Republican,8/5/2020 12:00:00 AM,$0.88,$0.88,$0.87,$0.87,52
Democratic,8/5/2020 12:00:00 AM,$0.14,$0.15,$0.13,$0.15,1729
Republican,8/6/2020 12:00:00 AM,$0.87,$0.89,$0.87,$0.89,11
Democratic,8/6/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,17
Republican,8/7/2020 12:00:00 AM,$0.89,$0.89,$0.86,$0.87,65
Democratic,8/7/2020 12:00:00 AM,$0.14,$0.15,$0.13,$0.13,357
Republican,8/8/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.87,126
Democratic,8/8/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,402
Republican,8/9/2020 12:00:00 AM,$0.87,$0.89,$0.87,$0.89,1004
Democratic,8/9/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.15,1000
Republican,8/10/2020 12:00:00 AM,$0.89,$0.89,$0.87,$0.89,752
Democratic,8/10/2020 12:00:00 AM,$0.15,$0.15,$0.12,$0.12,17
Republican,8/11/2020 12:00:00 AM,$0.89,$0.90,$0.89,$0.90,50
Democratic,8/11/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.13,380
Republican,8/12/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.89,217
Democratic,8/12/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.13,55
Republican,8/13/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,31
Democratic,8/13/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.13,118
Republican,8/14/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,128
Democratic,8/14/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.14,186
Republican,8/15/2020 12:00:00 AM,$0.89,$0.90,$0.89,$0.90,1503
Democratic,8/15/2020 12:00:00 AM,$0.14,$0.14,$0.12,$0.12,235
Republican,8/16/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.88,2
Democratic,8/16/2020 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,25
Republican,8/17/2020 12:00:00 AM,$0.88,$0.90,$0.87,$0.90,2207
Democratic,8/17/2020 12:00:00 AM,$0.12,$0.14,$0.12,$0.13,442
Republican,8/18/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.89,52
Democratic,8/18/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.13,523
Republican,8/19/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.89,3791
Democratic,8/19/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.12,1280
Republican,8/20/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.89,3830
Democratic,8/20/2020 12:00:00 AM,$0.12,$0.13,$0.11,$0.11,3838
Republican,8/21/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.89,3946
