ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.45,$0.45,$0.44,$0.45,373
Democratic,8/3/2020 12:00:00 AM,$0.56,$0.58,$0.56,$0.57,544
Republican,8/4/2020 12:00:00 AM,$0.45,$0.46,$0.45,$0.46,793
Democratic,8/4/2020 12:00:00 AM,$0.57,$0.58,$0.57,$0.57,332
Republican,8/5/2020 12:00:00 AM,$0.46,$0.46,$0.45,$0.45,1575
Democratic,8/5/2020 12:00:00 AM,$0.57,$0.59,$0.57,$0.57,3942
Republican,8/6/2020 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,2989
Democratic,8/6/2020 12:00:00 AM,$0.57,$0.58,$0.55,$0.55,3369
Republican,8/7/2020 12:00:00 AM,$0.45,$0.48,$0.45,$0.48,4730
Democratic,8/7/2020 12:00:00 AM,$0.55,$0.56,$0.53,$0.53,4520
Republican,8/8/2020 12:00:00 AM,$0.48,$0.50,$0.46,$0.48,4391
Democratic,8/8/2020 12:00:00 AM,$0.53,$0.54,$0.51,$0.52,5750
Republican,8/9/2020 12:00:00 AM,$0.48,$0.51,$0.48,$0.51,4442
Democratic,8/9/2020 12:00:00 AM,$0.52,$0.53,$0.50,$0.50,2142
Republican,8/10/2020 12:00:00 AM,$0.51,$0.51,$0.47,$0.50,8463
Democratic,8/10/2020 12:00:00 AM,$0.50,$0.54,$0.50,$0.52,7911
Republican,8/11/2020 12:00:00 AM,$0.50,$0.50,$0.45,$0.48,14458
Democratic,8/11/2020 12:00:00 AM,$0.52,$0.56,$0.52,$0.55,7262
Republican,8/12/2020 12:00:00 AM,$0.48,$0.49,$0.46,$0.49,5647
Democratic,8/12/2020 12:00:00 AM,$0.55,$0.55,$0.52,$0.52,9824
Republican,8/13/2020 12:00:00 AM,$0.49,$0.50,$0.48,$0.48,2026
Democratic,8/13/2020 12:00:00 AM,$0.52,$0.53,$0.50,$0.51,6015
Republican,8/14/2020 12:00:00 AM,$0.48,$0.50,$0.48,$0.49,1455
Democratic,8/14/2020 12:00:00 AM,$0.51,$0.53,$0.51,$0.53,3509
Republican,8/15/2020 12:00:00 AM,$0.49,$0.51,$0.48,$0.51,2398
Democratic,8/15/2020 12:00:00 AM,$0.53,$0.53,$0.50,$0.50,5641
Republican,8/16/2020 12:00:00 AM,$0.51,$0.52,$0.50,$0.52,6793
Democratic,8/16/2020 12:00:00 AM,$0.50,$0.51,$0.49,$0.51,4906
Republican,8/17/2020 12:00:00 AM,$0.52,$0.54,$0.50,$0.52,8125
Democratic,8/17/2020 12:00:00 AM,$0.51,$0.51,$0.48,$0.48,5131
Republican,8/18/2020 12:00:00 AM,$0.52,$0.54,$0.51,$0.52,6088
Democratic,8/18/2020 12:00:00 AM,$0.48,$0.50,$0.47,$0.49,4172
Republican,8/19/2020 12:00:00 AM,$0.52,$0.54,$0.51,$0.52,4830
Democratic,8/19/2020 12:00:00 AM,$0.49,$0.50,$0.48,$0.50,4583
Republican,8/20/2020 12:00:00 AM,$0.52,$0.54,$0.51,$0.51,13952
Democratic,8/20/2020 12:00:00 AM,$0.50,$0.50,$0.47,$0.50,14701
Republican,8/21/2020 12:00:00 AM,$0.51,$0.53,$0.50,$0.53,2849
Democratic,8/21/2020 12:00:00 AM,$0.50,$0.51,$0.48,$0.48,6936
Republican,8/22/2020 12:00:00 AM,$0.53,$0.53,$0.52,$0.53,2927
Democratic,8/22/2020 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,2242
Republican,8/23/2020 12:00:00 AM,$0.53,$0.53,$0.52,$0.52,2030
Democratic,8/23/2020 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,4285
Republican,8/24/2020 12:00:00 AM,$0.52,$0.55,$0.52,$0.54,13834
Democratic,8/24/2020 12:00:00 AM,$0.49,$0.49,$0.46,$0.47,7611
Republican,8/25/2020 12:00:00 AM,$0.54,$0.58,$0.54,$0.56,14073
Democratic,8/25/2020 12:00:00 AM,$0.47,$0.48,$0.46,$0.47,4008
Republican,8/26/2020 12:00:00 AM,$0.56,$0.56,$0.54,$0.56,4888
Democratic,8/26/2020 12:00:00 AM,$0.47,$0.47,$0.45,$0.45,9611
Republican,8/27/2020 12:00:00 AM,$0.56,$0.57,$0.55,$0.57,8161
Democratic,8/27/2020 12:00:00 AM,$0.45,$0.46,$0.44,$0.46,7326
Republican,8/28/2020 12:00:00 AM,$0.57,$0.59,$0.56,$0.58,19886
Democratic,8/28/2020 12:00:00 AM,$0.46,$0.46,$0.42,$0.44,12638
Republican,8/29/2020 12:00:00 AM,$0.58,$0.58,$0.57,$0.58,4249
Democratic,8/29/2020 12:00:00 AM,$0.44,$0.45,$0.42,$0.42,4969
Republican,8/30/2020 12:00:00 AM,$0.58,$0.60,$0.57,$0.58,10384
Democratic,8/30/2020 12:00:00 AM,$0.42,$0.43,$0.41,$0.43,4509
Republican,8/31/2020 12:00:00 AM,$0.58,$0.59,$0.56,$0.56,3767
Democratic,8/31/2020 12:00:00 AM,$0.43,$0.45,$0.42,$0.45,2750
Republican,9/1/2020 12:00:00 AM,$0.56,$0.58,$0.55,$0.58,7615
Democratic,9/1/2020 12:00:00 AM,$0.45,$0.45,$0.43,$0.44,7384
Republican,9/2/2020 12:00:00 AM,$0.58,$0.59,$0.51,$0.52,22098
Democratic,9/2/2020 12:00:00 AM,$0.44,$0.50,$0.42,$0.49,17415
Republican,9/3/2020 12:00:00 AM,$0.52,$0.54,$0.51,$0.54,11449
Democratic,9/3/2020 12:00:00 AM,$0.49,$0.51,$0.48,$0.49,7003
Republican,9/4/2020 12:00:00 AM,$0.54,$0.54,$0.52,$0.53,8430
Democratic,9/4/2020 12:00:00 AM,$0.49,$0.50,$0.47,$0.48,5190
Republican,9/5/2020 12:00:00 AM,$0.53,$0.53,$0.52,$0.52,3154
Democratic,9/5/2020 12:00:00 AM,$0.48,$0.49,$0.48,$0.48,682
Republican,9/6/2020 12:00:00 AM,$0.52,$0.53,$0.51,$0.53,6235
Democratic,9/6/2020 12:00:00 AM,$0.48,$0.50,$0.48,$0.50,3577
Republican,9/7/2020 12:00:00 AM,$0.53,$0.53,$0.51,$0.51,5670
Democratic,9/7/2020 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,3709
Republican,9/8/2020 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,2843
Democratic,9/8/2020 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,4932
Republican,9/9/2020 12:00:00 AM,$0.52,$0.52,$0.51,$0.52,3427
Democratic,9/9/2020 12:00:00 AM,$0.50,$0.50,$0.49,$0.49,6100
Republican,9/10/2020 12:00:00 AM,$0.52,$0.52,$0.51,$0.51,3586
Democratic,9/10/2020 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,1017
Republican,9/11/2020 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,2613
Democratic,9/11/2020 12:00:00 AM,$0.49,$0.50,$0.48,$0.49,4219
Republican,9/12/2020 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,3784
Democratic,9/12/2020 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,2835
Republican,9/13/2020 12:00:00 AM,$0.52,$0.54,$0.51,$0.52,2050
Democratic,9/13/2020 12:00:00 AM,$0.49,$0.49,$0.47,$0.49,1589
Republican,9/14/2020 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,7176
Democratic,9/14/2020 12:00:00 AM,$0.49,$0.50,$0.48,$0.48,5222
Republican,9/15/2020 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,6030
Democratic,9/15/2020 12:00:00 AM,$0.48,$0.50,$0.48,$0.50,3059
Republican,9/16/2020 12:00:00 AM,$0.52,$0.54,$0.51,$0.54,9959
Democratic,9/16/2020 12:00:00 AM,$0.50,$0.50,$0.48,$0.49,3911
Republican,9/17/2020 12:00:00 AM,$0.54,$0.54,$0.51,$0.52,10347
Democratic,9/17/2020 12:00:00 AM,$0.49,$0.50,$0.48,$0.49,7372
Republican,9/18/2020 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,5949
Democratic,9/18/2020 12:00:00 AM,$0.49,$0.51,$0.49,$0.50,4449
Republican,9/19/2020 12:00:00 AM,$0.52,$0.55,$0.52,$0.53,10242
Democratic,9/19/2020 12:00:00 AM,$0.50,$0.50,$0.48,$0.48,6665
Republican,9/20/2020 12:00:00 AM,$0.53,$0.56,$0.52,$0.52,8176
Democratic,9/20/2020 12:00:00 AM,$0.48,$0.49,$0.47,$0.48,6268
Republican,9/21/2020 12:00:00 AM,$0.52,$0.54,$0.52,$0.54,6564
Democratic,9/21/2020 12:00:00 AM,$0.48,$0.49,$0.47,$0.48,3785
Republican,9/22/2020 12:00:00 AM,$0.54,$0.54,$0.52,$0.53,11112
Democratic,9/22/2020 12:00:00 AM,$0.48,$0.49,$0.47,$0.48,7226
Republican,9/23/2020 12:00:00 AM,$0.53,$0.55,$0.53,$0.54,9131
Democratic,9/23/2020 12:00:00 AM,$0.48,$0.49,$0.47,$0.47,8344
Republican,9/24/2020 12:00:00 AM,$0.54,$0.56,$0.53,$0.53,9515
Democratic,9/24/2020 12:00:00 AM,$0.47,$0.49,$0.46,$0.48,8480
Republican,9/25/2020 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,5075
Democratic,9/25/2020 12:00:00 AM,$0.48,$0.49,$0.47,$0.47,6889
Republican,9/26/2020 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,2767
Democratic,9/26/2020 12:00:00 AM,$0.47,$0.49,$0.47,$0.48,1755
Republican,9/27/2020 12:00:00 AM,$0.53,$0.54,$0.52,$0.52,4911
Democratic,9/27/2020 12:00:00 AM,$0.48,$0.49,$0.46,$0.48,4687
Republican,9/28/2020 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,6425
Democratic,9/28/2020 12:00:00 AM,$0.48,$0.50,$0.48,$0.50,4464
Republican,9/29/2020 12:00:00 AM,$0.52,$0.52,$0.51,$0.51,12848
Democratic,9/29/2020 12:00:00 AM,$0.50,$0.51,$0.48,$0.51,9879
Republican,9/30/2020 12:00:00 AM,$0.51,$0.52,$0.49,$0.49,19869
Democratic,9/30/2020 12:00:00 AM,$0.51,$0.53,$0.51,$0.52,13167
Republican,10/1/2020 12:00:00 AM,$0.49,$0.50,$0.46,$0.46,15357
Democratic,10/1/2020 12:00:00 AM,$0.52,$0.55,$0.51,$0.55,12909
Republican,10/2/2020 12:00:00 AM,$0.46,$0.49,$0.43,$0.47,39986
Democratic,10/2/2020 12:00:00 AM,$0.55,$0.65,$0.52,$0.55,39859
Republican,10/3/2020 12:00:00 AM,$0.47,$0.48,$0.45,$0.48,11780
Democratic,10/3/2020 12:00:00 AM,$0.55,$0.56,$0.53,$0.53,6700
Republican,10/4/2020 12:00:00 AM,$0.48,$0.49,$0.47,$0.49,3416
Democratic,10/4/2020 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,6001
Republican,10/5/2020 12:00:00 AM,$0.49,$0.50,$0.48,$0.48,17222
Democratic,10/5/2020 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,9164
Republican,10/6/2020 12:00:00 AM,$0.48,$0.51,$0.47,$0.48,20637
Democratic,10/6/2020 12:00:00 AM,$0.53,$0.54,$0.50,$0.53,20760
Republican,10/7/2020 12:00:00 AM,$0.48,$0.51,$0.46,$0.47,22822
Democratic,10/7/2020 12:00:00 AM,$0.53,$0.56,$0.52,$0.54,12429
Republican,10/8/2020 12:00:00 AM,$0.47,$0.49,$0.46,$0.46,15429
Democratic,10/8/2020 12:00:00 AM,$0.54,$0.55,$0.53,$0.55,13226
Republican,10/9/2020 12:00:00 AM,$0.46,$0.48,$0.46,$0.48,17290
Democratic,10/9/2020 12:00:00 AM,$0.55,$0.57,$0.54,$0.56,11580
Republican,10/10/2020 12:00:00 AM,$0.48,$0.50,$0.46,$0.50,26539
Democratic,10/10/2020 12:00:00 AM,$0.56,$0.56,$0.52,$0.52,21683
Republican,10/11/2020 12:00:00 AM,$0.50,$0.50,$0.45,$0.47,18210
Democratic,10/11/2020 12:00:00 AM,$0.52,$0.56,$0.52,$0.55,13442
Republican,10/12/2020 12:00:00 AM,$0.47,$0.47,$0.44,$0.47,25231
Democratic,10/12/2020 12:00:00 AM,$0.55,$0.57,$0.54,$0.55,17730
Republican,10/13/2020 12:00:00 AM,$0.47,$0.48,$0.45,$0.47,20085
Democratic,10/13/2020 12:00:00 AM,$0.55,$0.57,$0.53,$0.55,17354
Republican,10/14/2020 12:00:00 AM,$0.47,$0.47,$0.43,$0.46,22461
Democratic,10/14/2020 12:00:00 AM,$0.55,$0.57,$0.54,$0.57,19321
Republican,10/15/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,26504
Democratic,10/15/2020 12:00:00 AM,$0.57,$0.57,$0.55,$0.57,19272
Republican,10/16/2020 12:00:00 AM,$0.46,$0.47,$0.44,$0.45,16674
Democratic,10/16/2020 12:00:00 AM,$0.57,$0.57,$0.55,$0.56,16262
Republican,10/17/2020 12:00:00 AM,$0.45,$0.46,$0.44,$0.46,13966
Democratic,10/17/2020 12:00:00 AM,$0.56,$0.57,$0.56,$0.56,7724
Republican,10/18/2020 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,19486
Democratic,10/18/2020 12:00:00 AM,$0.56,$0.57,$0.55,$0.56,17759
Republican,10/19/2020 12:00:00 AM,$0.46,$0.53,$0.45,$0.50,79144
Democratic,10/19/2020 12:00:00 AM,$0.56,$0.57,$0.50,$0.51,54980
Republican,10/20/2020 12:00:00 AM,$0.50,$0.51,$0.48,$0.49,57215
Democratic,10/20/2020 12:00:00 AM,$0.51,$0.54,$0.50,$0.51,58639
Republican,10/21/2020 12:00:00 AM,$0.49,$0.51,$0.46,$0.49,43499
Democratic,10/21/2020 12:00:00 AM,$0.51,$0.55,$0.50,$0.54,32114
Republican,10/22/2020 12:00:00 AM,$0.49,$0.54,$0.48,$0.52,77660
Democratic,10/22/2020 12:00:00 AM,$0.54,$0.55,$0.50,$0.51,48729
Republican,10/23/2020 12:00:00 AM,$0.52,$0.53,$0.49,$0.50,56199
Democratic,10/23/2020 12:00:00 AM,$0.51,$0.53,$0.51,$0.53,46458
Republican,10/24/2020 12:00:00 AM,$0.50,$0.54,$0.49,$0.53,50823
Democratic,10/24/2020 12:00:00 AM,$0.53,$0.53,$0.47,$0.49,57672
Republican,10/25/2020 12:00:00 AM,$0.53,$0.53,$0.50,$0.51,51233
Democratic,10/25/2020 12:00:00 AM,$0.49,$0.54,$0.47,$0.53,51108
Republican,10/26/2020 12:00:00 AM,$0.51,$0.53,$0.50,$0.53,73493
Democratic,10/26/2020 12:00:00 AM,$0.53,$0.54,$0.48,$0.48,49862
Republican,10/27/2020 12:00:00 AM,$0.53,$0.57,$0.51,$0.56,91511
Democratic,10/27/2020 12:00:00 AM,$0.48,$0.51,$0.46,$0.46,63251
Republican,10/28/2020 12:00:00 AM,$0.56,$0.58,$0.51,$0.52,88981
Democratic,10/28/2020 12:00:00 AM,$0.46,$0.51,$0.45,$0.50,73146
Republican,10/29/2020 12:00:00 AM,$0.52,$0.52,$0.46,$0.49,92669
Democratic,10/29/2020 12:00:00 AM,$0.50,$0.57,$0.49,$0.54,98494
Republican,10/30/2020 12:00:00 AM,$0.49,$0.50,$0.45,$0.47,92092
Democratic,10/30/2020 12:00:00 AM,$0.54,$0.57,$0.52,$0.55,93533
Republican,10/31/2020 12:00:00 AM,$0.47,$0.56,$0.46,$0.53,112183
Democratic,10/31/2020 12:00:00 AM,$0.55,$0.56,$0.47,$0.50,81741
