ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Democratic,8/3/2020 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,2332
Republican,8/4/2020 12:00:00 AM,$0.91,$0.92,$0.91,$0.92,130
Democratic,8/4/2020 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,118
Republican,8/5/2020 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,10
Democratic,8/5/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.09,9
Republican,8/6/2020 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,6
Democratic,8/6/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Republican,8/7/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,587
Democratic,8/7/2020 12:00:00 AM,$0.09,$0.09,$0.07,$0.07,515
Republican,8/8/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,2
Democratic,8/8/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/9/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,614
Democratic,8/9/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,988
Republican,8/10/2020 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,0
Democratic,8/10/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,151
Republican,8/11/2020 12:00:00 AM,$0.92,$0.94,$0.92,$0.94,1
Democratic,8/11/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Republican,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,10
Democratic,8/12/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,1
Republican,8/13/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,35
Democratic,8/13/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,732
Republican,8/14/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,810
Democratic,8/14/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,879
Republican,8/15/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/15/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/16/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Democratic,8/16/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/17/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,212
Democratic,8/17/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,2
Republican,8/18/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/18/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,6
Republican,8/19/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/19/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/20/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Democratic,8/20/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,802
