ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.23,$0.24,$0.23,$0.24,442
Democratic,8/3/2020 12:00:00 AM,$0.77,$0.78,$0.76,$0.76,1140
Republican,8/4/2020 12:00:00 AM,$0.24,$0.25,$0.23,$0.25,4019
Democratic,8/4/2020 12:00:00 AM,$0.76,$0.78,$0.76,$0.76,1806
Republican,8/5/2020 12:00:00 AM,$0.25,$0.25,$0.24,$0.24,1331
Democratic,8/5/2020 12:00:00 AM,$0.76,$0.78,$0.76,$0.77,1636
Republican,8/6/2020 12:00:00 AM,$0.24,$0.25,$0.24,$0.25,885
Democratic,8/6/2020 12:00:00 AM,$0.77,$0.79,$0.76,$0.76,1062
Republican,8/7/2020 12:00:00 AM,$0.25,$0.27,$0.24,$0.26,1846
Democratic,8/7/2020 12:00:00 AM,$0.76,$0.78,$0.75,$0.75,1958
Republican,8/8/2020 12:00:00 AM,$0.26,$0.27,$0.25,$0.27,1239
Democratic,8/8/2020 12:00:00 AM,$0.75,$0.76,$0.75,$0.76,874
Republican,8/9/2020 12:00:00 AM,$0.27,$0.27,$0.25,$0.25,287
Democratic,8/9/2020 12:00:00 AM,$0.76,$0.76,$0.75,$0.75,168
Republican,8/10/2020 12:00:00 AM,$0.25,$0.27,$0.25,$0.26,371
Democratic,8/10/2020 12:00:00 AM,$0.75,$0.76,$0.74,$0.74,1560
Republican,8/11/2020 12:00:00 AM,$0.26,$0.28,$0.26,$0.27,6560
Democratic,8/11/2020 12:00:00 AM,$0.74,$0.76,$0.73,$0.76,3884
Republican,8/12/2020 12:00:00 AM,$0.27,$0.27,$0.25,$0.27,2186
Democratic,8/12/2020 12:00:00 AM,$0.76,$0.76,$0.74,$0.75,412
Republican,8/13/2020 12:00:00 AM,$0.27,$0.27,$0.25,$0.26,1185
Democratic,8/13/2020 12:00:00 AM,$0.75,$0.75,$0.74,$0.74,373
Republican,8/14/2020 12:00:00 AM,$0.26,$0.27,$0.26,$0.26,1493
Democratic,8/14/2020 12:00:00 AM,$0.74,$0.76,$0.74,$0.74,371
Republican,8/15/2020 12:00:00 AM,$0.26,$0.27,$0.26,$0.26,308
