ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,200
Democratic,8/3/2020 12:00:00 AM,$0.92,$0.94,$0.92,$0.93,3
Republican,8/4/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,913
Democratic,8/4/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,904
Republican,8/5/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,1
Democratic,8/5/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/6/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,672
Democratic,8/6/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,511
Republican,8/7/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,1
Democratic,8/7/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,64
Republican,8/8/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/8/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,2307
Republican,8/9/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,1083
Democratic,8/9/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,1053
Republican,8/10/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,1698
Democratic,8/10/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,847
Republican,8/11/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,1904
Democratic,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.94,145
Republican,8/12/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,663
Democratic,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.94,32
Republican,8/13/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,173
Democratic,8/13/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,25
Republican,8/14/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.06,1181
Democratic,8/14/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,239
Republican,8/15/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,8
Democratic,8/15/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,17
Republican,8/16/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,485
Democratic,8/16/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.93,626
Republican,8/17/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,674
Democratic,8/17/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.92,363
Republican,8/18/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,128
Democratic,8/18/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,26
Republican,8/19/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,1282
Democratic,8/19/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,2310
Republican,8/20/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,939
Democratic,8/20/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1823
Republican,8/21/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1657
Democratic,8/21/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,2398
Republican,8/22/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,17
Democratic,8/22/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1184
Republican,8/23/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,80
Democratic,8/23/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,13
Republican,8/24/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,4003
Democratic,8/24/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,2590
Republican,8/25/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1137
Democratic,8/25/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,744
Republican,8/26/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,1281
Democratic,8/26/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,160
Republican,8/27/2020 12:00:00 AM,$0.06,$0.08,$0.06,$0.08,892
Democratic,8/27/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,260
Republican,8/28/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,6333
Democratic,8/28/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.93,9246
Republican,8/29/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,3551
Democratic,8/29/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,4046
Republican,8/30/2020 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,1454
Democratic,8/30/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,28
