ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.14,$0.15,$0.12,$0.12,1219
Democratic,8/3/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,324
Republican,8/4/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,102
Democratic,8/4/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,119
Republican,8/5/2020 12:00:00 AM,$0.12,$0.14,$0.12,$0.12,1053
Democratic,8/5/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Republican,8/6/2020 12:00:00 AM,$0.12,$0.13,$0.11,$0.13,746
Democratic,8/6/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.88,275
Republican,8/7/2020 12:00:00 AM,$0.13,$0.13,$0.11,$0.12,3229
Democratic,8/7/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.87,1076
Republican,8/8/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,185
Democratic,8/8/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.88,415
Republican,8/9/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.13,156
Democratic,8/9/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.87,1303
Republican,8/10/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,2143
Democratic,8/10/2020 12:00:00 AM,$0.87,$0.88,$0.86,$0.88,465
Republican,8/11/2020 12:00:00 AM,$0.13,$0.17,$0.13,$0.14,4589
Democratic,8/11/2020 12:00:00 AM,$0.88,$0.88,$0.86,$0.87,1387
Republican,8/12/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,536
Democratic,8/12/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.87,120
Republican,8/13/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,220
Democratic,8/13/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.87,2370
Republican,8/14/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.15,115
Democratic,8/14/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.86,139
Republican,8/15/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,53
Democratic,8/15/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.86,62
Republican,8/16/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,1283
Democratic,8/16/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.86,987
Republican,8/17/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,2283
Democratic,8/17/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.87,1547
Republican,8/18/2020 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,3849
Democratic,8/18/2020 12:00:00 AM,$0.87,$0.88,$0.86,$0.86,140
Republican,8/19/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.12,727
Democratic,8/19/2020 12:00:00 AM,$0.86,$0.88,$0.86,$0.88,3294
Republican,8/20/2020 12:00:00 AM,$0.12,$0.12,$0.11,$0.11,2371
Democratic,8/20/2020 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,2230
Republican,8/21/2020 12:00:00 AM,$0.11,$0.13,$0.11,$0.11,1551
Democratic,8/21/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,423
Republican,8/22/2020 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,135
Democratic,8/22/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,2249
Republican,8/23/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.12,2700
Democratic,8/23/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.89,871
Republican,8/24/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.11,1595
Democratic,8/24/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.90,799
Republican,8/25/2020 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,4148
Democratic,8/25/2020 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,1011
Republican,8/26/2020 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,510
Democratic,8/26/2020 12:00:00 AM,$0.90,$0.90,$0.89,$0.89,1153
Republican,8/27/2020 12:00:00 AM,$0.10,$0.12,$0.10,$0.12,4917
Democratic,8/27/2020 12:00:00 AM,$0.89,$0.90,$0.89,$0.90,1572
Republican,8/28/2020 12:00:00 AM,$0.12,$0.13,$0.11,$0.11,14444
Democratic,8/28/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.88,7331
