ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.20,463
Democratic,8/3/2020 12:00:00 AM,$0.81,$0.83,$0.79,$0.81,438
Republican,8/4/2020 12:00:00 AM,$0.20,$0.21,$0.19,$0.21,2076
Democratic,8/4/2020 12:00:00 AM,$0.81,$0.83,$0.81,$0.81,2512
Republican,8/5/2020 12:00:00 AM,$0.21,$0.21,$0.18,$0.19,1034
Democratic,8/5/2020 12:00:00 AM,$0.81,$0.83,$0.81,$0.81,248
Republican,8/6/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.19,271
Democratic,8/6/2020 12:00:00 AM,$0.81,$0.82,$0.81,$0.82,38
Republican,8/7/2020 12:00:00 AM,$0.19,$0.20,$0.17,$0.17,3949
Democratic,8/7/2020 12:00:00 AM,$0.82,$0.84,$0.81,$0.82,3939
Republican,8/8/2020 12:00:00 AM,$0.17,$0.18,$0.11,$0.16,7995
Democratic,8/8/2020 12:00:00 AM,$0.82,$0.90,$0.82,$0.84,8653
Republican,8/9/2020 12:00:00 AM,$0.16,$0.17,$0.16,$0.17,266
Democratic,8/9/2020 12:00:00 AM,$0.84,$0.85,$0.83,$0.83,138
Republican,8/10/2020 12:00:00 AM,$0.17,$0.18,$0.16,$0.17,2421
Democratic,8/10/2020 12:00:00 AM,$0.83,$0.85,$0.82,$0.83,1546
Republican,8/11/2020 12:00:00 AM,$0.17,$0.21,$0.16,$0.20,11494
Democratic,8/11/2020 12:00:00 AM,$0.83,$0.84,$0.82,$0.84,854
Republican,8/12/2020 12:00:00 AM,$0.20,$0.20,$0.18,$0.19,965
Democratic,8/12/2020 12:00:00 AM,$0.84,$0.84,$0.82,$0.82,581
Republican,8/13/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.19,263
Democratic,8/13/2020 12:00:00 AM,$0.82,$0.84,$0.82,$0.83,2391
Republican,8/14/2020 12:00:00 AM,$0.19,$0.21,$0.19,$0.19,1649
Democratic,8/14/2020 12:00:00 AM,$0.83,$0.84,$0.82,$0.83,5275
Republican,8/15/2020 12:00:00 AM,$0.19,$0.19,$0.18,$0.19,1884
Democratic,8/15/2020 12:00:00 AM,$0.83,$0.83,$0.81,$0.81,3589
Republican,8/16/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.19,610
Democratic,8/16/2020 12:00:00 AM,$0.81,$0.83,$0.81,$0.81,187
Republican,8/17/2020 12:00:00 AM,$0.19,$0.22,$0.18,$0.20,4867
Democratic,8/17/2020 12:00:00 AM,$0.81,$0.83,$0.81,$0.82,2675
Republican,8/18/2020 12:00:00 AM,$0.20,$0.22,$0.20,$0.21,3201
Democratic,8/18/2020 12:00:00 AM,$0.82,$0.82,$0.80,$0.80,3121
Republican,8/19/2020 12:00:00 AM,$0.21,$0.21,$0.19,$0.20,556
Democratic,8/19/2020 12:00:00 AM,$0.80,$0.82,$0.80,$0.82,2613
Republican,8/20/2020 12:00:00 AM,$0.20,$0.20,$0.18,$0.18,2562
Democratic,8/20/2020 12:00:00 AM,$0.82,$0.84,$0.80,$0.84,8316
Republican,8/21/2020 12:00:00 AM,$0.18,$0.19,$0.18,$0.19,2953
Democratic,8/21/2020 12:00:00 AM,$0.84,$0.84,$0.82,$0.83,1546
Republican,8/22/2020 12:00:00 AM,$0.19,$0.19,$0.17,$0.17,1570
Democratic,8/22/2020 12:00:00 AM,$0.83,$0.83,$0.82,$0.83,2784
Republican,8/23/2020 12:00:00 AM,$0.17,$0.20,$0.17,$0.19,6321
Democratic,8/23/2020 12:00:00 AM,$0.83,$0.83,$0.81,$0.82,3006
Republican,8/24/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.20,2909
Democratic,8/24/2020 12:00:00 AM,$0.82,$0.83,$0.81,$0.81,1446
Republican,8/25/2020 12:00:00 AM,$0.20,$0.20,$0.18,$0.19,5403
Democratic,8/25/2020 12:00:00 AM,$0.81,$0.83,$0.81,$0.82,4686
Republican,8/26/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.20,3648
Democratic,8/26/2020 12:00:00 AM,$0.82,$0.83,$0.80,$0.81,8519
Republican,8/27/2020 12:00:00 AM,$0.20,$0.21,$0.19,$0.20,5081
Democratic,8/27/2020 12:00:00 AM,$0.81,$0.83,$0.80,$0.80,1738
Republican,8/28/2020 12:00:00 AM,$0.20,$0.23,$0.20,$0.22,8558
Democratic,8/28/2020 12:00:00 AM,$0.80,$0.81,$0.78,$0.78,9309
Republican,8/29/2020 12:00:00 AM,$0.22,$0.24,$0.22,$0.23,5532
Democratic,8/29/2020 12:00:00 AM,$0.78,$0.79,$0.77,$0.78,4013
Republican,8/30/2020 12:00:00 AM,$0.23,$0.25,$0.22,$0.23,5976
Democratic,8/30/2020 12:00:00 AM,$0.78,$0.78,$0.75,$0.78,4554
