ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/3/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,876
Republican,8/4/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/5/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,2
Democratic,8/5/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,25
Republican,8/6/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,1397
Democratic,8/6/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.94,1557
Republican,8/7/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,25
Democratic,8/7/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.94,40
Republican,8/8/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1068
Democratic,8/8/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,914
Republican,8/9/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,614
Democratic,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,699
Republican,8/10/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,257
Democratic,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,91
Republican,8/11/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,42
Democratic,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,435
Republican,8/12/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,111
Democratic,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,272
Republican,8/13/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,2175
Democratic,8/13/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.95,1628
Republican,8/14/2020 12:00:00 AM,$0.06,$0.09,$0.06,$0.08,16292
Democratic,8/14/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.94,8705
Republican,8/15/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,13336
Democratic,8/15/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,240
Republican,8/16/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,3134
Democratic,8/16/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,1454
Republican,8/17/2020 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,6829
Democratic,8/17/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,2305
Republican,8/18/2020 12:00:00 AM,$0.08,$0.10,$0.07,$0.07,5790
Democratic,8/18/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.93,3565
Republican,8/19/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.07,13535
Democratic,8/19/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,13371
Republican,8/20/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.06,5508
Democratic,8/20/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,1899
Republican,8/21/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1945
Democratic,8/21/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,1903
Republican,8/22/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,2366
Democratic,8/22/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,3968
Republican,8/23/2020 12:00:00 AM,$0.06,$0.09,$0.06,$0.06,17189
Democratic,8/23/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,2270
Republican,8/24/2020 12:00:00 AM,$0.06,$0.08,$0.06,$0.06,13796
Democratic,8/24/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.94,19257
Republican,8/25/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,13175
Democratic,8/25/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.94,3020
Republican,8/26/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,5880
Democratic,8/26/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,1424
Republican,8/27/2020 12:00:00 AM,$0.06,$0.08,$0.06,$0.07,5802
Democratic,8/27/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.93,1343
Republican,8/28/2020 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,16910
Democratic,8/28/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.92,12879
Republican,8/29/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,6140
Democratic,8/29/2020 12:00:00 AM,$0.92,$0.94,$0.92,$0.93,4177
Republican,8/30/2020 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,12595
Democratic,8/30/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,2496
Republican,8/31/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,9234
Democratic,8/31/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,3892
Republican,9/1/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,14311
Democratic,9/1/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.94,2526
Republican,9/2/2020 12:00:00 AM,$0.08,$0.10,$0.08,$0.08,27903
