ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.62,$0.62,$0.60,$0.61,1977
Democratic,8/3/2020 12:00:00 AM,$0.41,$0.42,$0.40,$0.42,1652
Republican,8/4/2020 12:00:00 AM,$0.61,$0.62,$0.60,$0.62,1380
Democratic,8/4/2020 12:00:00 AM,$0.42,$0.43,$0.40,$0.41,450
Republican,8/5/2020 12:00:00 AM,$0.62,$0.62,$0.59,$0.62,1167
Democratic,8/5/2020 12:00:00 AM,$0.41,$0.43,$0.39,$0.39,2323
Republican,8/6/2020 12:00:00 AM,$0.62,$0.63,$0.60,$0.60,3342
Democratic,8/6/2020 12:00:00 AM,$0.39,$0.41,$0.38,$0.40,1336
Republican,8/7/2020 12:00:00 AM,$0.60,$0.64,$0.60,$0.64,3662
Democratic,8/7/2020 12:00:00 AM,$0.40,$0.41,$0.38,$0.39,5878
Republican,8/8/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.64,1269
Democratic,8/8/2020 12:00:00 AM,$0.39,$0.39,$0.37,$0.39,1612
Republican,8/9/2020 12:00:00 AM,$0.64,$0.65,$0.62,$0.63,3259
Democratic,8/9/2020 12:00:00 AM,$0.39,$0.40,$0.37,$0.38,1244
Republican,8/10/2020 12:00:00 AM,$0.63,$0.65,$0.62,$0.64,3433
Democratic,8/10/2020 12:00:00 AM,$0.38,$0.40,$0.37,$0.38,3749
Republican,8/11/2020 12:00:00 AM,$0.64,$0.65,$0.62,$0.63,5489
Democratic,8/11/2020 12:00:00 AM,$0.38,$0.41,$0.37,$0.40,2700
Republican,8/12/2020 12:00:00 AM,$0.63,$0.65,$0.62,$0.62,5471
Democratic,8/12/2020 12:00:00 AM,$0.40,$0.40,$0.37,$0.40,1931
Republican,8/13/2020 12:00:00 AM,$0.62,$0.64,$0.62,$0.62,3264
Democratic,8/13/2020 12:00:00 AM,$0.40,$0.40,$0.39,$0.40,1021
Republican,8/14/2020 12:00:00 AM,$0.62,$0.64,$0.62,$0.63,679
Democratic,8/14/2020 12:00:00 AM,$0.40,$0.40,$0.39,$0.40,1158
Republican,8/15/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.64,3156
Democratic,8/15/2020 12:00:00 AM,$0.40,$0.41,$0.39,$0.40,851
Republican,8/16/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.64,3937
Democratic,8/16/2020 12:00:00 AM,$0.40,$0.40,$0.39,$0.40,1246
Republican,8/17/2020 12:00:00 AM,$0.64,$0.65,$0.62,$0.65,4245
Democratic,8/17/2020 12:00:00 AM,$0.40,$0.40,$0.38,$0.38,2159
Republican,8/18/2020 12:00:00 AM,$0.65,$0.65,$0.64,$0.65,4663
Democratic,8/18/2020 12:00:00 AM,$0.38,$0.38,$0.37,$0.38,1388
Republican,8/19/2020 12:00:00 AM,$0.65,$0.65,$0.63,$0.64,6087
Democratic,8/19/2020 12:00:00 AM,$0.38,$0.39,$0.37,$0.38,6119
Republican,8/20/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.62,10191
Democratic,8/20/2020 12:00:00 AM,$0.38,$0.39,$0.37,$0.39,9291
Republican,8/21/2020 12:00:00 AM,$0.62,$0.63,$0.61,$0.63,7261
Democratic,8/21/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.39,4616
Republican,8/22/2020 12:00:00 AM,$0.63,$0.63,$0.61,$0.63,1832
Democratic,8/22/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.39,1536
Republican,8/23/2020 12:00:00 AM,$0.63,$0.63,$0.61,$0.62,5019
Democratic,8/23/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.39,1830
Republican,8/24/2020 12:00:00 AM,$0.62,$0.63,$0.61,$0.63,5092
Democratic,8/24/2020 12:00:00 AM,$0.39,$0.40,$0.37,$0.37,4152
