ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.94,$0.95,$0.92,$0.95,913
Democratic,8/3/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,354
Republican,8/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/4/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Republican,8/5/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Democratic,8/5/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1
Republican,8/6/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.93,10
Democratic,8/6/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/7/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/7/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/8/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/8/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/9/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/9/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,135
Republican,8/10/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/10/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/11/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.95,3
Democratic,8/11/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,100
Republican,8/12/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,324
Democratic,8/12/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,511
Republican,8/13/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/13/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,352
Republican,8/14/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,904
Democratic,8/14/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,904
Republican,8/15/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/15/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Republican,8/16/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
