ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,10
Democratic,8/3/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,1
Republican,8/4/2020 12:00:00 AM,$0.08,$0.08,$0.06,$0.07,961
Democratic,8/4/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,932
Republican,8/5/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,75
Democratic,8/5/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,39
Republican,8/6/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/6/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,18
Republican,8/7/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,857
Democratic,8/7/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,840
Republican,8/8/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,358
Democratic,8/8/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,157
Republican,8/9/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,399
Democratic,8/9/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/10/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,51
Democratic,8/10/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,1678
Republican,8/11/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,1514
Democratic,8/11/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,994
Republican,8/12/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,880
Democratic,8/12/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,1812
Republican,8/13/2020 12:00:00 AM,$0.08,$0.10,$0.07,$0.10,734
Democratic,8/13/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,75
Republican,8/14/2020 12:00:00 AM,$0.10,$0.10,$0.07,$0.08,450
Democratic,8/14/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,207
Republican,8/15/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,51
Democratic,8/15/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,33
Republican,8/16/2020 12:00:00 AM,$0.08,$0.10,$0.08,$0.10,2247
Democratic,8/16/2020 12:00:00 AM,$0.93,$0.93,$0.90,$0.90,2860
Republican,8/17/2020 12:00:00 AM,$0.10,$0.12,$0.08,$0.10,5051
Democratic,8/17/2020 12:00:00 AM,$0.90,$0.93,$0.90,$0.93,1404
Republican,8/18/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.11,1256
Democratic,8/18/2020 12:00:00 AM,$0.93,$0.93,$0.91,$0.92,1842
Republican,8/19/2020 12:00:00 AM,$0.11,$0.11,$0.08,$0.08,3142
Democratic,8/19/2020 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,1277
Republican,8/20/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,3867
Democratic,8/20/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,6631
Republican,8/21/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,2286
Democratic,8/21/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,2016
Republican,8/22/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,219
Democratic,8/22/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,505
Republican,8/23/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,1055
Democratic,8/23/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,343
Republican,8/24/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,1729
