ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.31,$0.34,$0.31,$0.32,2500
Democratic,8/3/2020 12:00:00 AM,$0.72,$0.73,$0.71,$0.71,469
Republican,8/4/2020 12:00:00 AM,$0.32,$0.35,$0.32,$0.34,2131
Democratic,8/4/2020 12:00:00 AM,$0.71,$0.71,$0.70,$0.70,3826
Republican,8/5/2020 12:00:00 AM,$0.34,$0.34,$0.32,$0.34,3350
Democratic,8/5/2020 12:00:00 AM,$0.70,$0.72,$0.70,$0.71,2570
Republican,8/6/2020 12:00:00 AM,$0.34,$0.34,$0.32,$0.34,1287
Democratic,8/6/2020 12:00:00 AM,$0.71,$0.71,$0.69,$0.69,4169
Republican,8/7/2020 12:00:00 AM,$0.34,$0.36,$0.32,$0.36,7163
Democratic,8/7/2020 12:00:00 AM,$0.69,$0.69,$0.65,$0.66,8469
Republican,8/8/2020 12:00:00 AM,$0.36,$0.38,$0.33,$0.36,3385
Democratic,8/8/2020 12:00:00 AM,$0.66,$0.68,$0.65,$0.66,3811
Republican,8/9/2020 12:00:00 AM,$0.36,$0.38,$0.36,$0.37,2291
Democratic,8/9/2020 12:00:00 AM,$0.66,$0.67,$0.64,$0.67,3955
Republican,8/10/2020 12:00:00 AM,$0.37,$0.38,$0.35,$0.35,7037
Democratic,8/10/2020 12:00:00 AM,$0.67,$0.67,$0.64,$0.65,5387
Republican,8/11/2020 12:00:00 AM,$0.35,$0.37,$0.33,$0.35,11905
Democratic,8/11/2020 12:00:00 AM,$0.65,$0.70,$0.65,$0.70,12795
Republican,8/12/2020 12:00:00 AM,$0.35,$0.35,$0.33,$0.34,4268
Democratic,8/12/2020 12:00:00 AM,$0.70,$0.71,$0.67,$0.69,5275
Republican,8/13/2020 12:00:00 AM,$0.34,$0.36,$0.33,$0.36,4525
Democratic,8/13/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.68,1757
Republican,8/14/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.36,4586
Democratic,8/14/2020 12:00:00 AM,$0.68,$0.69,$0.68,$0.68,2299
Republican,8/15/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.34,3861
Democratic,8/15/2020 12:00:00 AM,$0.68,$0.69,$0.67,$0.68,1806
Republican,8/16/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.35,2253
Democratic,8/16/2020 12:00:00 AM,$0.68,$0.70,$0.68,$0.68,1715
Republican,8/17/2020 12:00:00 AM,$0.35,$0.38,$0.34,$0.37,11896
Democratic,8/17/2020 12:00:00 AM,$0.68,$0.69,$0.65,$0.65,6534
Republican,8/18/2020 12:00:00 AM,$0.37,$0.39,$0.36,$0.38,5384
Democratic,8/18/2020 12:00:00 AM,$0.65,$0.67,$0.64,$0.65,3434
Republican,8/19/2020 12:00:00 AM,$0.38,$0.39,$0.33,$0.34,14708
Democratic,8/19/2020 12:00:00 AM,$0.65,$0.68,$0.64,$0.67,9145
Republican,8/20/2020 12:00:00 AM,$0.34,$0.35,$0.32,$0.34,12313
