ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/3/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,339
Republican,8/4/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,120
Republican,8/5/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1
Democratic,8/5/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/6/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/6/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/7/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/7/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,10
Republican,8/8/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,992
Democratic,8/8/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,10
Republican,8/9/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/10/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1862
Democratic,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,135
Republican,8/11/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/11/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,101
Republican,8/12/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Democratic,8/12/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/13/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/13/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,50
Republican,8/14/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1
Democratic,8/14/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,120
Republican,8/15/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/15/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/16/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1088
Democratic,8/16/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,150
Republican,8/17/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,60
Democratic,8/17/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.96,66
Republican,8/18/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/18/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/19/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,918
Democratic,8/19/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,25
Republican,8/20/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/20/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,3
Republican,8/21/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,482
Democratic,8/21/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,148
Republican,8/22/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/22/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/23/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,201
Democratic,8/23/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,211
Republican,8/24/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1
Democratic,8/24/2020 12:00:00 AM,$0.95,$0.97,$0.95,$0.97,896
Republican,8/25/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,715
Democratic,8/25/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,111
Republican,8/26/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,2002
Democratic,8/26/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,47
Republican,8/27/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1
Democratic,8/27/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,100
Republican,8/28/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,42
Democratic,8/28/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.96,344
