ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.85,$0.86,$0.85,$0.86,2
Democratic,8/3/2020 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,0
Republican,8/4/2020 12:00:00 AM,$0.86,$0.86,$0.85,$0.86,4
Democratic,8/4/2020 12:00:00 AM,$0.15,$0.16,$0.15,$0.15,231
Republican,8/5/2020 12:00:00 AM,$0.86,$0.86,$0.86,$0.86,90
Democratic,8/5/2020 12:00:00 AM,$0.15,$0.16,$0.15,$0.15,4
Republican,8/6/2020 12:00:00 AM,$0.86,$0.86,$0.84,$0.86,903
Democratic,8/6/2020 12:00:00 AM,$0.15,$0.16,$0.14,$0.15,223
Republican,8/7/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.87,161
Democratic,8/7/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,732
Republican,8/8/2020 12:00:00 AM,$0.87,$0.87,$0.87,$0.87,981
Democratic,8/8/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.15,901
Republican,8/9/2020 12:00:00 AM,$0.87,$0.88,$0.85,$0.87,3514
Democratic,8/9/2020 12:00:00 AM,$0.15,$0.15,$0.11,$0.15,2252
Republican,8/10/2020 12:00:00 AM,$0.87,$0.87,$0.85,$0.85,1084
Democratic,8/10/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.15,402
Republican,8/11/2020 12:00:00 AM,$0.85,$0.87,$0.85,$0.86,870
Democratic,8/11/2020 12:00:00 AM,$0.15,$0.15,$0.12,$0.14,2169
Republican,8/12/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.87,574
Democratic,8/12/2020 12:00:00 AM,$0.14,$0.14,$0.13,$0.14,242
Republican,8/13/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.86,397
Democratic,8/13/2020 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,443
Republican,8/14/2020 12:00:00 AM,$0.86,$0.88,$0.86,$0.86,1034
Democratic,8/14/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,1313
Republican,8/15/2020 12:00:00 AM,$0.86,$0.88,$0.86,$0.87,1033
Democratic,8/15/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,5
Republican,8/16/2020 12:00:00 AM,$0.87,$0.87,$0.87,$0.87,1355
Democratic,8/16/2020 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,1193
Republican,8/17/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.87,175
Democratic,8/17/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,345
Republican,8/18/2020 12:00:00 AM,$0.87,$0.89,$0.87,$0.89,628
Democratic,8/18/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,596
Republican,8/19/2020 12:00:00 AM,$0.89,$0.91,$0.88,$0.89,1248
Democratic,8/19/2020 12:00:00 AM,$0.12,$0.14,$0.11,$0.12,1651
Republican,8/20/2020 12:00:00 AM,$0.89,$0.91,$0.89,$0.90,1157
