ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/3/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Republican,8/4/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/4/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Republican,8/5/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,1503
Democratic,8/5/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Republican,8/6/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,10
Democratic,8/6/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,25
Republican,8/7/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,438
Democratic,8/7/2020 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,353
Republican,8/8/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,27
Democratic,8/8/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/9/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,5
Democratic,8/9/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/10/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/10/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/11/2020 12:00:00 AM,$0.05,$0.07,$0.05,$0.07,619
Republican,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,11
Democratic,8/12/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,1
Republican,8/13/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/13/2020 12:00:00 AM,$0.07,$0.07,$0.05,$0.07,1390
Republican,8/14/2020 12:00:00 AM,$0.94,$0.96,$0.94,$0.96,292
Democratic,8/14/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,478
