ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/3/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/4/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,9
Democratic,8/4/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/5/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,6
Democratic,8/5/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,1
Republican,8/6/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,1
Democratic,8/6/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/7/2020 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,0
Democratic,8/7/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/8/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,2
Democratic,8/8/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,268
Republican,8/9/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,456
Democratic,8/9/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,943
Republican,8/10/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/10/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Republican,8/11/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Democratic,8/11/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,1
Republican,8/12/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,10
Democratic,8/12/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,1
Republican,8/13/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/13/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,1
Republican,8/14/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,12
Democratic,8/14/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,6
Republican,8/15/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/15/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/16/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/16/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,436
Republican,8/17/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,105
Democratic,8/17/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,3
Republican,8/18/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,3
Democratic,8/18/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,324
Republican,8/19/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/19/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,1
Republican,8/20/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,203
Democratic,8/20/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/21/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/21/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,216
Republican,8/22/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/22/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/23/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/23/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/24/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/24/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,113
Republican,8/25/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/25/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,603
Republican,8/26/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,59
Democratic,8/26/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/27/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/27/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/28/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,1
Democratic,8/28/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/29/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,40
Democratic,8/29/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/30/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,1
Democratic,8/30/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,1
Republican,8/31/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,475
Democratic,8/31/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/1/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,1
Democratic,9/1/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/2/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,9/2/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,11
Republican,9/3/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,9/3/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,15
Republican,9/4/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,9/4/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Republican,9/5/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,10
Democratic,9/5/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,135
Republican,9/6/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Democratic,9/6/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/7/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/7/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,772
Republican,9/8/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/8/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/9/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/10/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,12
Democratic,9/10/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/11/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/11/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Republican,9/12/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,130
Democratic,9/12/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,433
Republican,9/13/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,9/13/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/14/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,201
Democratic,9/14/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/15/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,17
Democratic,9/15/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,5
Republican,9/16/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/16/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/17/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,10
Democratic,9/17/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/18/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/18/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/19/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/19/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/20/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,55
Democratic,9/20/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,191
Republican,9/21/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,894
Democratic,9/21/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,50
Republican,9/22/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,871
Democratic,9/22/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,20
Republican,9/23/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,67
Democratic,9/23/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,139
Republican,9/24/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,9/24/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/25/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,40
Democratic,9/25/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/26/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,500
Democratic,9/26/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/27/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,9/27/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/28/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,895
Democratic,9/28/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,9/29/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,901
Democratic,9/29/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,327
Republican,9/30/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/30/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,122
Republican,10/1/2020 12:00:00 AM,$0.95,$0.95,$0.93,$0.93,5925
Democratic,10/1/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,3269
Republican,10/2/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,2576
Democratic,10/2/2020 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,2578
Republican,10/3/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,1
Democratic,10/3/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,26
Republican,10/4/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,20
Democratic,10/4/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,112
Republican,10/5/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,22
Democratic,10/5/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,1
Republican,10/6/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,1851
Democratic,10/6/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,1145
Republican,10/7/2020 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,55
Democratic,10/7/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,11
Republican,10/8/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,55
Democratic,10/8/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,68
Republican,10/9/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,1382
Democratic,10/9/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,598
Republican,10/10/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,1966
Democratic,10/10/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,2035
Republican,10/11/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,47
Democratic,10/11/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,10/12/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,23
Democratic,10/12/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,103
Republican,10/13/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,181
Democratic,10/13/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,63
Republican,10/14/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,1408
Democratic,10/14/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,1168
Republican,10/15/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,193
Democratic,10/15/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,6579
Republican,10/16/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.94,1073
Democratic,10/16/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,37
Republican,10/17/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,79
Democratic,10/17/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,210
Republican,10/18/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1009
Democratic,10/18/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.06,1196
Republican,10/19/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,2037
Democratic,10/19/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,3803
Republican,10/20/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,939
Democratic,10/20/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,101
Republican,10/21/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,10/21/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1
Republican,10/22/2020 12:00:00 AM,$0.94,$0.96,$0.94,$0.96,1331
Democratic,10/22/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,5
Republican,10/23/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,124
Democratic,10/23/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,25
Republican,10/24/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,22
Democratic,10/24/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,129
Republican,10/25/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,2
Democratic,10/25/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,388
Republican,10/26/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,847
Democratic,10/26/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,3
Republican,10/27/2020 12:00:00 AM,$0.95,$0.97,$0.95,$0.97,3712
Democratic,10/27/2020 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,5421
Republican,10/28/2020 12:00:00 AM,$0.97,$0.98,$0.96,$0.97,1301
Democratic,10/28/2020 12:00:00 AM,$0.05,$0.05,$0.03,$0.03,268
Republican,10/29/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,2091
Democratic,10/29/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,639
Republican,10/30/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,1359
Democratic,10/30/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,953
Republican,10/31/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.97,666
Democratic,10/31/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,155
