ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.67,$0.68,$0.65,$0.67,7269
Democratic,8/3/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,4695
Republican,8/4/2020 12:00:00 AM,$0.67,$0.68,$0.65,$0.68,9814
Democratic,8/4/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,6686
Republican,8/5/2020 12:00:00 AM,$0.68,$0.68,$0.65,$0.67,5482
Democratic,8/5/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,6256
Republican,8/6/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.68,5442
Democratic,8/6/2020 12:00:00 AM,$0.35,$0.35,$0.33,$0.34,7636
Republican,8/7/2020 12:00:00 AM,$0.68,$0.72,$0.66,$0.71,17417
Democratic,8/7/2020 12:00:00 AM,$0.34,$0.34,$0.28,$0.30,13507
Republican,8/8/2020 12:00:00 AM,$0.71,$0.72,$0.69,$0.72,5716
Democratic,8/8/2020 12:00:00 AM,$0.30,$0.31,$0.29,$0.31,5669
Republican,8/9/2020 12:00:00 AM,$0.72,$0.72,$0.70,$0.71,2011
Democratic,8/9/2020 12:00:00 AM,$0.31,$0.31,$0.29,$0.30,2222
Republican,8/10/2020 12:00:00 AM,$0.71,$0.73,$0.70,$0.72,6807
Democratic,8/10/2020 12:00:00 AM,$0.30,$0.30,$0.28,$0.29,4305
Republican,8/11/2020 12:00:00 AM,$0.72,$0.75,$0.71,$0.74,20306
Democratic,8/11/2020 12:00:00 AM,$0.29,$0.32,$0.28,$0.29,12007
Republican,8/12/2020 12:00:00 AM,$0.74,$0.74,$0.72,$0.73,8336
Democratic,8/12/2020 12:00:00 AM,$0.29,$0.31,$0.27,$0.30,11580
Republican,8/13/2020 12:00:00 AM,$0.73,$0.74,$0.72,$0.73,6260
Democratic,8/13/2020 12:00:00 AM,$0.30,$0.31,$0.28,$0.31,4198
Republican,8/14/2020 12:00:00 AM,$0.73,$0.73,$0.72,$0.73,6300
Democratic,8/14/2020 12:00:00 AM,$0.31,$0.31,$0.28,$0.28,3504
Republican,8/15/2020 12:00:00 AM,$0.73,$0.74,$0.72,$0.73,8807
Democratic,8/15/2020 12:00:00 AM,$0.28,$0.30,$0.28,$0.29,658
Republican,8/16/2020 12:00:00 AM,$0.73,$0.74,$0.72,$0.74,5430
Democratic,8/16/2020 12:00:00 AM,$0.29,$0.30,$0.28,$0.28,4828
Republican,8/17/2020 12:00:00 AM,$0.74,$0.77,$0.72,$0.77,39363
Democratic,8/17/2020 12:00:00 AM,$0.28,$0.29,$0.25,$0.27,22589
Republican,8/18/2020 12:00:00 AM,$0.77,$0.78,$0.76,$0.78,9795
Democratic,8/18/2020 12:00:00 AM,$0.27,$0.27,$0.26,$0.26,3342
Republican,8/19/2020 12:00:00 AM,$0.78,$0.78,$0.75,$0.77,22737
Democratic,8/19/2020 12:00:00 AM,$0.26,$0.27,$0.24,$0.25,13613
Republican,8/20/2020 12:00:00 AM,$0.77,$0.77,$0.73,$0.73,24269
Democratic,8/20/2020 12:00:00 AM,$0.25,$0.28,$0.24,$0.28,14558
Republican,8/21/2020 12:00:00 AM,$0.73,$0.74,$0.72,$0.74,7300
Democratic,8/21/2020 12:00:00 AM,$0.28,$0.28,$0.27,$0.27,2283
Republican,8/22/2020 12:00:00 AM,$0.74,$0.75,$0.73,$0.75,4310
Democratic,8/22/2020 12:00:00 AM,$0.27,$0.28,$0.26,$0.27,4913
Republican,8/23/2020 12:00:00 AM,$0.75,$0.75,$0.73,$0.74,5038
Democratic,8/23/2020 12:00:00 AM,$0.27,$0.27,$0.26,$0.27,2143
Republican,8/24/2020 12:00:00 AM,$0.74,$0.75,$0.72,$0.74,15244
Democratic,8/24/2020 12:00:00 AM,$0.27,$0.28,$0.26,$0.27,10681
Republican,8/25/2020 12:00:00 AM,$0.74,$0.74,$0.72,$0.74,5991
Democratic,8/25/2020 12:00:00 AM,$0.27,$0.28,$0.27,$0.28,3421
Republican,8/26/2020 12:00:00 AM,$0.74,$0.75,$0.72,$0.75,15231
Democratic,8/26/2020 12:00:00 AM,$0.28,$0.29,$0.27,$0.27,18707
Republican,8/27/2020 12:00:00 AM,$0.75,$0.76,$0.74,$0.76,11173
Democratic,8/27/2020 12:00:00 AM,$0.27,$0.27,$0.25,$0.25,8486
Republican,8/28/2020 12:00:00 AM,$0.76,$0.77,$0.75,$0.75,36921
Democratic,8/28/2020 12:00:00 AM,$0.25,$0.26,$0.24,$0.25,10909
Republican,8/29/2020 12:00:00 AM,$0.75,$0.76,$0.75,$0.76,13871
Democratic,8/29/2020 12:00:00 AM,$0.25,$0.26,$0.24,$0.25,4120
Republican,8/30/2020 12:00:00 AM,$0.76,$0.76,$0.75,$0.76,13252
Democratic,8/30/2020 12:00:00 AM,$0.25,$0.27,$0.25,$0.26,10849
Republican,8/31/2020 12:00:00 AM,$0.76,$0.76,$0.74,$0.75,17347
Democratic,8/31/2020 12:00:00 AM,$0.26,$0.28,$0.26,$0.27,9260
Republican,9/1/2020 12:00:00 AM,$0.75,$0.76,$0.74,$0.76,20528
