ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,324
Democratic,8/3/2020 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,64
Republican,8/4/2020 12:00:00 AM,$0.10,$0.13,$0.10,$0.10,1823
Democratic,8/4/2020 12:00:00 AM,$0.90,$0.91,$0.88,$0.88,3312
Republican,8/5/2020 12:00:00 AM,$0.10,$0.13,$0.10,$0.12,680
Democratic,8/5/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.89,3352
Republican,8/6/2020 12:00:00 AM,$0.12,$0.13,$0.12,$0.13,22
Democratic,8/6/2020 12:00:00 AM,$0.89,$0.89,$0.87,$0.88,1922
Republican,8/7/2020 12:00:00 AM,$0.13,$0.13,$0.11,$0.13,726
Democratic,8/7/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.87,659
Republican,8/8/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,419
Democratic,8/8/2020 12:00:00 AM,$0.87,$0.89,$0.87,$0.88,726
Republican,8/9/2020 12:00:00 AM,$0.12,$0.14,$0.12,$0.14,465
Democratic,8/9/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.88,194
Republican,8/10/2020 12:00:00 AM,$0.14,$0.15,$0.12,$0.15,2912
Democratic,8/10/2020 12:00:00 AM,$0.88,$0.88,$0.86,$0.88,2577
Republican,8/11/2020 12:00:00 AM,$0.15,$0.16,$0.14,$0.14,1370
Democratic,8/11/2020 12:00:00 AM,$0.88,$0.88,$0.86,$0.87,1675
Republican,8/12/2020 12:00:00 AM,$0.14,$0.16,$0.13,$0.14,2248
Democratic,8/12/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.87,296
Republican,8/13/2020 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,326
Democratic,8/13/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.87,777
Republican,8/14/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,465
Democratic,8/14/2020 12:00:00 AM,$0.87,$0.88,$0.86,$0.86,1256
Republican,8/15/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,1030
Democratic,8/15/2020 12:00:00 AM,$0.86,$0.88,$0.86,$0.87,967
Republican,8/16/2020 12:00:00 AM,$0.13,$0.15,$0.13,$0.13,3127
Democratic,8/16/2020 12:00:00 AM,$0.87,$0.88,$0.86,$0.86,1430
Republican,8/17/2020 12:00:00 AM,$0.13,$0.15,$0.13,$0.14,1602
Democratic,8/17/2020 12:00:00 AM,$0.86,$0.88,$0.86,$0.87,294
Republican,8/18/2020 12:00:00 AM,$0.14,$0.17,$0.14,$0.14,3503
Democratic,8/18/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.87,1908
Republican,8/19/2020 12:00:00 AM,$0.14,$0.15,$0.13,$0.13,8251
