ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/3/2020 12:00:00 AM,$0.98,$0.98,$0.93,$0.93,850
Republican,8/4/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/4/2020 12:00:00 AM,$0.93,$0.97,$0.93,$0.97,300
Republican,8/5/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1
Democratic,8/5/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,200
Republican,8/6/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,8/6/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/7/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,8/7/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,10
Republican,8/8/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,100
Democratic,8/8/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,11
Republican,8/9/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/9/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/10/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/10/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/11/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/11/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/12/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,2
Democratic,8/12/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/13/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/13/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/14/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,16
Democratic,8/14/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,6
Republican,8/15/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,8/15/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Republican,8/16/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,47
Democratic,8/16/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/17/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,111
Democratic,8/17/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Republican,8/18/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,51
Democratic,8/18/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/19/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,897
Democratic,8/19/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,122
Republican,8/20/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1
Democratic,8/20/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,2
Republican,8/21/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1001
Democratic,8/21/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/22/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,567
Democratic,8/22/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Republican,8/23/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,21
Democratic,8/23/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,231
Republican,8/24/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,245
Democratic,8/24/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/25/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,4
Democratic,8/25/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,50
Republican,8/26/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,778
Democratic,8/26/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,129
Republican,8/27/2020 12:00:00 AM,$0.04,$0.05,$0.03,$0.05,1116
Democratic,8/27/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/28/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,196
Democratic,8/28/2020 12:00:00 AM,$0.98,$0.98,$0.96,$0.96,240
Republican,8/29/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,168
Democratic,8/29/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/30/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,357
Democratic,8/30/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,883
Republican,8/31/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Democratic,8/31/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,367
Republican,9/1/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,547
Democratic,9/1/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,150
Republican,9/2/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,758
Democratic,9/2/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,4
Republican,9/3/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,9/3/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/4/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1
Democratic,9/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/5/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1025
Democratic,9/5/2020 12:00:00 AM,$0.95,$0.97,$0.95,$0.95,3119
Republican,9/6/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1
Democratic,9/6/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,7
Republican,9/7/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,936
Democratic,9/7/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,740
Republican,9/8/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,100
Democratic,9/8/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,1
Republican,9/9/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,510
Democratic,9/9/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,10
Republican,9/10/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,70
Democratic,9/10/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,56
