ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/3/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/4/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.08,6434
Democratic,8/4/2020 12:00:00 AM,$0.94,$0.95,$0.93,$0.93,2954
Republican,8/5/2020 12:00:00 AM,$0.08,$0.09,$0.06,$0.07,1947
Democratic,8/5/2020 12:00:00 AM,$0.93,$0.95,$0.93,$0.93,2
Republican,8/6/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,1582
Democratic,8/6/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,10
Republican,8/7/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,1214
Democratic,8/7/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,12
Republican,8/8/2020 12:00:00 AM,$0.07,$0.09,$0.06,$0.06,1094
Democratic,8/8/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,1013
Republican,8/9/2020 12:00:00 AM,$0.06,$0.08,$0.06,$0.07,132
Democratic,8/9/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,30
Republican,8/10/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.08,819
Democratic,8/10/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,3588
Republican,8/11/2020 12:00:00 AM,$0.08,$0.10,$0.07,$0.08,3274
Democratic,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.94,36
Republican,8/12/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,912
Democratic,8/12/2020 12:00:00 AM,$0.94,$0.94,$0.92,$0.92,2
Republican,8/13/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,1171
Democratic,8/13/2020 12:00:00 AM,$0.92,$0.94,$0.92,$0.94,77
Republican,8/14/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,1067
Democratic,8/14/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,1024
Republican,8/15/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/15/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,7
Republican,8/16/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Democratic,8/16/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/17/2020 12:00:00 AM,$0.07,$0.09,$0.07,$0.07,3700
Democratic,8/17/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,84
Republican,8/18/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,1486
Democratic,8/18/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1
Republican,8/19/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.06,957
Democratic,8/19/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,132
Republican,8/20/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,3612
Democratic,8/20/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,6417
Republican,8/21/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,2004
Democratic,8/21/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,2604
Republican,8/22/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,156
Democratic,8/22/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,3
