ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.32,$0.34,$0.32,$0.34,1387
Democratic,8/3/2020 12:00:00 AM,$0.69,$0.70,$0.69,$0.69,1895
Republican,8/4/2020 12:00:00 AM,$0.34,$0.34,$0.33,$0.33,918
Democratic,8/4/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.69,1521
Republican,8/5/2020 12:00:00 AM,$0.33,$0.34,$0.33,$0.34,2248
Democratic,8/5/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.70,1986
Republican,8/6/2020 12:00:00 AM,$0.34,$0.34,$0.33,$0.33,1378
Democratic,8/6/2020 12:00:00 AM,$0.70,$0.70,$0.68,$0.68,1706
Republican,8/7/2020 12:00:00 AM,$0.33,$0.36,$0.33,$0.34,6471
Democratic,8/7/2020 12:00:00 AM,$0.68,$0.69,$0.65,$0.67,3558
Republican,8/8/2020 12:00:00 AM,$0.34,$0.36,$0.34,$0.34,2662
Democratic,8/8/2020 12:00:00 AM,$0.67,$0.68,$0.65,$0.67,2129
Republican,8/9/2020 12:00:00 AM,$0.34,$0.36,$0.34,$0.34,2185
Democratic,8/9/2020 12:00:00 AM,$0.67,$0.67,$0.66,$0.66,2240
Republican,8/10/2020 12:00:00 AM,$0.34,$0.36,$0.33,$0.34,3785
Democratic,8/10/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.67,4793
Republican,8/11/2020 12:00:00 AM,$0.34,$0.37,$0.31,$0.37,8966
Democratic,8/11/2020 12:00:00 AM,$0.67,$0.69,$0.65,$0.67,7966
Republican,8/12/2020 12:00:00 AM,$0.37,$0.37,$0.35,$0.36,1081
Democratic,8/12/2020 12:00:00 AM,$0.67,$0.69,$0.66,$0.66,5643
Republican,8/13/2020 12:00:00 AM,$0.36,$0.37,$0.35,$0.35,5642
Democratic,8/13/2020 12:00:00 AM,$0.66,$0.68,$0.66,$0.68,1845
Republican,8/14/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,819
Democratic,8/14/2020 12:00:00 AM,$0.68,$0.68,$0.66,$0.67,2774
Republican,8/15/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,2401
Democratic,8/15/2020 12:00:00 AM,$0.67,$0.68,$0.67,$0.67,2608
Republican,8/16/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,1394
Democratic,8/16/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.67,3993
Republican,8/17/2020 12:00:00 AM,$0.35,$0.37,$0.33,$0.37,9088
Democratic,8/17/2020 12:00:00 AM,$0.67,$0.68,$0.63,$0.64,2887
Republican,8/18/2020 12:00:00 AM,$0.37,$0.38,$0.36,$0.36,3477
Democratic,8/18/2020 12:00:00 AM,$0.64,$0.66,$0.63,$0.65,2431
Republican,8/19/2020 12:00:00 AM,$0.36,$0.38,$0.34,$0.36,13130
Democratic,8/19/2020 12:00:00 AM,$0.65,$0.66,$0.64,$0.66,6022
Republican,8/20/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.35,4911
Democratic,8/20/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.67,4665
Republican,8/21/2020 12:00:00 AM,$0.35,$0.35,$0.34,$0.35,3568
Democratic,8/21/2020 12:00:00 AM,$0.67,$0.67,$0.66,$0.66,4098
Republican,8/22/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,1365
Democratic,8/22/2020 12:00:00 AM,$0.66,$0.67,$0.66,$0.66,3318
Republican,8/23/2020 12:00:00 AM,$0.35,$0.36,$0.35,$0.36,1692
Democratic,8/23/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.66,3302
Republican,8/24/2020 12:00:00 AM,$0.36,$0.39,$0.35,$0.38,21768
Democratic,8/24/2020 12:00:00 AM,$0.66,$0.66,$0.63,$0.64,13001
Republican,8/25/2020 12:00:00 AM,$0.38,$0.39,$0.37,$0.39,8771
Democratic,8/25/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.63,17387
Republican,8/26/2020 12:00:00 AM,$0.39,$0.43,$0.38,$0.41,28277
Democratic,8/26/2020 12:00:00 AM,$0.63,$0.63,$0.58,$0.59,18389
Republican,8/27/2020 12:00:00 AM,$0.41,$0.45,$0.40,$0.45,29201
Democratic,8/27/2020 12:00:00 AM,$0.59,$0.60,$0.57,$0.57,14881
Republican,8/28/2020 12:00:00 AM,$0.45,$0.46,$0.42,$0.44,26232
Democratic,8/28/2020 12:00:00 AM,$0.57,$0.59,$0.55,$0.57,30588
Republican,8/29/2020 12:00:00 AM,$0.44,$0.46,$0.42,$0.46,13184
Democratic,8/29/2020 12:00:00 AM,$0.57,$0.58,$0.55,$0.56,14601
Republican,8/30/2020 12:00:00 AM,$0.46,$0.48,$0.44,$0.45,10783
Democratic,8/30/2020 12:00:00 AM,$0.56,$0.57,$0.55,$0.56,11184
Republican,8/31/2020 12:00:00 AM,$0.45,$0.47,$0.45,$0.47,7676
Democratic,8/31/2020 12:00:00 AM,$0.56,$0.58,$0.55,$0.55,13943
Republican,9/1/2020 12:00:00 AM,$0.47,$0.47,$0.43,$0.45,18227
Democratic,9/1/2020 12:00:00 AM,$0.55,$0.60,$0.55,$0.58,16531
Republican,9/2/2020 12:00:00 AM,$0.45,$0.46,$0.37,$0.38,37591
