ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/3/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/3/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/4/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/4/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/5/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.95,907
Democratic,8/5/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/6/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,5
Democratic,8/6/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/7/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/7/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,9
Republican,8/8/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,763
Democratic,8/8/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,294
Republican,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/9/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/10/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,530
Republican,8/11/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,25
Democratic,8/11/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/12/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,104
Democratic,8/12/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,103
Republican,8/13/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,483
Democratic,8/13/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,894
Republican,8/14/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,422
Democratic,8/14/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Republican,8/15/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/15/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,100
Republican,8/16/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,120
Democratic,8/16/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,681
Republican,8/17/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,1
Democratic,8/17/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/18/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/18/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1
Republican,8/19/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.96,2380
Democratic,8/19/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1473
Republican,8/20/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,2
Democratic,8/20/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,8
Republican,8/21/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,8/21/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,8/22/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,5
Democratic,8/22/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,8/23/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,25
Democratic,8/23/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,8/24/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,905
Democratic,8/24/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1305
Republican,8/25/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Democratic,8/25/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,105
Republican,8/26/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,60
Democratic,8/26/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,617
Republican,8/27/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,8/27/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,2
Republican,8/28/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,59
Democratic,8/28/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,8/29/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/29/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,8/30/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,333
Democratic,8/30/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,623
Republican,8/31/2020 12:00:00 AM,$0.95,$0.97,$0.95,$0.97,5
Democratic,8/31/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/1/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,1
Democratic,9/1/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/2/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/2/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,9/3/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,25
Democratic,9/3/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,95
Republican,9/4/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/4/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,100
Republican,9/5/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/5/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/6/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Democratic,9/6/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,10
Republican,9/7/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,5
Democratic,9/7/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,50
Republican,9/8/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,30
Democratic,9/8/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/9/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/9/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,25
Republican,9/10/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,12
Democratic,9/10/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/11/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/11/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1
Republican,9/12/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/12/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,20
Republican,9/13/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,10
Democratic,9/13/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/14/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/14/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/15/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/15/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,9/16/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/16/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,11
Republican,9/17/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,902
Democratic,9/17/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1421
Republican,9/18/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/18/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/19/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,51
Democratic,9/19/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,26
Republican,9/20/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,55
Democratic,9/20/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,475
Republican,9/21/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/21/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/22/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/22/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,100
Republican,9/23/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/23/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,31
Republican,9/24/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/24/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/25/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Democratic,9/25/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/26/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/26/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/27/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Democratic,9/27/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/28/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,500
Democratic,9/28/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/29/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,15
Democratic,9/29/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,20
Republican,9/30/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.97,1722
Democratic,9/30/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,10/1/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,10/1/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,10/2/2020 12:00:00 AM,$0.97,$0.97,$0.95,$0.96,5413
Democratic,10/2/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,4089
Republican,10/3/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,1460
Democratic,10/3/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,2113
Republican,10/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,10/4/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,10/5/2020 12:00:00 AM,$0.95,$0.97,$0.95,$0.96,21
Democratic,10/5/2020 12:00:00 AM,$0.04,$0.05,$0.03,$0.05,486
Republican,10/6/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,25
Democratic,10/6/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,11
Republican,10/7/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,155
Democratic,10/7/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,108
Republican,10/8/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,43
Democratic,10/8/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,111
Republican,10/9/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,10/9/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,10/10/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,55
Democratic,10/10/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,251
Republican,10/11/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,5
Democratic,10/11/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,10/12/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,10/12/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,10/13/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Democratic,10/13/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,26
Republican,10/14/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,10/14/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,28
Republican,10/15/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,128
Democratic,10/15/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,10/16/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,10/16/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,10/17/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,10/17/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,9
Republican,10/18/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,1
Democratic,10/18/2020 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,1
Republican,10/19/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,469
Democratic,10/19/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,30
Republican,10/20/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,506
Democratic,10/20/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,200
Republican,10/21/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,10/21/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1
Republican,10/22/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,135
Democratic,10/22/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,100
Republican,10/23/2020 12:00:00 AM,$0.96,$0.98,$0.96,$0.98,1
Democratic,10/23/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,2
Republican,10/24/2020 12:00:00 AM,$0.98,$0.98,$0.96,$0.96,251
Democratic,10/24/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1
Republican,10/25/2020 12:00:00 AM,$0.96,$0.98,$0.96,$0.98,2
Democratic,10/25/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,15
Republican,10/26/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,103
Democratic,10/26/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1
Republican,10/27/2020 12:00:00 AM,$0.97,$0.98,$0.96,$0.97,238
Democratic,10/27/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,18
Republican,10/28/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.97,13
Democratic,10/28/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1
Republican,10/29/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,10/29/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,100
Republican,10/30/2020 12:00:00 AM,$0.97,$0.98,$0.96,$0.98,901
Democratic,10/30/2020 12:00:00 AM,$0.04,$0.04,$0.02,$0.02,1279
Republican,10/31/2020 12:00:00 AM,$0.98,$0.99,$0.96,$0.98,94
Democratic,10/31/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,26
