date,party,win_prob,state
2020-03-01,democratic,0.006999999999999999,Alabama
2020-03-01,republican,0.993,Alabama
2020-03-02,democratic,0.008,Alabama
2020-03-02,republican,0.992,Alabama
2020-03-03,democratic,0.008,Alabama
2020-03-03,republican,0.992,Alabama
2020-03-04,democratic,0.006,Alabama
2020-03-04,republican,0.9940000000000001,Alabama
2020-03-05,democratic,0.006,Alabama
2020-03-05,republican,0.9940000000000001,Alabama
2020-03-06,democratic,0.006,Alabama
2020-03-06,republican,0.9940000000000001,Alabama
2020-03-07,democratic,0.005,Alabama
2020-03-07,republican,0.995,Alabama
2020-03-08,democratic,0.004,Alabama
2020-03-08,republican,0.996,Alabama
2020-03-09,democratic,0.004,Alabama
2020-03-09,republican,0.996,Alabama
2020-03-10,democratic,0.004,Alabama
2020-03-10,republican,0.996,Alabama
2020-03-11,democratic,0.003,Alabama
2020-03-11,republican,0.997,Alabama
2020-03-12,democratic,0.003,Alabama
2020-03-12,republican,0.997,Alabama
2020-03-13,democratic,0.003,Alabama
2020-03-13,republican,0.997,Alabama
2020-03-14,democratic,0.003,Alabama
2020-03-14,republican,0.997,Alabama
2020-03-15,democratic,0.003,Alabama
2020-03-15,republican,0.997,Alabama
2020-03-16,democratic,0.003,Alabama
2020-03-16,republican,0.997,Alabama
2020-03-17,democratic,0.004,Alabama
2020-03-17,republican,0.996,Alabama
2020-03-18,democratic,0.003,Alabama
2020-03-18,republican,0.997,Alabama
2020-03-19,democratic,0.003,Alabama
2020-03-19,republican,0.997,Alabama
2020-03-20,democratic,0.003,Alabama
2020-03-20,republican,0.997,Alabama
2020-03-21,democratic,0.003,Alabama
2020-03-21,republican,0.997,Alabama
2020-03-22,democratic,0.002,Alabama
2020-03-22,republican,0.998,Alabama
2020-03-23,democratic,0.002,Alabama
2020-03-23,republican,0.998,Alabama
2020-03-24,democratic,0.002,Alabama
2020-03-24,republican,0.998,Alabama
2020-03-25,democratic,0.002,Alabama
2020-03-25,republican,0.998,Alabama
2020-03-26,democratic,0.003,Alabama
2020-03-26,republican,0.997,Alabama
2020-03-27,democratic,0.002,Alabama
2020-03-27,republican,0.998,Alabama
2020-03-28,democratic,0.002,Alabama
2020-03-28,republican,0.998,Alabama
2020-03-29,democratic,0.002,Alabama
2020-03-29,republican,0.998,Alabama
2020-03-30,democratic,0.002,Alabama
2020-03-30,republican,0.998,Alabama
2020-03-31,democratic,0.002,Alabama
